stockdate,C,totalposition,profit,comm,equity
2017-01-20 14:23:00,3214.0,-8.0,,,
2017-01-20 14:24:00,3211.0,-8.0,240.0,0.0,240.0
2017-01-20 14:25:00,3215.0,-15.0,-320.0,140.0,-460.0
2017-01-20 14:26:00,3217.0,-15.0,-300.0,0.0,-300.0
2017-01-20 14:27:00,3209.0,-15.0,1200.0,0.0,1200.0
2017-01-20 14:28:00,3212.0,-15.0,-450.0,0.0,-450.0
2017-01-20 14:29:00,3218.0,-15.0,-900.0,0.0,-900.0
2017-01-20 14:30:00,3217.0,-15.0,150.0,0.0,150.0
2017-01-20 14:31:00,3216.0,-23.0,150.0,160.0,-10.0
2017-01-20 14:32:00,3216.0,-23.0,-0.0,0.0,-0.0
2017-01-20 14:33:00,3219.0,-23.0,-690.0,0.0,-690.0
2017-01-20 14:34:00,3222.0,-23.0,-690.0,0.0,-690.0
2017-01-20 14:35:00,3218.0,-23.0,920.0,0.0,920.0
2017-01-20 14:36:00,3214.0,-23.0,920.0,0.0,920.0
2017-01-20 14:37:00,3215.0,-23.0,-230.0,0.0,-230.0
2017-01-20 14:38:00,3214.0,-23.0,230.0,0.0,230.0
2017-01-20 14:39:00,3212.0,-23.0,460.0,0.0,460.0
2017-01-20 14:41:00,3215.0,-23.0,-690.0,0.0,-690.0
2017-01-20 14:42:00,3215.0,-23.0,-0.0,0.0,-0.0
2017-01-20 14:43:00,3210.0,-23.0,1150.0,0.0,1150.0
2017-01-20 14:44:00,3208.0,-23.0,460.0,0.0,460.0
2017-01-20 14:45:00,3199.0,-23.0,2070.0,0.0,2070.0
2017-01-20 14:46:00,3205.0,-23.0,-1380.0,0.0,-1380.0
2017-01-20 14:47:00,3215.0,-23.0,-2300.0,0.0,-2300.0
2017-01-20 14:48:00,3212.0,-23.0,690.0,0.0,690.0
2017-01-20 14:49:00,3211.0,-23.0,230.0,0.0,230.0
2017-01-20 14:50:00,3204.0,-23.0,1610.0,0.0,1610.0
2017-01-20 14:51:00,3207.0,-23.0,-690.0,0.0,-690.0
2017-01-20 14:52:00,3204.0,-23.0,690.0,0.0,690.0
2017-01-20 14:53:00,3206.0,-23.0,-460.0,0.0,-460.0
2017-01-20 14:54:00,3203.0,-23.0,690.0,0.0,690.0
2017-01-20 14:55:00,3214.0,-23.0,-2530.0,0.0,-2530.0
2017-01-20 14:56:00,3205.0,-23.0,2070.0,0.0,2070.0
2017-01-20 14:57:00,3194.0,-23.0,2530.0,0.0,2530.0
2017-01-20 14:58:00,3198.0,-23.0,-920.0,0.0,-920.0
2017-01-20 14:59:00,3190.0,-23.0,1840.0,0.0,1840.0
2017-01-20 15:00:00,3190.0,-23.0,-0.0,0.0,-0.0
2017-01-20 15:01:00,3190.0,-23.0,-0.0,0.0,-0.0
2017-01-20 15:02:00,3190.0,-23.0,-0.0,0.0,-0.0
2017-01-20 15:03:00,3190.0,-23.0,-0.0,0.0,-0.0
2017-01-20 15:04:00,3190.0,-23.0,-0.0,0.0,-0.0
