stockdate,C,CZL,totalposition,profit,profit_ZL,comm,equity,equity_ZL
2016-12-05 08:55:00,,,11.0,,,,,
2016-12-05 08:56:00,,,11.0,,,0.0,,
2016-12-05 08:57:00,,,11.0,,,0.0,,
2016-12-05 08:58:00,,,11.0,,,0.0,,
2016-12-05 08:59:00,,,11.0,,,0.0,,
2016-12-05 09:00:00,8518.0,,11.0,,,0.0,,
2016-12-05 09:01:00,8554.0,,11.0,1980.0,,0.0,1980.0,
2016-12-05 09:02:00,8587.0,,11.0,1815.0,,0.0,1815.0,
2016-12-05 09:03:00,8611.0,,11.0,1320.0,,0.0,1320.0,
2016-12-05 09:04:00,8617.0,,11.0,330.0,,0.0,330.0,
2016-12-05 09:05:00,8581.0,,11.0,-1980.0,,0.0,-1980.0,
2016-12-05 09:06:00,8601.0,,11.0,1100.0,,0.0,1100.0,
2016-12-05 09:08:00,8582.0,,11.0,-1045.0,,0.0,-1045.0,
2016-12-05 09:09:00,8576.0,,11.0,-330.0,,0.0,-330.0,
2016-12-05 09:10:00,8567.0,,11.0,-495.0,,0.0,-495.0,
2016-12-05 09:11:00,8587.0,,11.0,1100.0,,0.0,1100.0,
2016-12-05 09:12:00,8598.0,,11.0,605.0,,0.0,605.0,
2016-12-05 09:13:00,8619.0,,11.0,1155.0,,0.0,1155.0,
2016-12-05 09:14:00,8616.0,,11.0,-165.0,,0.0,-165.0,
2016-12-05 09:15:00,8624.0,,11.0,440.0,,0.0,440.0,
2016-12-05 09:16:00,8611.0,,11.0,-715.0,,0.0,-715.0,
2016-12-05 09:17:00,8615.0,,11.0,220.0,,0.0,220.0,
2016-12-05 09:18:00,8607.0,,11.0,-440.0,,0.0,-440.0,
2016-12-05 09:19:00,8604.0,,11.0,-165.0,,0.0,-165.0,
2016-12-05 09:20:00,8624.0,,11.0,1100.0,,0.0,1100.0,
2016-12-05 09:21:00,8620.0,,11.0,-220.0,,0.0,-220.0,
2016-12-05 09:22:00,8631.0,,11.0,605.0,,0.0,605.0,
2016-12-05 09:23:00,8646.0,,11.0,825.0,,0.0,825.0,
2016-12-05 09:24:00,8648.0,,11.0,110.0,,0.0,110.0,
2016-12-05 09:25:00,8642.0,,11.0,-330.0,,0.0,-330.0,
2016-12-05 09:26:00,8642.0,,11.0,0.0,,0.0,0.0,
2016-12-05 09:27:00,8644.0,,11.0,110.0,,0.0,110.0,
2016-12-05 09:28:00,8633.0,,11.0,-605.0,,0.0,-605.0,
