stockdate,C,CZL,totalposition,profit,profit_ZL,comm,equity,equity_ZL
2017-02-10 09:33:00,645.0,656.5,0.0,,,,,
2017-02-10 09:34:00,644.0,655.5,4.0,-0.0,-0.0,100.0,-100.0,-100.0
2017-02-10 09:35:00,644.0,655.5,4.0,0.0,0.0,0.0,0.0,0.0
2017-02-10 09:36:00,645.0,657.0,4.0,400.0,600.0,0.0,400.0,600.0
2017-02-10 09:37:00,645.5,657.0,4.0,200.0,0.0,0.0,200.0,0.0
2017-02-10 09:38:00,645.5,657.5,4.0,0.0,200.0,0.0,0.0,200.0
2017-02-10 09:39:00,647.0,658.5,4.0,600.0,400.0,0.0,600.0,400.0
2017-02-10 09:40:00,646.5,658.0,4.0,-200.0,-200.0,0.0,-200.0,-200.0
2017-02-10 09:41:00,646.0,658.0,4.0,-200.0,0.0,0.0,-200.0,0.0
2017-02-10 09:42:00,646.0,657.5,4.0,0.0,-200.0,0.0,0.0,-200.0
2017-02-10 09:43:00,646.5,658.0,4.0,200.0,200.0,0.0,200.0,200.0
2017-02-10 09:44:00,647.5,659.0,4.0,400.0,400.0,0.0,400.0,400.0
2017-02-10 09:45:00,646.0,657.5,4.0,-600.0,-600.0,0.0,-600.0,-600.0
2017-02-10 09:46:00,646.0,658.0,4.0,0.0,200.0,0.0,0.0,200.0
2017-02-10 09:47:00,646.0,657.5,4.0,0.0,-200.0,0.0,0.0,-200.0
2017-02-10 09:48:00,646.0,657.5,4.0,0.0,0.0,0.0,0.0,0.0
2017-02-10 09:49:00,645.5,657.5,4.0,-200.0,0.0,0.0,-200.0,0.0
2017-02-10 09:50:00,645.5,657.5,4.0,0.0,0.0,0.0,0.0,0.0
2017-02-10 09:51:00,647.0,658.5,4.0,600.0,400.0,0.0,600.0,400.0
2017-02-10 09:52:00,646.5,658.0,4.0,-200.0,-200.0,0.0,-200.0,-200.0
2017-02-10 09:53:00,646.5,658.0,4.0,0.0,0.0,0.0,0.0,0.0
2017-02-10 09:54:00,646.0,658.0,4.0,-200.0,0.0,0.0,-200.0,0.0
2017-02-10 09:55:00,647.0,658.5,4.0,400.0,200.0,0.0,400.0,200.0
2017-02-10 09:57:00,646.0,657.5,4.0,-400.0,-400.0,0.0,-400.0,-400.0
2017-02-10 09:58:00,646.5,658.5,4.0,200.0,400.0,0.0,200.0,400.0
2017-02-10 09:59:00,647.5,659.5,4.0,400.0,400.0,0.0,400.0,400.0
2017-02-10 10:00:00,645.0,656.5,4.0,-1000.0,-1200.0,0.0,-1000.0,-1200.0
2017-02-10 10:01:00,645.5,657.5,4.0,200.0,400.0,0.0,200.0,400.0
2017-02-10 10:02:00,644.5,656.0,4.0,-400.0,-600.0,0.0,-400.0,-600.0
2017-02-10 10:03:00,645.0,657.0,4.0,200.0,400.0,0.0,200.0,400.0
2017-02-10 10:04:00,645.0,657.0,4.0,0.0,0.0,0.0,0.0,0.0
2017-02-10 10:05:00,645.0,656.5,4.0,0.0,-200.0,0.0,0.0,-200.0
2017-02-10 10:06:00,645.0,657.0,4.0,0.0,200.0,0.0,0.0,200.0
2017-02-10 10:07:00,645.5,657.5,4.0,200.0,200.0,0.0,200.0,200.0
2017-02-10 10:08:00,646.0,657.5,4.0,200.0,0.0,0.0,200.0,0.0
2017-02-10 10:09:00,646.0,658.0,4.0,0.0,200.0,0.0,0.0,200.0
2017-02-10 10:10:00,646.0,658.0,4.0,0.0,0.0,0.0,0.0,0.0
2017-02-10 10:11:00,646.0,658.0,4.0,0.0,0.0,0.0,0.0,0.0
2017-02-10 10:12:00,646.0,658.0,4.0,0.0,0.0,0.0,0.0,0.0
2017-02-10 10:13:00,645.5,657.5,4.0,-200.0,-200.0,0.0,-200.0,-200.0
2017-02-10 10:14:00,646.0,658.0,4.0,200.0,200.0,0.0,200.0,200.0
2017-02-10 10:15:00,646.0,658.0,4.0,0.0,0.0,0.0,0.0,0.0
2017-02-10 10:16:00,646.0,658.0,4.0,0.0,0.0,0.0,0.0,0.0
2017-02-10 10:17:00,646.0,658.0,4.0,0.0,0.0,0.0,0.0,0.0
2017-02-10 10:18:00,646.0,658.0,4.0,0.0,0.0,0.0,0.0,0.0
2017-02-10 10:19:00,646.0,658.0,4.0,0.0,0.0,0.0,0.0,0.0
2017-02-10 10:20:00,646.0,658.0,4.0,0.0,0.0,0.0,0.0,0.0
2017-02-10 10:21:00,646.0,658.0,4.0,0.0,0.0,0.0,0.0,0.0
2017-02-10 10:22:00,646.0,658.0,4.0,0.0,0.0,0.0,0.0,0.0
2017-02-10 10:23:00,646.0,658.0,4.0,0.0,0.0,0.0,0.0,0.0
2017-02-10 10:25:00,646.0,658.0,4.0,0.0,0.0,0.0,0.0,0.0
2017-02-10 10:26:00,646.0,658.0,4.0,0.0,0.0,0.0,0.0,0.0
2017-02-10 10:27:00,646.0,658.0,4.0,0.0,0.0,0.0,0.0,0.0
2017-02-10 10:28:00,646.0,658.0,4.0,0.0,0.0,0.0,0.0,0.0
2017-02-10 10:29:00,646.0,658.0,4.0,0.0,0.0,0.0,0.0,0.0
2017-02-10 10:30:00,646.5,658.5,4.0,200.0,200.0,0.0,200.0,200.0
2017-02-10 10:31:00,646.0,658.0,4.0,-200.0,-200.0,0.0,-200.0,-200.0
2017-02-10 10:32:00,645.5,657.0,4.0,-200.0,-400.0,0.0,-200.0,-400.0
2017-02-10 10:33:00,645.5,657.5,4.0,0.0,200.0,0.0,0.0,200.0
2017-02-10 10:34:00,645.5,657.0,4.0,0.0,-200.0,0.0,0.0,-200.0
2017-02-10 10:35:00,644.0,656.0,4.0,-600.0,-400.0,0.0,-600.0,-400.0
2017-02-10 10:36:00,644.0,655.5,4.0,0.0,-200.0,0.0,0.0,-200.0
2017-02-10 10:37:00,644.5,656.0,4.0,200.0,200.0,0.0,200.0,200.0
2017-02-10 10:38:00,644.5,656.0,4.0,0.0,0.0,0.0,0.0,0.0
2017-02-10 10:39:00,644.0,655.5,4.0,-200.0,-200.0,0.0,-200.0,-200.0
2017-02-10 10:40:00,645.5,657.0,4.0,600.0,600.0,0.0,600.0,600.0
2017-02-10 10:41:00,645.5,657.5,4.0,0.0,200.0,0.0,0.0,200.0
2017-02-10 10:42:00,645.5,657.5,4.0,0.0,0.0,0.0,0.0,0.0
2017-02-10 10:43:00,645.0,656.5,4.0,-200.0,-400.0,0.0,-200.0,-400.0
2017-02-10 10:44:00,645.5,657.0,4.0,200.0,200.0,0.0,200.0,200.0
2017-02-10 10:45:00,646.0,657.5,4.0,200.0,200.0,0.0,200.0,200.0
2017-02-10 10:46:00,645.5,657.5,4.0,-200.0,0.0,0.0,-200.0,0.0
2017-02-10 10:47:00,646.0,657.5,4.0,200.0,0.0,0.0,200.0,0.0
2017-02-10 10:48:00,645.0,656.5,4.0,-400.0,-400.0,0.0,-400.0,-400.0
2017-02-10 10:49:00,644.0,655.5,4.0,-400.0,-400.0,0.0,-400.0,-400.0
2017-02-10 10:50:00,644.5,656.0,4.0,200.0,200.0,0.0,200.0,200.0
2017-02-10 10:51:00,645.0,656.5,4.0,200.0,200.0,0.0,200.0,200.0
2017-02-10 10:52:00,644.5,656.0,4.0,-200.0,-200.0,0.0,-200.0,-200.0
2017-02-10 10:54:00,644.5,656.0,4.0,0.0,0.0,0.0,0.0,0.0
2017-02-10 10:55:00,644.5,656.0,4.0,0.0,0.0,0.0,0.0,0.0
2017-02-10 10:56:00,644.0,656.0,4.0,-200.0,0.0,0.0,-200.0,0.0
2017-02-10 10:57:00,644.0,656.0,4.0,0.0,0.0,0.0,0.0,0.0
2017-02-10 10:58:00,644.0,655.5,4.0,0.0,-200.0,0.0,0.0,-200.0
2017-02-10 10:59:00,644.0,655.5,4.0,0.0,0.0,0.0,0.0,0.0
2017-02-10 11:00:00,643.0,654.5,4.0,-400.0,-400.0,0.0,-400.0,-400.0
2017-02-10 11:01:00,643.0,654.5,4.0,0.0,0.0,0.0,0.0,0.0
2017-02-10 11:02:00,644.5,656.0,4.0,600.0,600.0,0.0,600.0,600.0
2017-02-10 11:03:00,644.5,656.0,4.0,0.0,0.0,0.0,0.0,0.0
2017-02-10 11:04:00,644.5,656.0,4.0,0.0,0.0,0.0,0.0,0.0
2017-02-10 11:05:00,645.5,657.0,4.0,400.0,400.0,0.0,400.0,400.0
2017-02-10 11:06:00,645.5,657.0,4.0,0.0,0.0,0.0,0.0,0.0
2017-02-10 11:07:00,645.5,657.0,4.0,0.0,0.0,0.0,0.0,0.0
2017-02-10 11:08:00,646.0,657.5,4.0,200.0,200.0,0.0,200.0,200.0
2017-02-10 11:09:00,645.5,657.0,4.0,-200.0,-200.0,0.0,-200.0,-200.0
2017-02-10 11:10:00,645.0,656.5,4.0,-200.0,-200.0,0.0,-200.0,-200.0
2017-02-10 11:11:00,645.5,657.0,4.0,200.0,200.0,0.0,200.0,200.0
2017-02-10 11:12:00,645.0,656.5,4.0,-200.0,-200.0,0.0,-200.0,-200.0
2017-02-10 11:13:00,645.5,657.0,4.0,200.0,200.0,0.0,200.0,200.0
2017-02-10 11:14:00,645.0,656.5,4.0,-200.0,-200.0,0.0,-200.0,-200.0
2017-02-10 11:15:00,645.0,656.5,4.0,0.0,0.0,0.0,0.0,0.0
2017-02-10 11:16:00,644.5,656.0,4.0,-200.0,-200.0,0.0,-200.0,-200.0
2017-02-10 11:17:00,644.0,655.5,4.0,-200.0,-200.0,0.0,-200.0,-200.0
2017-02-10 11:18:00,645.0,656.0,4.0,400.0,200.0,0.0,400.0,200.0
2017-02-10 11:19:00,644.5,656.0,4.0,-200.0,0.0,0.0,-200.0,0.0
2017-02-10 11:20:00,645.0,656.5,4.0,200.0,200.0,0.0,200.0,200.0
2017-02-10 11:22:00,644.0,655.5,4.0,-400.0,-400.0,0.0,-400.0,-400.0
2017-02-10 11:23:00,645.0,656.5,4.0,400.0,400.0,0.0,400.0,400.0
2017-02-10 11:24:00,645.0,656.5,4.0,0.0,0.0,0.0,0.0,0.0
2017-02-10 11:25:00,644.0,655.5,4.0,-400.0,-400.0,0.0,-400.0,-400.0
2017-02-10 11:26:00,644.0,655.5,4.0,0.0,0.0,0.0,0.0,0.0
2017-02-10 11:27:00,645.0,656.5,4.0,400.0,400.0,0.0,400.0,400.0
2017-02-10 11:28:00,645.5,657.0,4.0,200.0,200.0,0.0,200.0,200.0
2017-02-10 11:29:00,644.0,655.5,4.0,-600.0,-600.0,0.0,-600.0,-600.0
2017-02-10 11:30:00,644.0,655.5,4.0,0.0,0.0,0.0,0.0,0.0
2017-02-10 12:58:00,644.0,655.5,4.0,0.0,0.0,0.0,0.0,0.0
2017-02-10 12:59:00,644.0,655.5,4.0,0.0,0.0,0.0,0.0,0.0
2017-02-10 13:00:00,644.0,655.5,4.0,0.0,0.0,0.0,0.0,0.0
2017-02-10 13:01:00,644.0,655.5,4.0,0.0,0.0,0.0,0.0,0.0
2017-02-10 13:02:00,644.0,655.5,4.0,0.0,0.0,0.0,0.0,0.0
2017-02-10 13:03:00,644.0,655.5,4.0,0.0,0.0,0.0,0.0,0.0
2017-02-10 13:04:00,644.0,655.5,4.0,0.0,0.0,0.0,0.0,0.0
2017-02-10 13:05:00,644.0,655.5,4.0,0.0,0.0,0.0,0.0,0.0
2017-02-10 13:06:00,644.0,655.5,4.0,0.0,0.0,0.0,0.0,0.0
2017-02-10 13:07:00,644.0,655.5,4.0,0.0,0.0,0.0,0.0,0.0
2017-02-10 13:08:00,644.0,655.5,4.0,0.0,0.0,0.0,0.0,0.0
2017-02-10 13:09:00,644.0,655.5,4.0,0.0,0.0,0.0,0.0,0.0
2017-02-10 13:10:00,644.0,655.5,4.0,0.0,0.0,0.0,0.0,0.0
2017-02-10 13:11:00,644.0,655.5,4.0,0.0,0.0,0.0,0.0,0.0
2017-02-10 13:12:00,644.0,655.5,4.0,0.0,0.0,0.0,0.0,0.0
2017-02-10 13:13:00,644.0,655.5,4.0,0.0,0.0,0.0,0.0,0.0
2017-02-10 13:14:00,644.0,655.5,4.0,0.0,0.0,0.0,0.0,0.0
2017-02-10 13:16:00,644.0,655.5,4.0,0.0,0.0,0.0,0.0,0.0
2017-02-10 13:17:00,644.0,655.5,4.0,0.0,0.0,0.0,0.0,0.0
2017-02-10 13:18:00,644.0,655.5,4.0,0.0,0.0,0.0,0.0,0.0
