stockdate,C,CZL,totalposition,profit,profit_ZL,comm,equity,equity_ZL
2017-02-13 08:55:00,,,-23.0,,,,,
2017-02-13 08:57:00,,,-23.0,,,0.0,,
2017-02-13 08:58:00,,,-23.0,,,0.0,,
2017-02-13 08:59:00,,,-23.0,,,0.0,,
2017-02-13 09:00:00,15995.0,15950.0,-23.0,,,0.0,,
2017-02-13 09:01:00,16000.0,15955.0,-23.0,-575.0,-575.0,0.0,-575.0,-575.0
2017-02-13 09:02:00,16020.0,15975.0,-23.0,-2300.0,-2300.0,0.0,-2300.0,-2300.0
2017-02-13 09:03:00,16030.0,15985.0,-23.0,-1150.0,-1150.0,0.0,-1150.0,-1150.0
2017-02-13 09:04:00,16055.0,16010.0,-23.0,-2875.0,-2875.0,0.0,-2875.0,-2875.0
2017-02-13 09:05:00,16055.0,16015.0,-23.0,-0.0,-575.0,0.0,-0.0,-575.0
2017-02-13 09:06:00,16070.0,16035.0,-23.0,-1725.0,-2300.0,0.0,-1725.0,-2300.0
2017-02-13 09:07:00,16080.0,16040.0,-23.0,-1150.0,-575.0,0.0,-1150.0,-575.0
2017-02-13 09:08:00,16080.0,16040.0,-23.0,-0.0,-0.0,0.0,-0.0,-0.0
2017-02-13 09:09:00,16095.0,16055.0,-23.0,-1725.0,-1725.0,0.0,-1725.0,-1725.0
2017-02-13 09:10:00,16105.0,16065.0,-23.0,-1150.0,-1150.0,0.0,-1150.0,-1150.0
2017-02-13 09:11:00,16085.0,16040.0,-23.0,2300.0,2875.0,0.0,2300.0,2875.0
2017-02-13 09:12:00,16080.0,16040.0,-23.0,575.0,-0.0,0.0,575.0,-0.0
2017-02-13 09:13:00,16110.0,16070.0,-23.0,-3450.0,-3450.0,0.0,-3450.0,-3450.0
2017-02-13 09:14:00,16120.0,16080.0,-23.0,-1150.0,-1150.0,0.0,-1150.0,-1150.0
2017-02-13 09:15:00,16130.0,16090.0,-23.0,-1150.0,-1150.0,0.0,-1150.0,-1150.0
2017-02-13 09:16:00,16150.0,16105.0,-23.0,-2300.0,-1725.0,0.0,-2300.0,-1725.0
2017-02-13 09:17:00,16160.0,16120.0,-23.0,-1150.0,-1725.0,0.0,-1150.0,-1725.0
2017-02-13 09:18:00,16130.0,16090.0,-23.0,3450.0,3450.0,0.0,3450.0,3450.0
2017-02-13 09:19:00,16160.0,16120.0,-23.0,-3450.0,-3450.0,0.0,-3450.0,-3450.0
2017-02-13 09:20:00,16135.0,16095.0,-20.0,2875.0,2875.0,75.0,2800.0,2800.0
2017-02-13 09:21:00,16135.0,16095.0,-10.0,-0.0,-0.0,250.0,-250.0,-250.0
