stockdate,C,CZL,totalposition,profit,profit_ZL,comm,equity,equity_ZL
2017-02-13 08:55:00,,,22.0,,,,,
2017-02-13 08:57:00,,,22.0,,,0.0,,
2017-02-13 08:58:00,,,22.0,,,0.0,,
2017-02-13 08:59:00,,,22.0,,,0.0,,
2017-02-13 09:00:00,7328.0,7246.0,22.0,,,0.0,,
2017-02-13 09:01:00,7324.0,7242.0,22.0,-880.0,-880.0,0.0,-880.0,-880.0
2017-02-13 09:02:00,7316.0,7232.0,22.0,-1760.0,-2200.0,0.0,-1760.0,-2200.0
2017-02-13 09:03:00,7320.0,7236.0,22.0,880.0,880.0,0.0,880.0,880.0
2017-02-13 09:04:00,7324.0,7242.0,22.0,880.0,1320.0,0.0,880.0,1320.0
2017-02-13 09:05:00,7318.0,7236.0,22.0,-1320.0,-1320.0,0.0,-1320.0,-1320.0
2017-02-13 09:06:00,7324.0,7242.0,22.0,1320.0,1320.0,0.0,1320.0,1320.0
2017-02-13 09:07:00,7322.0,7240.0,22.0,-440.0,-440.0,0.0,-440.0,-440.0
2017-02-13 09:08:00,7318.0,7236.0,22.0,-880.0,-880.0,0.0,-880.0,-880.0
2017-02-13 09:09:00,7324.0,7242.0,22.0,1320.0,1320.0,0.0,1320.0,1320.0
2017-02-13 09:10:00,7338.0,7256.0,22.0,3080.0,3080.0,0.0,3080.0,3080.0
2017-02-13 09:11:00,7328.0,7246.0,22.0,-2200.0,-2200.0,0.0,-2200.0,-2200.0
2017-02-13 09:12:00,7324.0,7242.0,22.0,-880.0,-880.0,0.0,-880.0,-880.0
2017-02-13 09:13:00,7330.0,7248.0,22.0,1320.0,1320.0,0.0,1320.0,1320.0
2017-02-13 09:14:00,7326.0,7244.0,22.0,-880.0,-880.0,0.0,-880.0,-880.0
2017-02-13 09:15:00,7330.0,7248.0,22.0,880.0,880.0,0.0,880.0,880.0
2017-02-13 09:16:00,7330.0,7248.0,22.0,0.0,0.0,0.0,0.0,0.0
2017-02-13 09:17:00,7334.0,7252.0,22.0,880.0,880.0,0.0,880.0,880.0
2017-02-13 09:18:00,7336.0,7254.0,22.0,440.0,440.0,0.0,440.0,440.0
2017-02-13 09:19:00,7334.0,7252.0,22.0,-440.0,-440.0,0.0,-440.0,-440.0
2017-02-13 09:20:00,7334.0,7252.0,22.0,0.0,0.0,0.0,0.0,0.0
2017-02-13 09:21:00,7330.0,7248.0,22.0,-880.0,-880.0,0.0,-880.0,-880.0
2017-02-13 09:22:00,7318.0,7236.0,22.0,-2640.0,-2640.0,0.0,-2640.0,-2640.0
2017-02-13 09:23:00,7320.0,7238.0,22.0,440.0,440.0,0.0,440.0,440.0
2017-02-13 09:25:00,7318.0,7236.0,22.0,-440.0,-440.0,0.0,-440.0,-440.0
2017-02-13 09:26:00,7304.0,7222.0,22.0,-3080.0,-3080.0,0.0,-3080.0,-3080.0
2017-02-13 09:27:00,7306.0,7222.0,22.0,440.0,0.0,0.0,440.0,0.0
2017-02-13 09:28:00,7308.0,7226.0,22.0,440.0,880.0,0.0,440.0,880.0
2017-02-13 09:29:00,7312.0,7230.0,22.0,880.0,880.0,0.0,880.0,880.0
2017-02-13 09:30:00,7310.0,7228.0,22.0,-440.0,-440.0,0.0,-440.0,-440.0
2017-02-13 09:31:00,7306.0,7222.0,22.0,-880.0,-1320.0,0.0,-880.0,-1320.0
2017-02-13 09:32:00,7302.0,7218.0,11.0,-880.0,-880.0,220.0,-1100.0,-1100.0
2017-02-13 09:33:00,7312.0,7228.0,11.0,1100.0,1100.0,0.0,1100.0,1100.0
2017-02-13 09:34:00,7314.0,7230.0,11.0,220.0,220.0,0.0,220.0,220.0
2017-02-13 09:35:00,7310.0,7226.0,11.0,-440.0,-440.0,0.0,-440.0,-440.0
2017-02-13 09:36:00,7312.0,7226.0,11.0,220.0,0.0,0.0,220.0,0.0
2017-02-13 09:37:00,7314.0,7230.0,11.0,220.0,440.0,0.0,220.0,440.0
2017-02-13 09:38:00,7314.0,7230.0,11.0,0.0,0.0,0.0,0.0,0.0
2017-02-13 09:39:00,7308.0,7224.0,11.0,-660.0,-660.0,0.0,-660.0,-660.0
2017-02-13 09:40:00,7308.0,7224.0,11.0,0.0,0.0,0.0,0.0,0.0
2017-02-13 09:41:00,7312.0,7228.0,11.0,440.0,440.0,0.0,440.0,440.0
2017-02-13 09:42:00,7308.0,7224.0,11.0,-440.0,-440.0,0.0,-440.0,-440.0
2017-02-13 09:43:00,7310.0,7226.0,11.0,220.0,220.0,0.0,220.0,220.0
