stockdate,C,CZL,totalposition,profit,profit_ZL,comm,equity,equity_ZL
2017-02-13 08:55:00,,,3.0,,,,,
2017-02-13 08:57:00,,,3.0,,,0.0,,
2017-02-13 08:58:00,,,3.0,,,0.0,,
2017-02-13 08:59:00,,,3.0,,,0.0,,
2017-02-13 09:00:00,6974.0,6962.0,3.0,,,0.0,,
2017-02-13 09:01:00,6970.0,6956.0,-6.0,-120.0,-180.0,180.0,-300.0,-360.0
2017-02-13 09:02:00,6970.0,6956.0,3.0,-0.0,-0.0,180.0,-180.0,-180.0
2017-02-13 09:03:00,6974.0,6962.0,3.0,120.0,180.0,0.0,120.0,180.0
2017-02-13 09:04:00,6976.0,6964.0,3.0,60.0,60.0,0.0,60.0,60.0
2017-02-13 09:05:00,6972.0,6958.0,3.0,-120.0,-180.0,0.0,-120.0,-180.0
2017-02-13 09:06:00,6974.0,6962.0,3.0,60.0,120.0,0.0,60.0,120.0
2017-02-13 09:07:00,6972.0,6960.0,3.0,-60.0,-60.0,0.0,-60.0,-60.0
2017-02-13 09:08:00,6972.0,6958.0,3.0,0.0,-60.0,0.0,0.0,-60.0
2017-02-13 09:09:00,6978.0,6966.0,3.0,180.0,240.0,0.0,180.0,240.0
2017-02-13 09:10:00,6988.0,6974.0,3.0,300.0,240.0,0.0,300.0,240.0
2017-02-13 09:11:00,6980.0,6968.0,3.0,-240.0,-180.0,0.0,-240.0,-180.0
2017-02-13 09:12:00,6976.0,6964.0,3.0,-120.0,-120.0,0.0,-120.0,-120.0
2017-02-13 09:13:00,6978.0,6964.0,3.0,60.0,0.0,0.0,60.0,0.0
2017-02-13 09:14:00,6972.0,6958.0,3.0,-180.0,-180.0,0.0,-180.0,-180.0
2017-02-13 09:15:00,6976.0,6962.0,3.0,120.0,120.0,0.0,120.0,120.0
2017-02-13 09:16:00,6974.0,6960.0,3.0,-60.0,-60.0,0.0,-60.0,-60.0
2017-02-13 09:17:00,6978.0,6964.0,3.0,120.0,120.0,0.0,120.0,120.0
2017-02-13 09:18:00,6978.0,6964.0,3.0,0.0,0.0,0.0,0.0,0.0
2017-02-13 09:19:00,6980.0,6966.0,3.0,60.0,60.0,0.0,60.0,60.0
2017-02-13 09:20:00,6978.0,6964.0,3.0,-60.0,-60.0,0.0,-60.0,-60.0
2017-02-13 09:21:00,6968.0,6952.0,3.0,-300.0,-360.0,0.0,-300.0,-360.0
2017-02-13 09:22:00,6960.0,6948.0,3.0,-240.0,-120.0,0.0,-240.0,-120.0
2017-02-13 09:23:00,6960.0,6946.0,3.0,0.0,-60.0,0.0,0.0,-60.0
2017-02-13 09:25:00,6960.0,6946.0,3.0,0.0,0.0,0.0,0.0,0.0
2017-02-13 09:26:00,6954.0,6938.0,3.0,-180.0,-240.0,0.0,-180.0,-240.0
