stockdate,C,CZL,totalposition,profit,profit_ZL,comm,equity,equity_ZL
2017-02-17 09:01:00,91640.0,,4.0,,,,,
2017-02-17 09:02:00,91700.0,,0.0,240.0,,80.0,160.0,
2017-02-17 09:03:00,91750.0,,0.0,0.0,,0.0,0.0,
2017-02-17 09:04:00,91710.0,,0.0,-0.0,,0.0,-0.0,
2017-02-17 09:05:00,91790.0,,0.0,0.0,,0.0,0.0,
2017-02-17 09:06:00,91930.0,,0.0,0.0,,0.0,0.0,
2017-02-17 09:07:00,91750.0,,0.0,-0.0,,0.0,-0.0,
2017-02-17 09:08:00,91710.0,,0.0,-0.0,,0.0,-0.0,
2017-02-17 09:09:00,91570.0,,0.0,-0.0,,0.0,-0.0,
2017-02-17 09:10:00,91600.0,,0.0,0.0,,0.0,0.0,
2017-02-17 09:11:00,91640.0,,0.0,0.0,,0.0,0.0,
2017-02-17 09:12:00,91570.0,,0.0,-0.0,,0.0,-0.0,
2017-02-17 09:13:00,91570.0,,0.0,0.0,,0.0,0.0,
2017-02-17 09:14:00,91500.0,,0.0,-0.0,,0.0,-0.0,
2017-02-17 09:15:00,91560.0,,0.0,0.0,,0.0,0.0,
2017-02-17 09:16:00,91640.0,,0.0,0.0,,0.0,0.0,
2017-02-17 09:17:00,91590.0,,0.0,-0.0,,0.0,-0.0,
2017-02-17 09:18:00,91660.0,,0.0,0.0,,0.0,0.0,
2017-02-17 09:19:00,91650.0,,0.0,-0.0,,0.0,-0.0,
2017-02-17 09:20:00,91750.0,,0.0,0.0,,0.0,0.0,
2017-02-17 09:21:00,91750.0,,0.0,0.0,,0.0,0.0,
2017-02-17 09:22:00,91690.0,,0.0,-0.0,,0.0,-0.0,
2017-02-17 09:23:00,91640.0,,0.0,-0.0,,0.0,-0.0,
2017-02-17 09:24:00,91520.0,,0.0,-0.0,,0.0,-0.0,
2017-02-17 09:25:00,91510.0,,0.0,-0.0,,0.0,-0.0,
2017-02-17 09:26:00,91460.0,,0.0,-0.0,,0.0,-0.0,
2017-02-17 09:28:00,91530.0,,0.0,0.0,,0.0,0.0,
2017-02-17 09:29:00,91610.0,,0.0,0.0,,0.0,0.0,
2017-02-17 09:30:00,91540.0,,0.0,-0.0,,0.0,-0.0,
2017-02-17 09:31:00,91570.0,,0.0,0.0,,0.0,0.0,
2017-02-17 09:32:00,91670.0,,0.0,0.0,,0.0,0.0,
2017-02-17 09:33:00,91580.0,,0.0,-0.0,,0.0,-0.0,
2017-02-17 09:34:00,91610.0,,0.0,0.0,,0.0,0.0,
2017-02-17 09:35:00,91580.0,,0.0,-0.0,,0.0,-0.0,
2017-02-17 09:36:00,91570.0,,0.0,-0.0,,0.0,-0.0,
2017-02-17 09:37:00,91480.0,,0.0,-0.0,,0.0,-0.0,
2017-02-17 09:38:00,91170.0,,0.0,-0.0,,0.0,-0.0,
2017-02-17 09:39:00,91270.0,,0.0,0.0,,0.0,0.0,
2017-02-17 09:40:00,91320.0,,0.0,0.0,,0.0,0.0,
2017-02-17 09:41:00,91350.0,,0.0,0.0,,0.0,0.0,
2017-02-17 09:42:00,91280.0,,0.0,-0.0,,0.0,-0.0,
2017-02-17 09:43:00,91340.0,,0.0,0.0,,0.0,0.0,
2017-02-17 09:44:00,91410.0,,0.0,0.0,,0.0,0.0,
2017-02-17 09:45:00,91350.0,,0.0,-0.0,,0.0,-0.0,
2017-02-17 09:46:00,91450.0,,0.0,0.0,,0.0,0.0,
2017-02-17 09:47:00,91500.0,,0.0,0.0,,0.0,0.0,
2017-02-17 09:48:00,91480.0,,0.0,-0.0,,0.0,-0.0,
2017-02-17 09:49:00,91440.0,,0.0,-0.0,,0.0,-0.0,
2017-02-17 09:50:00,91500.0,,0.0,0.0,,0.0,0.0,
2017-02-17 09:51:00,91500.0,,0.0,0.0,,0.0,0.0,
2017-02-17 09:52:00,91430.0,,0.0,-0.0,,0.0,-0.0,
2017-02-17 09:53:00,91450.0,,0.0,0.0,,0.0,0.0,
2017-02-17 09:54:00,91340.0,,0.0,-0.0,,0.0,-0.0,
2017-02-17 09:56:00,91430.0,,0.0,0.0,,0.0,0.0,
2017-02-17 09:57:00,91540.0,,0.0,0.0,,0.0,0.0,
2017-02-17 09:58:00,91470.0,,0.0,-0.0,,0.0,-0.0,
2017-02-17 09:59:00,91480.0,,0.0,0.0,,0.0,0.0,
2017-02-17 10:00:00,91390.0,,0.0,-0.0,,0.0,-0.0,
2017-02-17 10:01:00,91370.0,,0.0,-0.0,,0.0,-0.0,
2017-02-17 10:02:00,91340.0,,0.0,-0.0,,0.0,-0.0,
2017-02-17 10:03:00,91370.0,,0.0,0.0,,0.0,0.0,
2017-02-17 10:04:00,91160.0,,0.0,-0.0,,0.0,-0.0,
2017-02-17 10:05:00,91250.0,,0.0,0.0,,0.0,0.0,
2017-02-17 10:06:00,91310.0,,0.0,0.0,,0.0,0.0,
2017-02-17 10:07:00,91400.0,,0.0,0.0,,0.0,0.0,
2017-02-17 10:08:00,91450.0,,0.0,0.0,,0.0,0.0,
