stockdate,C,CZL,totalposition,profit,profit_ZL,comm,equity,equity_ZL
2016-12-30 00:00:00,12695.0,12620.0,-1.0,,,,,
2016-12-30 00:01:00,12700.0,12625.0,-1.0,-25.0,-25.0,0.0,-25.0,-25.0
2016-12-30 00:02:00,12700.0,12620.0,-1.0,-0.0,25.0,0.0,-0.0,25.0
2016-12-30 00:03:00,12705.0,12630.0,-1.0,-25.0,-50.0,0.0,-25.0,-50.0
2016-12-30 00:04:00,12705.0,12625.0,-1.0,-0.0,25.0,0.0,-0.0,25.0
2016-12-30 00:05:00,12705.0,12630.0,-1.0,-0.0,-25.0,0.0,-0.0,-25.0
2016-12-30 00:06:00,12705.0,12630.0,-1.0,-0.0,-0.0,0.0,-0.0,-0.0
2016-12-30 00:07:00,12705.0,12630.0,-1.0,-0.0,-0.0,0.0,-0.0,-0.0
2016-12-30 00:08:00,12700.0,12630.0,-1.0,25.0,-0.0,0.0,25.0,-0.0
2016-12-30 00:09:00,12700.0,12625.0,-1.0,-0.0,25.0,0.0,-0.0,25.0
2016-12-30 00:10:00,12700.0,12625.0,-1.0,-0.0,-0.0,0.0,-0.0,-0.0
2016-12-30 00:11:00,12700.0,12630.0,-1.0,-0.0,-25.0,0.0,-0.0,-25.0
2016-12-30 00:12:00,12700.0,12630.0,-1.0,-0.0,-0.0,0.0,-0.0,-0.0
2016-12-30 00:13:00,12700.0,12630.0,-1.0,-0.0,-0.0,0.0,-0.0,-0.0
2016-12-30 00:14:00,12700.0,12625.0,-1.0,-0.0,25.0,0.0,-0.0,25.0
2016-12-30 00:15:00,12700.0,12620.0,-1.0,-0.0,25.0,0.0,-0.0,25.0
2016-12-30 00:16:00,12700.0,12630.0,-1.0,-0.0,-50.0,0.0,-0.0,-50.0
2016-12-30 00:17:00,12705.0,12625.0,-1.0,-25.0,25.0,0.0,-25.0,25.0
2016-12-30 00:18:00,12705.0,12630.0,-1.0,-0.0,-25.0,0.0,-0.0,-25.0
2016-12-30 00:20:00,12705.0,12630.0,-1.0,-0.0,-0.0,0.0,-0.0,-0.0
2016-12-30 00:21:00,12705.0,12635.0,-1.0,-0.0,-25.0,0.0,-0.0,-25.0
2016-12-30 00:22:00,12710.0,12640.0,-1.0,-25.0,-25.0,0.0,-25.0,-25.0
2016-12-30 00:23:00,12705.0,12630.0,-1.0,25.0,50.0,0.0,25.0,50.0
2016-12-30 00:24:00,12710.0,12635.0,-1.0,-25.0,-25.0,0.0,-25.0,-25.0
2016-12-30 00:25:00,12710.0,12635.0,-1.0,-0.0,-0.0,0.0,-0.0,-0.0
2016-12-30 00:26:00,12710.0,12635.0,-1.0,-0.0,-0.0,0.0,-0.0,-0.0
2016-12-30 00:27:00,12710.0,12640.0,-1.0,-0.0,-25.0,0.0,-0.0,-25.0
2016-12-30 00:28:00,12710.0,12640.0,-1.0,-0.0,-0.0,0.0,-0.0,-0.0
2016-12-30 00:29:00,12710.0,12635.0,-1.0,-0.0,25.0,0.0,-0.0,25.0
2016-12-30 00:30:00,12710.0,12635.0,-1.0,-0.0,-0.0,0.0,-0.0,-0.0
2016-12-30 00:31:00,12710.0,12635.0,-1.0,-0.0,-0.0,0.0,-0.0,-0.0
2016-12-30 00:32:00,12715.0,12645.0,-1.0,-25.0,-50.0,0.0,-25.0,-50.0
2016-12-30 00:33:00,12715.0,12640.0,-1.0,-0.0,25.0,0.0,-0.0,25.0
2016-12-30 00:34:00,12715.0,12640.0,-1.0,-0.0,-0.0,0.0,-0.0,-0.0
