stockdate,C,CZL,totalposition,profit,profit_ZL,comm,equity,equity_ZL
2017-01-05 09:15:00,3519.0,3439.0,21.0,,,,,
2017-01-05 09:16:00,3516.0,3436.0,21.0,-315.0,-315.0,0.0,-315.0,-315.0
2017-01-05 09:17:00,3518.0,3439.0,21.0,210.0,315.0,0.0,210.0,315.0
2017-01-05 09:18:00,3518.0,3439.0,21.0,0.0,0.0,0.0,0.0,0.0
2017-01-05 09:19:00,3517.0,3438.0,21.0,-105.0,-105.0,0.0,-105.0,-105.0
2017-01-05 09:20:00,3523.0,3444.0,21.0,630.0,630.0,0.0,630.0,630.0
2017-01-05 09:21:00,3518.0,3439.0,21.0,-525.0,-525.0,0.0,-525.0,-525.0
2017-01-05 09:22:00,3514.0,3435.0,21.0,-420.0,-420.0,0.0,-420.0,-420.0
2017-01-05 09:23:00,3512.0,3432.0,21.0,-210.0,-315.0,0.0,-210.0,-315.0
2017-01-05 09:25:00,3513.0,3434.0,21.0,105.0,210.0,0.0,105.0,210.0
2017-01-05 09:26:00,3511.0,3431.0,21.0,-210.0,-315.0,0.0,-210.0,-315.0
2017-01-05 09:27:00,3507.0,3427.0,21.0,-420.0,-420.0,0.0,-420.0,-420.0
2017-01-05 09:28:00,3506.0,3426.0,21.0,-105.0,-105.0,0.0,-105.0,-105.0
2017-01-05 09:29:00,3511.0,3432.0,21.0,525.0,630.0,0.0,525.0,630.0
2017-01-05 09:30:00,3510.0,3430.0,21.0,-105.0,-210.0,0.0,-105.0,-210.0
2017-01-05 09:31:00,3510.0,3431.0,21.0,0.0,105.0,0.0,0.0,105.0
2017-01-05 09:32:00,3511.0,3432.0,21.0,105.0,105.0,0.0,105.0,105.0
2017-01-05 09:33:00,3514.0,3435.0,21.0,315.0,315.0,0.0,315.0,315.0
2017-01-05 09:34:00,3513.0,3434.0,21.0,-105.0,-105.0,0.0,-105.0,-105.0
2017-01-05 09:35:00,3510.0,3431.0,21.0,-315.0,-315.0,0.0,-315.0,-315.0
2017-01-05 09:36:00,3509.0,3429.0,21.0,-105.0,-210.0,0.0,-105.0,-210.0
2017-01-05 09:37:00,3511.0,3432.0,21.0,210.0,315.0,0.0,210.0,315.0
2017-01-05 09:38:00,3504.0,3424.0,21.0,-735.0,-840.0,0.0,-735.0,-840.0
2017-01-05 09:39:00,3506.0,3426.0,21.0,210.0,210.0,0.0,210.0,210.0
2017-01-05 09:40:00,3507.0,3428.0,21.0,105.0,210.0,0.0,105.0,210.0
2017-01-05 09:41:00,3507.0,3428.0,21.0,0.0,0.0,0.0,0.0,0.0
2017-01-05 09:42:00,3509.0,3429.0,21.0,210.0,105.0,0.0,210.0,105.0
2017-01-05 09:43:00,3508.0,3428.0,21.0,-105.0,-105.0,0.0,-105.0,-105.0
2017-01-05 09:44:00,3509.0,3430.0,21.0,105.0,210.0,0.0,105.0,210.0
2017-01-05 09:45:00,3509.0,3430.0,21.0,0.0,0.0,0.0,0.0,0.0
2017-01-05 09:46:00,3506.0,3426.0,21.0,-315.0,-420.0,0.0,-315.0,-420.0
2017-01-05 09:47:00,3504.0,3424.0,21.0,-210.0,-210.0,0.0,-210.0,-210.0
2017-01-05 09:48:00,3501.0,3422.0,21.0,-315.0,-210.0,0.0,-315.0,-210.0
2017-01-05 09:49:00,3497.0,3417.0,21.0,-420.0,-525.0,0.0,-420.0,-525.0
2017-01-05 09:50:00,3500.0,3421.0,21.0,315.0,420.0,0.0,315.0,420.0
2017-01-05 09:51:00,3494.0,3413.0,21.0,-630.0,-840.0,0.0,-630.0,-840.0
2017-01-05 09:53:00,3499.0,3419.0,21.0,525.0,630.0,0.0,525.0,630.0
2017-01-05 09:54:00,3499.0,3418.0,21.0,0.0,-105.0,0.0,0.0,-105.0
2017-01-05 09:55:00,3495.0,3414.0,21.0,-420.0,-420.0,0.0,-420.0,-420.0
2017-01-05 09:56:00,3495.0,3413.0,21.0,0.0,-105.0,0.0,0.0,-105.0
2017-01-05 09:57:00,3493.0,3412.0,21.0,-210.0,-105.0,0.0,-210.0,-105.0
2017-01-05 09:58:00,3495.0,3414.0,21.0,210.0,210.0,0.0,210.0,210.0
2017-01-05 09:59:00,3496.0,3415.0,21.0,105.0,105.0,0.0,105.0,105.0
2017-01-05 10:00:00,3497.0,3416.0,21.0,105.0,105.0,0.0,105.0,105.0
2017-01-05 10:01:00,3502.0,3421.0,21.0,525.0,525.0,0.0,525.0,525.0
2017-01-05 10:02:00,3502.0,3421.0,21.0,0.0,0.0,0.0,0.0,0.0
2017-01-05 10:03:00,3501.0,3420.0,21.0,-105.0,-105.0,0.0,-105.0,-105.0
2017-01-05 10:04:00,3504.0,3424.0,21.0,315.0,420.0,0.0,315.0,420.0
2017-01-05 10:05:00,3505.0,3424.0,21.0,105.0,0.0,0.0,105.0,0.0
2017-01-05 10:06:00,3503.0,3422.0,21.0,-210.0,-210.0,0.0,-210.0,-210.0
2017-01-05 10:07:00,3502.0,3421.0,21.0,-105.0,-105.0,0.0,-105.0,-105.0
2017-01-05 10:08:00,3503.0,3422.0,21.0,105.0,105.0,0.0,105.0,105.0
2017-01-05 10:09:00,3504.0,3423.0,21.0,105.0,105.0,0.0,105.0,105.0
2017-01-05 10:10:00,3501.0,3420.0,21.0,-315.0,-315.0,0.0,-315.0,-315.0
2017-01-05 10:11:00,3502.0,3421.0,21.0,105.0,105.0,0.0,105.0,105.0
2017-01-05 10:12:00,3500.0,3419.0,21.0,-210.0,-210.0,0.0,-210.0,-210.0
2017-01-05 10:13:00,3502.0,3421.0,21.0,210.0,210.0,0.0,210.0,210.0
2017-01-05 10:14:00,3499.0,3417.0,21.0,-315.0,-420.0,0.0,-315.0,-420.0
2017-01-05 10:15:00,3499.0,3417.0,21.0,0.0,0.0,0.0,0.0,0.0
2017-01-05 10:16:00,3499.0,3417.0,21.0,0.0,0.0,0.0,0.0,0.0
2017-01-05 10:17:00,3499.0,3417.0,21.0,0.0,0.0,0.0,0.0,0.0
2017-01-05 10:18:00,3499.0,3417.0,21.0,0.0,0.0,0.0,0.0,0.0
2017-01-05 10:20:00,3499.0,3417.0,21.0,0.0,0.0,0.0,0.0,0.0
2017-01-05 10:21:00,3499.0,3417.0,21.0,0.0,0.0,0.0,0.0,0.0
2017-01-05 10:22:00,3499.0,3417.0,21.0,0.0,0.0,0.0,0.0,0.0
2017-01-05 10:23:00,3499.0,3417.0,21.0,0.0,0.0,0.0,0.0,0.0
2017-01-05 10:24:00,3499.0,3417.0,21.0,0.0,0.0,0.0,0.0,0.0
2017-01-05 10:25:00,3499.0,3417.0,21.0,0.0,0.0,0.0,0.0,0.0
2017-01-05 10:26:00,3499.0,3417.0,21.0,0.0,0.0,0.0,0.0,0.0
2017-01-05 10:27:00,3499.0,3417.0,21.0,0.0,0.0,0.0,0.0,0.0
2017-01-05 10:28:00,3499.0,3417.0,21.0,0.0,0.0,0.0,0.0,0.0
2017-01-05 10:29:00,3499.0,3417.0,21.0,0.0,0.0,0.0,0.0,0.0
2017-01-05 10:30:00,3500.0,3419.0,21.0,105.0,210.0,0.0,105.0,210.0
2017-01-05 10:31:00,3499.0,3417.0,41.0,-105.0,-210.0,200.0,-305.0,-410.0
2017-01-05 10:32:00,3501.0,3419.0,41.0,410.0,410.0,0.0,410.0,410.0
2017-01-05 10:33:00,3499.0,3418.0,41.0,-410.0,-205.0,0.0,-410.0,-205.0
2017-01-05 10:34:00,3499.0,3417.0,41.0,0.0,-205.0,0.0,0.0,-205.0
2017-01-05 10:35:00,3495.0,3413.0,41.0,-820.0,-820.0,0.0,-820.0,-820.0
2017-01-05 10:36:00,3493.0,3412.0,41.0,-410.0,-205.0,0.0,-410.0,-205.0
2017-01-05 10:37:00,3494.0,3413.0,41.0,205.0,205.0,0.0,205.0,205.0
2017-01-05 10:38:00,3495.0,3414.0,41.0,205.0,205.0,0.0,205.0,205.0
2017-01-05 10:39:00,3497.0,3416.0,41.0,410.0,410.0,0.0,410.0,410.0
