profit,comm,equity,profit_ZL,equity_ZL,day
6800.0,0.0,6800.0,,,20161205
2750.0,100.0,2650.0,,,20161206
2700.0,0.0,2700.0,,,20161207
-12950.0,250.0,-13200.0,,,20161208
-1400.0,300.0,-1700.0,,,20161209
-3150.0,300.0,-3450.0,,,20161212
-3300.0,200.0,-3500.0,,,20161213
2300.0,400.0,1900.0,,,20161214
-13150.0,650.0,-13800.0,,,20161215
9350.0,100.0,9250.0,,,20161216
-9550.0,200.0,-9750.0,,,20161219
7250.0,150.0,7100.0,,,20161220
-1200.0,100.0,-1300.0,,,20161221
13950.0,0.0,13950.0,,,20161222
-2250.0,0.0,-2250.0,,,20161223
-7650.0,0.0,-7650.0,,,20161224
50.0,400.0,-350.0,,,20161226
-4400.0,350.0,-4750.0,,,20161227
4400.0,300.0,4100.0,,,20161228
5800.0,0.0,5800.0,,,20161229
10400.0,0.0,10400.0,,,20161230
-6400.0,0.0,-6400.0,-2600.0,-2600.0,20170103
2600.0,0.0,2600.0,2600.0,2600.0,20170104
-3600.0,0.0,-3600.0,-3600.0,-3600.0,20170105
-2550.0,300.0,-2850.0,-2550.0,-2850.0,20170106
300.0,0.0,300.0,1000.0,1000.0,20170107
1550.0,150.0,1400.0,850.0,700.0,20170109
9150.0,50.0,9100.0,9150.0,9100.0,20170110
2100.0,0.0,2100.0,2100.0,2100.0,20170111
2400.0,0.0,2400.0,2400.0,2400.0,20170112
-10150.0,550.0,-10700.0,-10150.0,-10700.0,20170113
-350.0,0.0,-350.0,-200.0,-200.0,20170114
7850.0,500.0,7350.0,7700.0,7200.0,20170116
11550.0,0.0,11550.0,11550.0,11550.0,20170117
-8100.0,100.0,-8200.0,-8100.0,-8200.0,20170118
-12250.0,1150.0,-13400.0,-12500.0,-13650.0,20170119
-4500.0,0.0,-4500.0,-4200.0,-4200.0,20170120
-600.0,0.0,-600.0,-600.0,-600.0,20170121
-17800.0,750.0,-18550.0,-18050.0,-18800.0,20170123
