profit,comm,equity,profit_ZL,equity_ZL,day
26225.0,1800.0,24425.0,,,20161219
99450.0,0.0,99450.0,,,20161220
-39175.0,975.0,-40150.0,,,20161221
0.0,0.0,0.0,,,20161222
0.0,0.0,0.0,,,20161223
900.0,75.0,825.0,,,20161226
-1200.0,75.0,-1275.0,,,20161227
0.0,0.0,0.0,,,20161228
75.0,75.0,0.0,,,20161229
1425.0,0.0,1425.0,,,20161230
900.0,75.0,825.0,0.0,0.0,20170103
-3750.0,425.0,-4175.0,-3825.0,-4250.0,20170104
4150.0,200.0,3950.0,4275.0,4075.0,20170105
-7025.0,500.0,-7525.0,-7350.0,-7850.0,20170106
825.0,0.0,825.0,825.0,825.0,20170107
6450.0,400.0,6050.0,6225.0,5825.0,20170109
-1450.0,1725.0,-3175.0,-1000.0,-2725.0,20170110
-4950.0,0.0,-4950.0,-5400.0,-5400.0,20170111
-13525.0,2175.0,-15700.0,-13600.0,-15775.0,20170112
21375.0,1675.0,19700.0,19775.0,18100.0,20170113
-16800.0,0.0,-16800.0,-16100.0,-16100.0,20170114
8875.0,75.0,8800.0,8875.0,8800.0,20170116
-9375.0,1500.0,-10875.0,-8125.0,-9625.0,20170117
-9275.0,1325.0,-10600.0,-9525.0,-10850.0,20170118
4775.0,1450.0,3325.0,4775.0,3325.0,20170119
-18750.0,0.0,-18750.0,-18750.0,-18750.0,20170120
24750.0,0.0,24750.0,24750.0,24750.0,20170121
30750.0,0.0,30750.0,31500.0,31500.0,20170123
21750.0,0.0,21750.0,21000.0,21000.0,20170124
-9000.0,0.0,-9000.0,-9750.0,-9750.0,20170125
7500.0,0.0,7500.0,6750.0,6750.0,20170126
43275.0,75.0,43200.0,44850.0,44775.0,20170203
13200.0,0.0,13200.0,14025.0,14025.0,20170204
4350.0,75.0,4275.0,3450.0,3375.0,20170206
-26800.0,1000.0,-27800.0,-26800.0,-27800.0,20170207
0.0,0.0,0.0,0.0,0.0,20170208
0.0,0.0,0.0,0.0,0.0,20170209
-17250.0,1825.0,-19075.0,-17725.0,-19550.0,20170210
