profit,comm,equity,profit_ZL,equity_ZL,day
-4900.0,200.0,-5100.0,,,20161209
-14700.0,200.0,-14900.0,,,20161212
-2250.0,0.0,-2250.0,,,20161213
1050.0,0.0,1050.0,,,20161214
-1750.0,50.0,-1800.0,,,20161215
0.0,0.0,0.0,,,20161216
-10550.0,150.0,-10700.0,,,20161219
-3400.0,800.0,-4200.0,,,20161220
-450.0,300.0,-750.0,,,20161221
33900.0,0.0,33900.0,,,20161222
4500.0,0.0,4500.0,,,20161223
-300.0,0.0,-300.0,,,20161224
26750.0,300.0,26450.0,,,20161226
1900.0,50.0,1850.0,,,20161227
0.0,0.0,0.0,,,20161228
0.0,0.0,0.0,,,20161229
0.0,0.0,0.0,,,20161230
0.0,0.0,0.0,,,20170103
0.0,0.0,0.0,0.0,0.0,20170104
0.0,0.0,0.0,0.0,0.0,20170105
-1850.0,350.0,-2200.0,-1850.0,-2200.0,20170106
900.0,0.0,900.0,1100.0,1100.0,20170107
3100.0,300.0,2800.0,3500.0,3200.0,20170109
8600.0,0.0,8600.0,9800.0,9800.0,20170110
-2850.0,50.0,-2900.0,-2800.0,-2850.0,20170111
0.0,0.0,0.0,0.0,0.0,20170112
0.0,0.0,0.0,0.0,0.0,20170113
0.0,0.0,0.0,0.0,0.0,20170116
0.0,0.0,0.0,0.0,0.0,20170117
0.0,0.0,0.0,0.0,0.0,20170118
0.0,0.0,0.0,0.0,0.0,20170119
650.0,250.0,400.0,700.0,450.0,20170120
1050.0,0.0,1050.0,1100.0,1100.0,20170121
-1500.0,50.0,-1550.0,-1350.0,-1400.0,20170123
-2200.0,100.0,-2300.0,-2350.0,-2450.0,20170124
0.0,0.0,0.0,0.0,0.0,20170125
6800.0,100.0,6700.0,6800.0,6700.0,20170126
-5250.0,650.0,-5900.0,-3850.0,-4500.0,20170203
-5250.0,0.0,-5250.0,-7000.0,-7000.0,20170204
27850.0,150.0,27700.0,29300.0,29150.0,20170206
-10750.0,300.0,-11050.0,-11450.0,-11750.0,20170207
0.0,0.0,0.0,0.0,0.0,20170208
2300.0,600.0,1700.0,2350.0,1750.0,20170209
-33000.0,1450.0,-34450.0,-33450.0,-34900.0,20170210
3750.0,0.0,3750.0,3850.0,3850.0,20170211
3900.0,0.0,3900.0,3750.0,3750.0,20170213
