profit,comm,equity,profit_ZL,equity_ZL,day
-3800.0,400.0,-4200.0,-3800.0,-4200.0,20170104
-7900.0,550.0,-8450.0,-8000.0,-8550.0,20170105
7750.0,300.0,7450.0,7750.0,7450.0,20170106
-4400.0,0.0,-4400.0,-4200.0,-4200.0,20170107
9550.0,500.0,9050.0,9550.0,9050.0,20170109
17700.0,0.0,17700.0,18000.0,18000.0,20170110
18000.0,0.0,18000.0,17100.0,17100.0,20170111
38900.0,350.0,38550.0,39350.0,39000.0,20170112
750.0,0.0,750.0,1050.0,1050.0,20170113
22350.0,0.0,22350.0,22950.0,22950.0,20170114
13500.0,0.0,13500.0,12600.0,12600.0,20170116
-9500.0,150.0,-9650.0,-9800.0,-9950.0,20170117
0.0,0.0,0.0,0.0,0.0,20170118
-6800.0,800.0,-7600.0,-6850.0,-7650.0,20170119
55450.0,300.0,55150.0,56050.0,55750.0,20170120
-4400.0,0.0,-4400.0,-5600.0,-5600.0,20170121
-11350.0,200.0,-11550.0,-12000.0,-12200.0,20170123
0.0,0.0,0.0,0.0,0.0,20170124
0.0,0.0,0.0,0.0,0.0,20170125
10850.0,200.0,10650.0,11450.0,11250.0,20170126
-34850.0,400.0,-35250.0,-35400.0,-35800.0,20170203
-1050.0,50.0,-1100.0,-1050.0,-1100.0,20170206
-2700.0,50.0,-2750.0,-2950.0,-3000.0,20170207
0.0,0.0,0.0,0.0,0.0,20170208
0.0,0.0,0.0,0.0,0.0,20170209
0.0,0.0,0.0,0.0,0.0,20170210
0.0,0.0,0.0,0.0,0.0,20170213
0.0,0.0,0.0,0.0,0.0,20170214
