profit,comm,equity,profit_ZL,equity_ZL,day
-33370.0,3110.0,-36480.0,-33790.0,-36900.0,20170104
-16970.0,3670.0,-20640.0,-16970.0,-20640.0,20170105
32510.0,1560.0,30950.0,34070.0,32510.0,20170106
0.0,0.0,0.0,0.0,0.0,20170107
0.0,0.0,0.0,0.0,0.0,20170109
12480.0,0.0,12480.0,12480.0,12480.0,20170110
-5340.0,110.0,-5450.0,-5340.0,-5450.0,20170111
-5180.0,510.0,-5690.0,-5180.0,-5690.0,20170112
-28470.0,2600.0,-31070.0,-28360.0,-30960.0,20170113
0.0,0.0,0.0,0.0,0.0,20170114
33280.0,0.0,33280.0,32240.0,32240.0,20170116
-4160.0,0.0,-4160.0,-5200.0,-5200.0,20170117
27040.0,0.0,27040.0,26000.0,26000.0,20170118
-3120.0,0.0,-3120.0,-8320.0,-8320.0,20170119
-11440.0,0.0,-11440.0,-12480.0,-12480.0,20170120
0.0,0.0,0.0,0.0,0.0,20170121
21840.0,0.0,21840.0,21840.0,21840.0,20170123
-16640.0,330.0,-16970.0,-18720.0,-19050.0,20170124
-16440.0,930.0,-17370.0,-16130.0,-17060.0,20170125
0.0,0.0,0.0,0.0,0.0,20170126
5150.0,1760.0,3390.0,3180.0,1420.0,20170203
0.0,0.0,0.0,0.0,0.0,20170204
57720.0,0.0,57720.0,53040.0,53040.0,20170206
-20280.0,0.0,-20280.0,-20280.0,-20280.0,20170207
15600.0,0.0,15600.0,14040.0,14040.0,20170208
-24930.0,1780.0,-26710.0,-26600.0,-28380.0,20170209
300.0,300.0,0.0,300.0,0.0,20170210
0.0,0.0,0.0,0.0,0.0,20170211
-200.0,900.0,-1100.0,370.0,-530.0,20170213
4640.0,0.0,4640.0,4640.0,4640.0,20170214
