profit,comm,equity,profit_ZL,equity_ZL,day
-1250.0,100.0,-1350.0,-1350.0,-1450.0,20170105
-1710.0,250.0,-1960.0,-1710.0,-1960.0,20170106
3500.0,0.0,3500.0,3600.0,3600.0,20170107
3650.0,300.0,3350.0,3550.0,3250.0,20170109
8800.0,0.0,8800.0,8400.0,8400.0,20170110
-800.0,0.0,-800.0,-1000.0,-1000.0,20170111
12000.0,0.0,12000.0,12400.0,12400.0,20170112
-14250.0,400.0,-14650.0,-14450.0,-14850.0,20170113
500.0,0.0,500.0,400.0,400.0,20170114
1400.0,300.0,1100.0,1800.0,1500.0,20170116
-1200.0,50.0,-1250.0,-1300.0,-1350.0,20170117
1650.0,0.0,1650.0,1700.0,1700.0,20170118
1150.0,0.0,1150.0,1150.0,1150.0,20170119
-2700.0,100.0,-2800.0,-2700.0,-2800.0,20170120
-900.0,0.0,-900.0,-950.0,-950.0,20170121
2350.0,50.0,2300.0,2400.0,2350.0,20170123
-4900.0,100.0,-5000.0,-5150.0,-5250.0,20170124
-1400.0,260.0,-1660.0,-1320.0,-1580.0,20170125
-2600.0,600.0,-3200.0,-2100.0,-2700.0,20170126
24600.0,200.0,24400.0,24100.0,23900.0,20170203
-1600.0,0.0,-1600.0,-2400.0,-2400.0,20170204
19600.0,0.0,19600.0,20000.0,20000.0,20170206
-4000.0,0.0,-4000.0,-4000.0,-4000.0,20170207
-1600.0,0.0,-1600.0,-2400.0,-2400.0,20170208
-8000.0,0.0,-8000.0,-8400.0,-8400.0,20170209
4000.0,100.0,3900.0,3900.0,3800.0,20170210
6600.0,0.0,6600.0,6900.0,6900.0,20170211
-5990.0,270.0,-6260.0,-6480.0,-6750.0,20170213
-7040.0,500.0,-7540.0,-7590.0,-8090.0,20170214
1280.0,470.0,810.0,1350.0,880.0,20170215
