profit,comm,equity,profit_ZL,equity_ZL,day
1000.0,0.0,1000.0,600.0,600.0,20161129
2375.0,25.0,2350.0,2425.0,2400.0,20161130
-3275.0,75.0,-3350.0,-3425.0,-3500.0,20161201
0.0,0.0,0.0,0.0,0.0,20161202
0.0,0.0,0.0,0.0,0.0,20161205
-300.0,75.0,-375.0,-300.0,-375.0,20161206
675.0,0.0,675.0,675.0,675.0,20161207
525.0,0.0,525.0,150.0,150.0,20161208
-825.0,75.0,-900.0,-975.0,-1050.0,20161209
0.0,0.0,0.0,0.0,0.0,20161212
0.0,0.0,0.0,0.0,0.0,20161213
3200.0,175.0,3025.0,3025.0,2850.0,20161214
875.0,0.0,875.0,1225.0,1225.0,20161215
3150.0,0.0,3150.0,0.0,0.0,20161216
10725.0,75.0,10650.0,14550.0,14475.0,20161219
-1750.0,0.0,-1750.0,-1750.0,-1750.0,20161220
-7000.0,250.0,-7250.0,-8275.0,-8525.0,20161221
0.0,75.0,-75.0,0.0,-75.0,20161222
550.0,475.0,75.0,625.0,150.0,20161223
1500.0,0.0,1500.0,1250.0,1250.0,20161224
425.0,150.0,275.0,775.0,625.0,20161226
-1475.0,325.0,-1800.0,-1975.0,-2300.0,20161227
-8850.0,1275.0,-10125.0,-9125.0,-10400.0,20161228
-7800.0,900.0,-8700.0,-9300.0,-10200.0,20161229
-18600.0,1800.0,-20400.0,-19500.0,-21300.0,20161230
-13150.0,2850.0,-16000.0,-12825.0,-15675.0,20170103
-10200.0,225.0,-10425.0,-18375.0,-18600.0,20170104
15600.0,0.0,15600.0,16575.0,16575.0,20170105
14625.0,0.0,14625.0,16575.0,16575.0,20170106
-26325.0,0.0,-26325.0,-28275.0,-28275.0,20170107
11475.0,450.0,11025.0,10275.0,9825.0,20170109
-19500.0,3525.0,-23025.0,-19875.0,-23400.0,20170110
36750.0,0.0,36750.0,35700.0,35700.0,20170111
40050.0,150.0,39900.0,42750.0,42600.0,20170112
-1200.0,1950.0,-3150.0,-3750.0,-5700.0,20170113
0.0,0.0,0.0,0.0,0.0,20170116
0.0,0.0,0.0,0.0,0.0,20170117
-450.0,975.0,-1425.0,-675.0,-1650.0,20170118
600.0,1800.0,-1200.0,300.0,-1500.0,20170119
-6825.0,1125.0,-7950.0,-7350.0,-8475.0,20170120
36000.0,0.0,36000.0,36000.0,36000.0,20170121
-8325.0,150.0,-8475.0,-8250.0,-8400.0,20170123
5400.0,0.0,5400.0,4200.0,4200.0,20170124
38400.0,0.0,38400.0,39000.0,39000.0,20170125
-24225.0,600.0,-24825.0,-25275.0,-25875.0,20170126
0.0,0.0,0.0,0.0,0.0,20170203
-12450.0,1875.0,-14325.0,-12975.0,-14850.0,20170206
2100.0,0.0,2100.0,3150.0,3150.0,20170207
-11925.0,300.0,-12225.0,-11175.0,-11475.0,20170208
-10200.0,750.0,-10950.0,-11250.0,-12000.0,20170209
-34125.0,4350.0,-38475.0,-33375.0,-37725.0,20170210
18900.0,0.0,18900.0,18900.0,18900.0,20170211
4775.0,875.0,3900.0,3175.0,2300.0,20170213
41800.0,0.0,41800.0,50600.0,50600.0,20170214
-7150.0,0.0,-7150.0,-7700.0,-7700.0,20170215
