profit,comm,equity,profit_ZL,equity_ZL,day
980.0,250.0,730.0,1140.0,890.0,20170109
16660.0,0.0,16660.0,16660.0,16660.0,20170110
-3740.0,0.0,-3740.0,-3400.0,-3400.0,20170111
-4420.0,330.0,-4750.0,-4760.0,-5090.0,20170112
-1800.0,160.0,-1960.0,-1960.0,-2120.0,20170113
-160.0,80.0,-240.0,-320.0,-400.0,20170116
-4740.0,260.0,-5000.0,-4900.0,-5160.0,20170117
-320.0,0.0,-320.0,-320.0,-320.0,20170118
-4400.0,840.0,-5240.0,-4400.0,-5240.0,20170119
-3740.0,940.0,-4680.0,-4080.0,-5020.0,20170120
2040.0,0.0,2040.0,2040.0,2040.0,20170121
15920.0,1710.0,14210.0,16260.0,14550.0,20170123
-36000.0,2530.0,-38530.0,-36000.0,-38530.0,20170124
22440.0,0.0,22440.0,22440.0,22440.0,20170125
6360.0,360.0,6000.0,6360.0,6000.0,20170126
-42400.0,2120.0,-44520.0,-42400.0,-44520.0,20170203
-10640.0,0.0,-10640.0,-10640.0,-10640.0,20170204
11000.0,90.0,10910.0,11000.0,10910.0,20170206
-7340.0,90.0,-7430.0,-7340.0,-7430.0,20170207
-12060.0,2120.0,-14180.0,-12060.0,-14180.0,20170208
-23940.0,90.0,-24030.0,-23940.0,-24030.0,20170209
149240.0,170.0,149070.0,149240.0,149070.0,20170210
2200.0,0.0,2200.0,2200.0,2200.0,20170211
8800.0,550.0,8250.0,4400.0,3850.0,20170213
-5720.0,210.0,-5930.0,-5720.0,-5930.0,20170214
-14020.0,440.0,-14460.0,-14700.0,-15140.0,20170215
