profit,comm,equity,profit_ZL,equity_ZL,day
-1260.0,0.0,-1260.0,-1330.0,-1330.0,20161209
-2800.0,70.0,-2870.0,-2730.0,-2800.0,20161212
0.0,0.0,0.0,0.0,0.0,20161213
460.0,360.0,100.0,680.0,320.0,20161214
-4970.0,290.0,-5260.0,-7090.0,-7380.0,20161215
-3910.0,720.0,-4630.0,0.0,-720.0,20161216
-6950.0,710.0,-7660.0,-9740.0,-10450.0,20161219
54850.0,890.0,53960.0,53830.0,52940.0,20161220
11400.0,0.0,11400.0,7600.0,7600.0,20161221
22800.0,0.0,22800.0,19950.0,19950.0,20161222
5700.0,0.0,5700.0,950.0,950.0,20161223
1900.0,0.0,1900.0,1900.0,1900.0,20161224
32300.0,0.0,32300.0,30400.0,30400.0,20161226
-39160.0,290.0,-39450.0,-41060.0,-41350.0,20161227
-20110.0,800.0,-20910.0,-20110.0,-20910.0,20161228
0.0,0.0,0.0,0.0,0.0,20161229
-1110.0,270.0,-1380.0,-570.0,-840.0,20161230
6000.0,70.0,5930.0,5460.0,5390.0,20170103
-5270.0,70.0,-5340.0,-5270.0,-5340.0,20170104
-9930.0,680.0,-10610.0,-10340.0,-11020.0,20170105
-3710.0,1410.0,-5120.0,-4110.0,-5520.0,20170106
5520.0,0.0,5520.0,5060.0,5060.0,20170107
1840.0,0.0,1840.0,2300.0,2300.0,20170109
250.0,390.0,-140.0,-210.0,-600.0,20170110
-20.0,790.0,-810.0,-150.0,-940.0,20170111
-6440.0,0.0,-6440.0,-7360.0,-7360.0,20170112
29440.0,0.0,29440.0,28980.0,28980.0,20170113
1380.0,0.0,1380.0,1840.0,1840.0,20170114
15640.0,0.0,15640.0,15640.0,15640.0,20170116
5520.0,0.0,5520.0,5980.0,5980.0,20170117
6440.0,0.0,6440.0,6440.0,6440.0,20170118
12420.0,0.0,12420.0,14260.0,14260.0,20170119
-16560.0,0.0,-16560.0,-17480.0,-17480.0,20170120
5980.0,0.0,5980.0,5980.0,5980.0,20170121
-7950.0,510.0,-8460.0,-8340.0,-8850.0,20170123
740.0,130.0,610.0,670.0,540.0,20170124
-4130.0,330.0,-4460.0,-4260.0,-4590.0,20170125
-4030.0,0.0,-4030.0,-4030.0,-4030.0,20170126
2920.0,60.0,2860.0,3120.0,3060.0,20170203
-1190.0,0.0,-1190.0,-1260.0,-1260.0,20170204
-4750.0,1130.0,-5880.0,-5220.0,-6350.0,20170206
-2400.0,0.0,-2400.0,-4000.0,-4000.0,20170207
40000.0,0.0,40000.0,39200.0,39200.0,20170208
-3200.0,0.0,-3200.0,-800.0,-800.0,20170209
26400.0,0.0,26400.0,26400.0,26400.0,20170210
7200.0,0.0,7200.0,10400.0,10400.0,20170211
-13200.0,430.0,-13630.0,-15200.0,-15630.0,20170213
-8380.0,170.0,-8550.0,-8810.0,-8980.0,20170214
-2220.0,200.0,-2420.0,-2020.0,-2220.0,20170215
