profit,comm,equity,profit_ZL,equity_ZL,day
-2680.0,480.0,-3160.0,-2810.0,-3290.0,20161205
0.0,0.0,0.0,0.0,0.0,20161206
0.0,0.0,0.0,0.0,0.0,20161207
0.0,0.0,0.0,0.0,0.0,20161208
0.0,0.0,0.0,0.0,0.0,20161209
-23300.0,420.0,-23720.0,-23620.0,-24040.0,20161212
-7500.0,0.0,-7500.0,-7500.0,-7500.0,20161213
-1350.0,200.0,-1550.0,-1400.0,-1600.0,20161214
-370.0,60.0,-430.0,-470.0,-530.0,20161215
-4040.0,620.0,-4660.0,0.0,-620.0,20161216
14180.0,600.0,13580.0,17120.0,16520.0,20161219
11180.0,0.0,11180.0,11440.0,11440.0,20161220
-1690.0,0.0,-1690.0,-1950.0,-1950.0,20161221
32890.0,0.0,32890.0,33020.0,33020.0,20161222
-650.0,0.0,-650.0,-390.0,-390.0,20161223
31720.0,0.0,31720.0,28600.0,28600.0,20161224
45240.0,0.0,45240.0,48880.0,48880.0,20161226
-17270.0,260.0,-17530.0,-17500.0,-17760.0,20161227
2200.0,400.0,1800.0,2200.0,1800.0,20161228
0.0,0.0,0.0,0.0,0.0,20161229
0.0,0.0,0.0,0.0,0.0,20161230
-3700.0,140.0,-3840.0,-3700.0,-3840.0,20170103
-45970.0,1440.0,-47410.0,-46330.0,-47770.0,20170104
-4190.0,300.0,-4490.0,-4110.0,-4410.0,20170105
-4790.0,520.0,-5310.0,-4700.0,-5220.0,20170106
14070.0,720.0,13350.0,14070.0,13350.0,20170109
21560.0,0.0,21560.0,21280.0,21280.0,20170110
17360.0,0.0,17360.0,17360.0,17360.0,20170111
-39180.0,560.0,-39740.0,-39770.0,-40330.0,20170112
0.0,0.0,0.0,0.0,0.0,20170113
-2850.0,240.0,-3090.0,-3040.0,-3280.0,20170116
1620.0,640.0,980.0,1430.0,790.0,20170117
2080.0,0.0,2080.0,2080.0,2080.0,20170118
2560.0,0.0,2560.0,2720.0,2720.0,20170119
54800.0,60.0,54740.0,54830.0,54770.0,20170120
-7790.0,0.0,-7790.0,-7980.0,-7980.0,20170121
-11570.0,140.0,-11710.0,-11380.0,-11520.0,20170123
5440.0,320.0,5120.0,5440.0,5120.0,20170124
540.0,40.0,500.0,540.0,500.0,20170125
-1440.0,80.0,-1520.0,-1420.0,-1500.0,20170126
4320.0,0.0,4320.0,4300.0,4300.0,20170203
1860.0,0.0,1860.0,1840.0,1840.0,20170204
300.0,40.0,260.0,280.0,240.0,20170206
0.0,0.0,0.0,0.0,0.0,20170207
-60.0,40.0,-100.0,-60.0,-100.0,20170208
-500.0,0.0,-500.0,-520.0,-520.0,20170209
-270.0,740.0,-1010.0,-300.0,-1040.0,20170210
37800.0,0.0,37800.0,37380.0,37380.0,20170211
13160.0,660.0,12500.0,12930.0,12270.0,20170213
13680.0,0.0,13680.0,13680.0,13680.0,20170214
-5280.0,0.0,-5280.0,-5400.0,-5400.0,20170215
