profit,comm,equity,profit_ZL,equity_ZL,day
-1680.0,0.0,-1680.0,-1760.0,-1760.0,20161129
-1440.0,160.0,-1600.0,-1520.0,-1680.0,20161130
-10390.0,670.0,-11060.0,-10610.0,-11280.0,20161201
14160.0,0.0,14160.0,14160.0,14160.0,20161202
10620.0,0.0,10620.0,9440.0,9440.0,20161205
-10620.0,0.0,-10620.0,-11210.0,-11210.0,20161206
2950.0,0.0,2950.0,2360.0,2360.0,20161207
-2920.0,510.0,-3430.0,-3510.0,-4020.0,20161208
41270.0,940.0,40330.0,40000.0,39060.0,20161209
0.0,0.0,0.0,0.0,0.0,20161212
0.0,0.0,0.0,0.0,0.0,20161213
0.0,0.0,0.0,0.0,0.0,20161214
320.0,80.0,240.0,240.0,160.0,20161215
-1280.0,0.0,-1280.0,0.0,0.0,20161216
160.0,240.0,-80.0,-1200.0,-1440.0,20161219
5120.0,80.0,5040.0,5120.0,5040.0,20161220
-1840.0,0.0,-1840.0,-1840.0,-1840.0,20161221
480.0,80.0,400.0,560.0,480.0,20161222
0.0,0.0,0.0,0.0,0.0,20161223
0.0,0.0,0.0,0.0,0.0,20161226
0.0,0.0,0.0,0.0,0.0,20161227
-1600.0,540.0,-2140.0,-2140.0,-2680.0,20161228
2700.0,0.0,2700.0,2700.0,2700.0,20161229
-2160.0,0.0,-2160.0,-540.0,-540.0,20161230
-2160.0,160.0,-2320.0,-4320.0,-4480.0,20170103
-13370.0,700.0,-14070.0,-13520.0,-14220.0,20170104
0.0,160.0,-160.0,0.0,-160.0,20170105
0.0,0.0,0.0,0.0,0.0,20170106
0.0,0.0,0.0,0.0,0.0,20170109
-2710.0,540.0,-3250.0,-2100.0,-2640.0,20170110
-6720.0,1080.0,-7800.0,-7940.0,-9020.0,20170111
5320.0,0.0,5320.0,5700.0,5700.0,20170112
1900.0,0.0,1900.0,1520.0,1520.0,20170113
4180.0,0.0,4180.0,4180.0,4180.0,20170114
-4180.0,0.0,-4180.0,-4180.0,-4180.0,20170116
-2630.0,210.0,-2840.0,-4080.0,-4290.0,20170117
-2940.0,160.0,-3100.0,-2940.0,-3100.0,20170118
2040.0,390.0,1650.0,2120.0,1730.0,20170119
-9130.0,1170.0,-10300.0,-9130.0,-10300.0,20170120
-2550.0,0.0,-2550.0,-2400.0,-2400.0,20170121
50430.0,1830.0,48600.0,50820.0,48990.0,20170123
-2160.0,0.0,-2160.0,-2160.0,-2160.0,20170124
49680.0,0.0,49680.0,50760.0,50760.0,20170125
-2160.0,0.0,-2160.0,-3240.0,-3240.0,20170126
-4000.0,160.0,-4160.0,-3840.0,-4000.0,20170203
34040.0,0.0,34040.0,34960.0,34960.0,20170204
25240.0,300.0,24940.0,25240.0,24940.0,20170206
-19440.0,0.0,-19440.0,-20520.0,-20520.0,20170207
11880.0,70.0,11810.0,11880.0,11810.0,20170208
-31290.0,1680.0,-32970.0,-31290.0,-32970.0,20170209
-5050.0,1360.0,-6410.0,-5050.0,-6410.0,20170210
-2760.0,0.0,-2760.0,-2760.0,-2760.0,20170211
4380.0,1550.0,2830.0,4380.0,2830.0,20170213
2700.0,0.0,2700.0,2700.0,2700.0,20170214
-7440.0,1080.0,-8520.0,-8400.0,-9480.0,20170215
