profit,comm,equity,profit_ZL,equity_ZL,day
-30.0,30.0,-60.0,195.0,165.0,20161129
-1710.0,180.0,-1890.0,-1770.0,-1950.0,20161130
-210.0,60.0,-270.0,-630.0,-690.0,20161201
2580.0,0.0,2580.0,3420.0,3420.0,20161202
-4260.0,360.0,-4620.0,-4740.0,-5100.0,20161205
150.0,60.0,90.0,90.0,30.0,20161206
-390.0,0.0,-390.0,-330.0,-330.0,20161207
-7405.0,1010.0,-8415.0,-7980.0,-8990.0,20161208
1555.0,60.0,1495.0,2410.0,2350.0,20161209
-7845.0,470.0,-8315.0,-8610.0,-9080.0,20161212
-660.0,180.0,-840.0,-570.0,-750.0,20161213
-660.0,480.0,-1140.0,-810.0,-1290.0,20161214
-210.0,420.0,-630.0,-210.0,-630.0,20161215
-3780.0,480.0,-4260.0,0.0,-480.0,20161216
1650.0,0.0,1650.0,3900.0,3900.0,20161219
-5885.0,890.0,-6775.0,-6875.0,-7765.0,20161220
6490.0,0.0,6490.0,7375.0,7375.0,20161221
-590.0,0.0,-590.0,0.0,0.0,20161222
2420.0,120.0,2300.0,3095.0,2975.0,20161223
0.0,0.0,0.0,0.0,0.0,20161224
-5475.0,590.0,-6065.0,-5595.0,-6185.0,20161226
0.0,0.0,0.0,0.0,0.0,20161227
-475.0,200.0,-675.0,-525.0,-725.0,20161228
-225.0,350.0,-575.0,-175.0,-525.0,20161229
-3895.0,1660.0,-5555.0,-2340.0,-4000.0,20161230
-670.0,270.0,-940.0,-825.0,-1095.0,20170103
-1905.0,1670.0,-3575.0,-2270.0,-3940.0,20170104
-750.0,0.0,-750.0,-375.0,-375.0,20170105
-23785.0,2100.0,-25885.0,-24960.0,-27060.0,20170106
0.0,0.0,0.0,0.0,0.0,20170107
-4875.0,0.0,-4875.0,-3750.0,-3750.0,20170109
-2385.0,220.0,-2605.0,-1315.0,-1535.0,20170110
15620.0,1280.0,14340.0,13250.0,11970.0,20170111
-12560.0,260.0,-12820.0,-12185.0,-12445.0,20170112
-10585.0,1210.0,-11795.0,-9735.0,-10945.0,20170113
-1075.0,110.0,-1185.0,-935.0,-1045.0,20170116
-12080.0,1500.0,-13580.0,-11955.0,-13455.0,20170117
-6000.0,0.0,-6000.0,-3000.0,-3000.0,20170118
-13600.0,1560.0,-15160.0,-16820.0,-18380.0,20170119
-11075.0,1270.0,-12345.0,-11970.0,-13240.0,20170120
0.0,0.0,0.0,0.0,0.0,20170121
-8795.0,1280.0,-10075.0,-8530.0,-9810.0,20170123
1555.0,1280.0,275.0,-2685.0,-3965.0,20170124
-7075.0,330.0,-7405.0,-10965.0,-11295.0,20170125
2705.0,620.0,2085.0,-715.0,-1335.0,20170126
-9105.0,1490.0,-10595.0,-9860.0,-11350.0,20170203
0.0,0.0,0.0,0.0,0.0,20170204
-10400.0,0.0,-10400.0,-7200.0,-7200.0,20170206
2000.0,0.0,2000.0,1200.0,1200.0,20170207
1200.0,0.0,1200.0,-3600.0,-3600.0,20170208
2000.0,0.0,2000.0,1200.0,1200.0,20170209
-4000.0,0.0,-4000.0,-2000.0,-2000.0,20170210
0.0,0.0,0.0,0.0,0.0,20170211
-6265.0,1010.0,-7275.0,-6570.0,-7580.0,20170213
-315.0,0.0,-315.0,-525.0,-525.0,20170214
-4025.0,890.0,-4915.0,-4090.0,-4980.0,20170215
