profit,comm,equity,profit_ZL,equity_ZL,day
2000.0,50.0,1950.0,1900.0,1850.0,20161230
150.0,250.0,-100.0,100.0,-150.0,20170103
0.0,0.0,0.0,0.0,0.0,20170104
-1900.0,400.0,-2300.0,-2300.0,-2700.0,20170105
-5400.0,1000.0,-6400.0,-6400.0,-7400.0,20170106
-4000.0,0.0,-4000.0,2000.0,2000.0,20170107
-4200.0,800.0,-5000.0,-10200.0,-11000.0,20170109
15600.0,0.0,15600.0,15200.0,15200.0,20170110
42000.0,0.0,42000.0,42000.0,42000.0,20170111
-6800.0,0.0,-6800.0,-7200.0,-7200.0,20170112
16800.0,0.0,16800.0,16800.0,16800.0,20170113
28800.0,0.0,28800.0,29200.0,29200.0,20170114
-6400.0,0.0,-6400.0,-7200.0,-7200.0,20170116
-25100.0,400.0,-25500.0,-25850.0,-26250.0,20170117
0.0,0.0,0.0,0.0,0.0,20170118
0.0,0.0,0.0,0.0,0.0,20170119
0.0,0.0,0.0,0.0,0.0,20170120
0.0,0.0,0.0,0.0,0.0,20170123
0.0,0.0,0.0,0.0,0.0,20170124
50.0,50.0,0.0,50.0,0.0,20170125
1700.0,0.0,1700.0,1950.0,1950.0,20170126
-6200.0,200.0,-6400.0,-7050.0,-7250.0,20170203
5700.0,0.0,5700.0,6600.0,6600.0,20170204
-3450.0,0.0,-3450.0,-3900.0,-3900.0,20170206
-3900.0,0.0,-3900.0,-3750.0,-3750.0,20170207
-4250.0,350.0,-4600.0,-4100.0,-4450.0,20170208
-4400.0,0.0,-4400.0,-5000.0,-5000.0,20170209
-5300.0,350.0,-5650.0,-5850.0,-6200.0,20170210
42750.0,0.0,42750.0,47250.0,47250.0,20170211
15900.0,150.0,15750.0,15800.0,15650.0,20170213
-4550.0,450.0,-5000.0,-4450.0,-4900.0,20170214
-26800.0,250.0,-27050.0,-27750.0,-28000.0,20170215
0.0,0.0,0.0,0.0,0.0,20170216
0.0,0.0,0.0,0.0,0.0,20170217
0.0,100.0,-100.0,0.0,-100.0,20170220
150.0,50.0,100.0,150.0,100.0,20170221
3600.0,850.0,2750.0,3900.0,3050.0,20170222
10400.0,0.0,10400.0,10800.0,10800.0,20170223
