profit,comm,equity,profit_ZL,equity_ZL,day
100.0,0.0,100.0,50.0,50.0,20161230
1150.0,50.0,1100.0,1350.0,1300.0,20170103
0.0,0.0,0.0,0.0,0.0,20170104
3625.0,750.0,2875.0,3875.0,3125.0,20170105
13075.0,525.0,12550.0,13075.0,12550.0,20170106
0.0,0.0,0.0,0.0,0.0,20170107
-22350.0,525.0,-22875.0,-22875.0,-23400.0,20170109
0.0,0.0,0.0,0.0,0.0,20170110
0.0,0.0,0.0,0.0,0.0,20170111
-2125.0,125.0,-2250.0,-2250.0,-2375.0,20170112
10625.0,1125.0,9500.0,10625.0,9500.0,20170113
0.0,0.0,0.0,0.0,0.0,20170114
8250.0,0.0,8250.0,8250.0,8250.0,20170116
-6750.0,125.0,-6875.0,-7000.0,-7125.0,20170117
2250.0,0.0,2250.0,2250.0,2250.0,20170118
-3000.0,125.0,-3125.0,-3000.0,-3125.0,20170119
11900.0,650.0,11250.0,11250.0,10600.0,20170120
0.0,0.0,0.0,0.0,0.0,20170121
7800.0,0.0,7800.0,7800.0,7800.0,20170123
-18675.0,1275.0,-19950.0,-18675.0,-19950.0,20170124
-1625.0,250.0,-1875.0,-1625.0,-1875.0,20170125
-3500.0,250.0,-3750.0,-3625.0,-3875.0,20170126
-20125.0,2875.0,-23000.0,-20250.0,-23125.0,20170203
0.0,0.0,0.0,0.0,0.0,20170204
-12850.0,2475.0,-15325.0,-12850.0,-15325.0,20170206
-11625.0,375.0,-12000.0,-12400.0,-12775.0,20170207
2375.0,1675.0,700.0,1975.0,300.0,20170208
-4375.0,550.0,-4925.0,-3325.0,-3875.0,20170209
-6500.0,375.0,-6875.0,-7025.0,-7400.0,20170210
0.0,0.0,0.0,0.0,0.0,20170211
-16550.0,1175.0,-17725.0,-17325.0,-18500.0,20170213
-5850.0,500.0,-6350.0,-5575.0,-6075.0,20170214
-7800.0,1075.0,-8875.0,-8000.0,-9075.0,20170215
-125.0,125.0,-250.0,-625.0,-750.0,20170216
750.0,0.0,750.0,625.0,625.0,20170217
0.0,0.0,0.0,0.0,0.0,20170218
-1000.0,0.0,-1000.0,-1000.0,-1000.0,20170220
2500.0,0.0,2500.0,2375.0,2375.0,20170221
-500.0,0.0,-500.0,-500.0,-500.0,20170222
5125.0,0.0,5125.0,5125.0,5125.0,20170223
