profit,comm,equity,profit_ZL,equity_ZL,day
140.0,50.0,90.0,0.0,-50.0,20161230
250.0,10.0,240.0,320.0,310.0,20170103
0.0,0.0,0.0,0.0,0.0,20170104
2310.0,220.0,2090.0,2310.0,2090.0,20170105
0.0,0.0,0.0,0.0,0.0,20170106
0.0,0.0,0.0,0.0,0.0,20170109
-2460.0,1400.0,-3860.0,-2880.0,-4280.0,20170110
-12960.0,0.0,-12960.0,-12420.0,-12420.0,20170111
17220.0,860.0,16360.0,16790.0,15930.0,20170112
9180.0,0.0,9180.0,9720.0,9720.0,20170113
30240.0,0.0,30240.0,30240.0,30240.0,20170114
29160.0,0.0,29160.0,29700.0,29700.0,20170116
-23660.0,540.0,-24200.0,-23330.0,-23870.0,20170117
0.0,0.0,0.0,0.0,0.0,20170118
0.0,0.0,0.0,0.0,0.0,20170119
0.0,0.0,0.0,0.0,0.0,20170120
0.0,0.0,0.0,0.0,0.0,20170123
0.0,0.0,0.0,0.0,0.0,20170124
2200.0,110.0,2090.0,2090.0,1980.0,20170125
-770.0,0.0,-770.0,-660.0,-660.0,20170126
-1650.0,0.0,-1650.0,-1540.0,-1540.0,20170203
550.0,0.0,550.0,440.0,440.0,20170204
-810.0,320.0,-1130.0,-1240.0,-1560.0,20170206
5400.0,210.0,5190.0,5180.0,4970.0,20170207
-3300.0,220.0,-3520.0,-3740.0,-3960.0,20170208
-14140.0,1520.0,-15660.0,-15000.0,-16520.0,20170209
-9520.0,750.0,-10270.0,-9950.0,-10700.0,20170210
-4840.0,0.0,-4840.0,-4950.0,-4950.0,20170211
22910.0,760.0,22150.0,22910.0,22150.0,20170213
38350.0,0.0,38350.0,39650.0,39650.0,20170214
-25350.0,0.0,-25350.0,-24050.0,-24050.0,20170215
-20800.0,0.0,-20800.0,-18850.0,-18850.0,20170216
29900.0,650.0,29250.0,0.0,-650.0,20170217
0.0,0.0,0.0,0.0,0.0,20170220
7080.0,320.0,6760.0,7300.0,6980.0,20170221
1600.0,0.0,1600.0,960.0,960.0,20170222
24960.0,0.0,24960.0,24640.0,24640.0,20170223
