profit,comm,equity,profit_ZL,equity_ZL,day
-3520.0,0.0,-3520.0,-1760.0,-1760.0,20170105
-7320.0,500.0,-7820.0,-8870.0,-9370.0,20170106
880.0,0.0,880.0,0.0,0.0,20170107
-10910.0,580.0,-11490.0,-12080.0,-12660.0,20170109
-11400.0,580.0,-11980.0,-13210.0,-13790.0,20170110
-20920.0,440.0,-21360.0,-21020.0,-21460.0,20170111
-3290.0,570.0,-3860.0,-750.0,-1320.0,20170112
-4180.0,430.0,-4610.0,-5660.0,-6090.0,20170113
-2640.0,0.0,-2640.0,-5060.0,-5060.0,20170114
-14280.0,1100.0,-15380.0,-15810.0,-16910.0,20170116
2480.0,220.0,2260.0,2550.0,2330.0,20170117
-5840.0,440.0,-6280.0,-5840.0,-6280.0,20170118
25080.0,0.0,25080.0,26840.0,26840.0,20170119
-31740.0,580.0,-32320.0,-34010.0,-34590.0,20170120
-3740.0,0.0,-3740.0,-4400.0,-4400.0,20170121
920.0,440.0,480.0,1940.0,1500.0,20170123
8360.0,0.0,8360.0,8140.0,8140.0,20170124
660.0,0.0,660.0,440.0,440.0,20170125
-4460.0,220.0,-4680.0,-4760.0,-4980.0,20170126
-12340.0,520.0,-12860.0,-12710.0,-13230.0,20170203
-1980.0,0.0,-1980.0,-1760.0,-1760.0,20170204
-17410.0,440.0,-17850.0,-18210.0,-18650.0,20170206
1980.0,0.0,1980.0,1980.0,1980.0,20170207
-15560.0,440.0,-16000.0,-17540.0,-17980.0,20170208
-3770.0,1080.0,-4850.0,-3970.0,-5050.0,20170209
-3280.0,80.0,-3360.0,-2620.0,-2700.0,20170210
-220.0,0.0,-220.0,-220.0,-220.0,20170211
-16270.0,740.0,-17010.0,-17380.0,-18120.0,20170213
-10150.0,440.0,-10590.0,-10810.0,-11250.0,20170214
15840.0,0.0,15840.0,17160.0,17160.0,20170215
-660.0,0.0,-660.0,0.0,0.0,20170216
-1100.0,0.0,-1100.0,0.0,0.0,20170217
-4620.0,0.0,-4620.0,-5940.0,-5940.0,20170218
5060.0,0.0,5060.0,5940.0,5940.0,20170220
-10780.0,440.0,-11220.0,-10490.0,-10930.0,20170221
-7430.0,360.0,-7790.0,-7850.0,-8210.0,20170222
-9260.0,360.0,-9620.0,-9550.0,-9910.0,20170223
