profit,comm,equity,profit_ZL,equity_ZL,day
1325.0,0.0,1325.0,1550.0,1550.0,20161230
225.0,25.0,200.0,275.0,250.0,20170103
0.0,0.0,0.0,0.0,0.0,20170104
-20000.0,400.0,-20400.0,-20400.0,-20800.0,20170105
-9975.0,525.0,-10500.0,-10050.0,-10575.0,20170106
-5875.0,0.0,-5875.0,-2875.0,-2875.0,20170107
2775.0,475.0,2300.0,-350.0,-825.0,20170109
32000.0,0.0,32000.0,31200.0,31200.0,20170110
-3200.0,0.0,-3200.0,-2800.0,-2800.0,20170111
-5425.0,75.0,-5500.0,-5425.0,-5500.0,20170112
-2575.0,50.0,-2625.0,-2425.0,-2475.0,20170113
8775.0,0.0,8775.0,8700.0,8700.0,20170114
-7600.0,200.0,-7800.0,-7950.0,-8150.0,20170116
-2400.0,475.0,-2875.0,-2650.0,-3125.0,20170117
-12075.0,200.0,-12275.0,-11750.0,-11950.0,20170118
0.0,0.0,0.0,0.0,0.0,20170119
-875.0,125.0,-1000.0,-1075.0,-1200.0,20170120
-7625.0,0.0,-7625.0,-7625.0,-7625.0,20170121
-18125.0,525.0,-18650.0,-18250.0,-18775.0,20170123
-5200.0,0.0,-5200.0,-4400.0,-4400.0,20170124
6000.0,0.0,6000.0,5600.0,5600.0,20170125
31375.0,150.0,31225.0,30975.0,30825.0,20170126
-36625.0,400.0,-37025.0,-35450.0,-35850.0,20170203
0.0,0.0,0.0,0.0,0.0,20170206
0.0,0.0,0.0,0.0,0.0,20170207
-3050.0,275.0,-3325.0,-3050.0,-3325.0,20170208
3025.0,0.0,3025.0,1925.0,1925.0,20170209
25850.0,0.0,25850.0,23925.0,23925.0,20170210
20075.0,0.0,20075.0,20075.0,20075.0,20170211
8250.0,0.0,8250.0,9625.0,9625.0,20170213
-9975.0,275.0,-10250.0,-10400.0,-10675.0,20170214
0.0,0.0,0.0,0.0,0.0,20170215
0.0,0.0,0.0,0.0,0.0,20170216
0.0,0.0,0.0,0.0,0.0,20170217
0.0,0.0,0.0,0.0,0.0,20170220
0.0,0.0,0.0,0.0,0.0,20170221
-2950.0,200.0,-3150.0,-2825.0,-3025.0,20170222
-3275.0,525.0,-3800.0,-3000.0,-3525.0,20170223
