profit,comm,equity,profit_ZL,equity_ZL,day
-230.0,70.0,-300.0,-250.0,-320.0,20161230
-10460.0,280.0,-10740.0,-10680.0,-10960.0,20170103
0.0,0.0,0.0,0.0,0.0,20170104
-2660.0,520.0,-3180.0,-2660.0,-3180.0,20170105
1220.0,260.0,960.0,1220.0,960.0,20170106
-1040.0,0.0,-1040.0,-1300.0,-1300.0,20170107
900.0,610.0,290.0,1500.0,890.0,20170109
28150.0,270.0,27880.0,28590.0,28320.0,20170110
1560.0,0.0,1560.0,1820.0,1820.0,20170111
6710.0,250.0,6460.0,7050.0,6800.0,20170112
-3170.0,170.0,-3340.0,-3170.0,-3340.0,20170113
-5450.0,170.0,-5620.0,-5880.0,-6050.0,20170116
-10060.0,170.0,-10230.0,-9890.0,-10060.0,20170117
0.0,0.0,0.0,0.0,0.0,20170118
-3150.0,90.0,-3240.0,-3240.0,-3330.0,20170119
8820.0,0.0,8820.0,8910.0,8910.0,20170120
900.0,0.0,900.0,810.0,810.0,20170121
-1710.0,0.0,-1710.0,-1710.0,-1710.0,20170123
-8640.0,90.0,-8730.0,-8640.0,-8730.0,20170124
0.0,0.0,0.0,0.0,0.0,20170125
0.0,0.0,0.0,0.0,0.0,20170126
4230.0,90.0,4140.0,4230.0,4140.0,20170203
1170.0,0.0,1170.0,1080.0,1080.0,20170204
-1260.0,0.0,-1260.0,-1350.0,-1350.0,20170206
-4680.0,90.0,-4770.0,-4770.0,-4860.0,20170207
0.0,0.0,0.0,0.0,0.0,20170208
0.0,0.0,0.0,0.0,0.0,20170209
0.0,0.0,0.0,0.0,0.0,20170210
4410.0,90.0,4320.0,4320.0,4230.0,20170213
-180.0,0.0,-180.0,-180.0,-180.0,20170214
-4680.0,0.0,-4680.0,-4590.0,-4590.0,20170215
-15720.0,770.0,-16490.0,-16060.0,-16830.0,20170216
1560.0,260.0,1300.0,22880.0,22620.0,20170217
0.0,0.0,0.0,0.0,0.0,20170218
5200.0,0.0,5200.0,5460.0,5460.0,20170220
280.0,270.0,10.0,540.0,270.0,20170221
-6600.0,430.0,-7030.0,-6940.0,-7370.0,20170222
18460.0,0.0,18460.0,18460.0,18460.0,20170223
