stockdate,C,totalposition,profit,comm,equity
2017-01-17 10:57:00,15210.0,-20.0,,,
2017-01-17 10:58:00,15220.0,-25.0,-1000.0,125.0,-1125.0
2017-01-17 11:26:00,15195.0,-20.0,3125.0,125.0,3000.0
2017-01-17 13:45:00,15195.0,-15.0,-0.0,125.0,-125.0
2017-01-17 13:46:00,15215.0,-20.0,-1500.0,125.0,-1625.0
2017-01-17 13:51:00,15210.0,-15.0,500.0,125.0,375.0
2017-01-17 13:52:00,15210.0,-20.0,-0.0,125.0,-125.0
2017-01-17 14:00:00,15210.0,-10.0,-0.0,250.0,-250.0
2017-01-17 14:09:00,15225.0,-5.0,-750.0,125.0,-875.0
2017-01-17 14:26:00,15200.0,5.0,625.0,250.0,375.0
2017-01-17 14:27:00,15200.0,-5.0,0.0,250.0,-250.0
2017-01-17 14:53:00,15200.0,5.0,-0.0,250.0,-250.0
2017-01-17 14:54:00,15180.0,-5.0,-500.0,250.0,-750.0
2017-01-17 14:59:00,15190.0,5.0,-250.0,250.0,-500.0
2017-01-18 09:00:00,15145.0,-5.0,-1125.0,250.0,-1375.0
2017-01-18 09:01:00,15160.0,5.0,-375.0,250.0,-625.0
2017-01-18 09:32:00,15110.0,3.0,-1250.0,50.0,-1300.0
2017-01-18 09:45:00,15095.0,-3.0,-225.0,150.0,-375.0
2017-01-18 09:51:00,15105.0,-8.0,-150.0,125.0,-275.0
2017-01-18 09:53:00,15105.0,-18.0,-0.0,250.0,-250.0
2017-01-18 09:54:00,15115.0,-23.0,-900.0,125.0,-1025.0
2017-01-18 10:31:00,15105.0,-28.0,1150.0,125.0,1025.0
2017-01-18 14:59:00,15160.0,-28.0,-7700.0,0.0,-7700.0
2017-01-19 09:21:00,15165.0,-23.0,-700.0,125.0,-825.0
2017-01-19 10:10:00,15195.0,-18.0,-3450.0,125.0,-3575.0
2017-01-19 10:12:00,15190.0,-13.0,450.0,125.0,325.0
2017-01-19 10:13:00,15185.0,-18.0,325.0,125.0,200.0
2017-01-19 10:31:00,15220.0,0.0,-3150.0,450.0,-3600.0
2017-01-19 10:32:00,15235.0,10.0,0.0,250.0,-250.0
2017-01-19 10:33:00,15215.0,5.0,-1000.0,125.0,-1125.0
2017-01-19 10:40:00,15210.0,10.0,-125.0,125.0,-250.0
2017-01-19 10:49:00,15225.0,18.0,750.0,200.0,550.0
2017-01-19 10:50:00,15225.0,15.0,0.0,75.0,-75.0
2017-01-19 11:06:00,15295.0,23.0,5250.0,200.0,5050.0
2017-01-19 11:21:00,15270.0,28.0,-2875.0,125.0,-3000.0
2017-01-19 13:31:00,15300.0,30.0,4200.0,50.0,4150.0
2017-01-19 14:59:00,15330.0,30.0,4500.0,0.0,4500.0
2017-01-20 14:59:00,15205.0,30.0,-18750.0,0.0,-18750.0
