stockdate,C,totalposition,profit,comm,equity
2017-01-17 09:57:00,47420.0,14.0,,,
2017-01-17 10:03:00,47430.0,13.0,700.0,50.0,650.0
2017-01-17 10:06:00,47390.0,10.0,-2600.0,150.0,-2750.0
2017-01-17 10:07:00,47390.0,7.0,0.0,150.0,-150.0
2017-01-17 10:10:00,47290.0,5.0,-3500.0,100.0,-3600.0
2017-01-17 10:31:00,47410.0,-0.0,3000.0,250.0,2750.0
2017-01-17 14:59:00,46860.0,-0.0,0.0,0.0,0.0
2017-01-18 09:26:00,46280.0,-1.0,0.0,50.0,-50.0
2017-01-18 14:59:00,46650.0,-1.0,-1850.0,0.0,-1850.0
2017-01-19 14:59:00,46790.0,-1.0,-700.0,0.0,-700.0
2017-01-20 14:59:00,46130.0,-1.0,3300.0,0.0,3300.0
