stockdate,C,totalposition,profit,comm,equity
2017-01-17 09:00:00,6869.0,19.0,,,
2017-01-17 09:01:00,6874.0,14.0,950.0,50.0,900.0
2017-01-17 09:21:00,6856.0,8.0,-2520.0,60.0,-2580.0
2017-01-17 09:26:00,6861.0,-3.0,400.0,110.0,290.0
2017-01-17 09:28:00,6860.0,-8.0,30.0,50.0,-20.0
2017-01-17 09:32:00,6850.0,-14.0,800.0,60.0,740.0
2017-01-17 09:45:00,6853.0,-19.0,-420.0,50.0,-470.0
2017-01-17 09:49:00,6853.0,-31.0,-0.0,120.0,-120.0
2017-01-17 10:07:00,6854.0,-36.0,-310.0,50.0,-360.0
2017-01-17 10:12:00,6853.0,-42.0,360.0,60.0,300.0
2017-01-17 10:13:00,6855.0,-36.0,-840.0,60.0,-900.0
2017-01-17 10:32:00,6857.0,-42.0,-720.0,60.0,-780.0
2017-01-17 14:59:00,6847.0,-42.0,4200.0,0.0,4200.0
2017-01-17 14:59:00,6847.0,-42.0,-0.0,0.0,-0.0
2017-01-18 09:38:00,6876.0,-36.0,-12180.0,60.0,-12240.0
2017-01-18 09:49:00,6881.0,-31.0,-1800.0,50.0,-1850.0
2017-01-18 09:54:00,6884.0,-25.0,-930.0,60.0,-990.0
2017-01-18 10:04:00,6881.0,-19.0,750.0,60.0,690.0
2017-01-18 10:06:00,6882.0,-14.0,-190.0,50.0,-240.0
2017-01-18 10:43:00,6880.0,-8.0,280.0,60.0,220.0
2017-01-18 10:44:00,6879.0,-14.0,80.0,60.0,20.0
2017-01-18 10:51:00,6882.0,-8.0,-420.0,60.0,-480.0
2017-01-18 13:30:00,6877.0,-3.0,400.0,50.0,350.0
2017-01-18 13:37:00,6881.0,3.0,-120.0,60.0,-180.0
2017-01-18 13:49:00,6881.0,8.0,0.0,50.0,-50.0
2017-01-18 13:50:00,6883.0,3.0,160.0,50.0,110.0
2017-01-18 13:51:00,6883.0,8.0,0.0,50.0,-50.0
2017-01-18 13:53:00,6879.0,19.0,-320.0,110.0,-430.0
2017-01-18 13:54:00,6877.0,8.0,-380.0,110.0,-490.0
2017-01-18 13:58:00,6879.0,19.0,160.0,110.0,50.0
2017-01-18 14:01:00,6878.0,25.0,-190.0,60.0,-250.0
2017-01-18 14:12:00,6880.0,31.0,500.0,60.0,440.0
2017-01-18 14:13:00,6879.0,25.0,-310.0,60.0,-370.0
2017-01-18 14:25:00,6877.0,36.0,-500.0,110.0,-610.0
2017-01-18 14:26:00,6880.0,31.0,1080.0,50.0,1030.0
2017-01-18 14:38:00,6873.0,36.0,-2170.0,50.0,-2220.0
2017-01-18 14:59:00,6888.0,36.0,5400.0,0.0,5400.0
2017-01-19 10:11:00,6951.0,42.0,22680.0,60.0,22620.0
2017-01-19 14:59:00,7002.0,42.0,21420.0,0.0,21420.0
2017-01-19 14:59:00,7002.0,42.0,0.0,0.0,0.0
2017-01-20 09:10:00,6881.0,36.0,-50820.0,60.0,-50880.0
2017-01-20 09:12:00,6883.0,28.0,720.0,80.0,640.0
2017-01-20 09:20:00,6876.0,22.0,-1960.0,60.0,-2020.0
2017-01-20 09:22:00,6878.0,19.0,440.0,30.0,410.0
2017-01-20 09:24:00,6878.0,11.0,0.0,80.0,-80.0
2017-01-20 09:26:00,6875.0,3.0,-330.0,80.0,-410.0
2017-01-20 09:28:00,6882.0,-0.0,210.0,30.0,180.0
2017-01-20 09:32:00,6880.0,-3.0,0.0,30.0,-30.0
2017-01-20 09:34:00,6876.0,-6.0,120.0,30.0,90.0
2017-01-20 09:38:00,6876.0,-8.0,-0.0,20.0,-20.0
2017-01-20 09:43:00,6879.0,-11.0,-240.0,30.0,-270.0
2017-01-20 09:51:00,6876.0,-14.0,330.0,30.0,300.0
2017-01-20 09:54:00,6877.0,-17.0,-140.0,30.0,-170.0
2017-01-20 09:57:00,6876.0,-19.0,170.0,20.0,150.0
2017-01-20 10:06:00,6872.0,-22.0,760.0,30.0,730.0
2017-01-20 10:10:00,6877.0,-25.0,-1100.0,30.0,-1130.0
2017-01-20 10:31:00,6880.0,-31.0,-750.0,60.0,-810.0
2017-01-20 10:32:00,6879.0,-33.0,310.0,20.0,290.0
2017-01-20 10:33:00,6879.0,-31.0,-0.0,20.0,-20.0
2017-01-20 10:34:00,6879.0,-33.0,-0.0,20.0,-20.0
2017-01-20 10:35:00,6879.0,-31.0,-0.0,20.0,-20.0
2017-01-20 10:40:00,6878.0,-33.0,310.0,20.0,290.0
2017-01-20 10:46:00,6880.0,-36.0,-660.0,30.0,-690.0
2017-01-20 10:49:00,6880.0,-42.0,-0.0,60.0,-60.0
2017-01-20 13:58:00,6901.0,-36.0,-8820.0,60.0,-8880.0
2017-01-20 14:59:00,6898.0,-36.0,1080.0,0.0,1080.0
