stockdate,C,totalposition,profit,comm,equity
2017-01-17 10:07:00,9053.0,14.0,,,
2017-01-17 11:16:00,9027.0,0.0,-1820.0,140.0,-1960.0
2017-01-17 14:59:00,9008.0,0.0,-0.0,0.0,-0.0
2017-01-18 14:59:00,9076.0,0.0,0.0,0.0,0.0
2017-01-19 14:59:00,8933.0,0.0,-0.0,0.0,-0.0
2017-01-20 13:47:00,9080.0,5.0,0.0,50.0,-50.0
2017-01-20 13:51:00,9100.0,10.0,500.0,50.0,450.0
2017-01-20 13:52:00,9093.0,5.0,-350.0,50.0,-400.0
2017-01-20 13:53:00,9087.0,14.0,-150.0,90.0,-240.0
2017-01-20 13:54:00,9091.0,5.0,280.0,90.0,190.0
2017-01-20 13:58:00,9087.0,14.0,-100.0,90.0,-190.0
2017-01-20 14:00:00,9079.0,19.0,-560.0,50.0,-610.0
2017-01-20 14:59:53,9017.0,19.0,-5890.0,0.0,-5890.0
