stockdate,C,CZL,totalposition,profit,profit_ZL,comm,equity,equity_ZL
2016-12-05 14:07:00,7696.0,,-0.0,,,,,
2016-12-05 14:59:00,7676.0,,-0.0,0.0,,0.0,0.0,
2016-12-05 14:59:00,7676.0,,-0.0,-0.0,,0.0,-0.0,
2016-12-06 09:32:00,7646.0,,-5.0,0.0,,100.0,-100.0,
2016-12-06 14:59:00,7640.0,,-5.0,300.0,,0.0,300.0,
2016-12-06 14:59:00,7640.0,,-5.0,-0.0,,0.0,-0.0,
2016-12-07 09:43:00,7676.0,,-0.0,-1800.0,,100.0,-1900.0,
2016-12-07 09:51:00,7670.0,,3.0,0.0,,60.0,-60.0,
2016-12-07 09:57:00,7682.0,,5.0,360.0,,40.0,320.0,
2016-12-07 10:08:00,7664.0,,8.0,-900.0,,60.0,-960.0,
2016-12-07 11:24:00,7646.0,,3.0,-1440.0,,100.0,-1540.0,
2016-12-07 14:18:00,7720.0,,8.0,2220.0,,100.0,2120.0,
2016-12-07 14:24:00,7718.0,,14.0,-160.0,,120.0,-280.0,
2016-12-07 14:29:00,7710.0,,16.0,-1120.0,,40.0,-1160.0,
2016-12-07 14:59:00,7696.0,,19.0,-2240.0,,60.0,-2300.0,
2016-12-08 09:21:00,7598.0,,11.0,-18620.0,,160.0,-18780.0,
2016-12-08 09:22:00,7604.0,,8.0,660.0,,60.0,600.0,
2016-12-08 09:24:00,7586.0,,5.0,-1440.0,,60.0,-1500.0,
2016-12-08 09:25:00,7598.0,,3.0,600.0,,40.0,560.0,
2016-12-08 09:28:00,7612.0,,-3.0,420.0,,120.0,300.0,
2016-12-08 09:32:00,7614.0,,-5.0,-60.0,,40.0,-100.0,
2016-12-08 09:38:00,7620.0,,-14.0,-300.0,,180.0,-480.0,
2016-12-08 09:45:00,7624.0,,-16.0,-560.0,,40.0,-600.0,
2016-12-08 10:09:00,7634.0,,-22.0,-1600.0,,120.0,-1720.0,
2016-12-08 10:14:00,7628.0,,-24.0,1320.0,,40.0,1280.0,
