stockdate,C,CZL,totalposition,profit,profit_ZL,comm,equity,equity_ZL
2016-12-05 09:24:00,1581.0,,51.0,,,,,
2016-12-05 14:59:00,1586.0,,51.0,2550.0,,0.0,2550.0,
2016-12-05 14:59:00,1586.0,,51.0,0.0,,0.0,0.0,
2016-12-06 14:35:00,1575.0,,25.0,-5610.0,,260.0,-5870.0,
2016-12-06 14:59:00,1570.0,,25.0,-1250.0,,0.0,-1250.0,
2016-12-06 14:59:00,1570.0,,25.0,0.0,,0.0,0.0,
2016-12-07 09:57:00,1580.0,,51.0,2500.0,,260.0,2240.0,
2016-12-07 10:56:00,1581.0,,63.0,510.0,,120.0,390.0,
2016-12-07 11:22:00,1574.0,,51.0,-4410.0,,120.0,-4530.0,
2016-12-07 11:29:00,1574.0,,0.0,0.0,,510.0,-510.0,
2016-12-07 14:59:00,1574.0,,0.0,0.0,,0.0,0.0,
2016-12-08 09:24:00,1558.0,,-25.0,-0.0,,250.0,-250.0,
2016-12-08 09:28:00,1557.0,,-51.0,250.0,,260.0,-10.0,
2016-12-08 10:44:00,1551.0,,-63.0,3060.0,,120.0,2940.0,
2016-12-08 14:59:00,1547.0,,-63.0,2520.0,,0.0,2520.0,
2016-12-09 14:59:00,1551.0,,-63.0,-2520.0,,0.0,-2520.0,
2016-12-09 14:59:00,1551.0,,-63.0,-0.0,,0.0,-0.0,
2016-12-12 14:59:00,1533.0,,-63.0,11340.0,,0.0,11340.0,
2016-12-13 14:59:00,1540.0,,-63.0,-4410.0,,0.0,-4410.0,
2016-12-14 14:59:00,1533.0,,-63.0,4410.0,,0.0,4410.0,
2016-12-15 14:59:00,1550.0,,-63.0,-10710.0,,0.0,-10710.0,
2016-12-16 09:20:00,1552.0,,-51.0,-1260.0,,120.0,-1380.0,
2016-12-16 10:56:00,1559.0,,-38.0,-3570.0,,130.0,-3700.0,
2016-12-16 11:04:00,1558.0,,-13.0,380.0,,250.0,130.0,
