stockdate,C,CZL,totalposition,profit,profit_ZL,comm,equity,equity_ZL
2017-02-07 14:59:00,6070.0,6124.0,-49.0,,,,,
2017-02-08 09:21:00,6142.0,6208.0,-46.0,-35280.0,-41160.0,60.0,-35340.0,-41220.0
2017-02-08 13:38:00,6158.0,6222.0,-36.0,-7360.0,-6440.0,200.0,-7560.0,-6640.0
2017-02-08 13:39:00,6156.0,6220.0,-46.0,720.0,720.0,200.0,520.0,520.0
2017-02-08 13:43:00,6162.0,6228.0,-43.0,-2760.0,-3680.0,60.0,-2820.0,-3740.0
2017-02-08 13:44:00,6170.0,6234.0,-46.0,-3440.0,-2580.0,60.0,-3500.0,-2640.0
2017-02-08 13:45:00,6166.0,6230.0,-43.0,1840.0,1840.0,60.0,1780.0,1780.0
2017-02-08 13:46:00,6168.0,6232.0,-46.0,-860.0,-860.0,60.0,-920.0,-920.0
2017-02-08 13:47:00,6166.0,6230.0,-33.0,920.0,920.0,260.0,660.0,660.0
2017-02-08 13:49:00,6168.0,6232.0,-26.0,-660.0,-660.0,140.0,-800.0,-800.0
2017-02-08 13:50:00,6166.0,6230.0,-33.0,520.0,520.0,140.0,380.0,380.0
2017-02-08 13:51:00,6170.0,6234.0,-29.0,-1320.0,-1320.0,80.0,-1400.0,-1400.0
2017-02-08 13:53:00,6166.0,6230.0,-20.0,1160.0,1160.0,180.0,980.0,980.0
2017-02-08 13:54:00,6166.0,6230.0,-29.0,-0.0,-0.0,180.0,-180.0,-180.0
2017-02-08 13:55:00,6166.0,6230.0,-26.0,-0.0,-0.0,60.0,-60.0,-60.0
2017-02-08 13:58:00,6164.0,6228.0,-13.0,520.0,520.0,260.0,260.0,260.0
2017-02-08 14:00:00,6168.0,6234.0,-10.0,-520.0,-780.0,60.0,-580.0,-840.0
2017-02-08 14:01:00,6176.0,6242.0,-3.0,-800.0,-800.0,140.0,-940.0,-940.0
2017-02-08 14:16:00,6174.0,6240.0,-0.0,60.0,60.0,60.0,0.0,0.0
2017-02-08 14:59:00,6166.0,6236.0,-0.0,0.0,0.0,0.0,0.0,0.0
2017-02-09 09:26:00,6156.0,6226.0,-0.0,0.0,0.0,0.0,0.0,0.0
2017-02-09 10:14:00,6154.0,6224.0,-0.0,0.0,0.0,0.0,0.0,0.0
2017-02-09 10:30:00,6152.0,6222.0,-0.0,0.0,0.0,0.0,0.0,0.0
2017-02-09 14:16:00,6128.0,6200.0,-3.0,0.0,0.0,60.0,-60.0,-60.0
2017-02-09 14:25:00,6134.0,6206.0,-7.0,-180.0,-180.0,80.0,-260.0,-260.0
2017-02-09 14:51:00,6120.0,6190.0,-10.0,980.0,1120.0,60.0,920.0,1060.0
2017-02-09 14:52:00,6118.0,6188.0,-7.0,200.0,200.0,60.0,140.0,140.0
2017-02-09 14:53:00,6120.0,6190.0,-10.0,-140.0,-140.0,60.0,-200.0,-200.0
2017-02-09 14:57:00,6122.0,6192.0,-13.0,-200.0,-200.0,60.0,-260.0,-260.0
2017-02-09 14:58:00,6122.0,6192.0,-10.0,-0.0,-0.0,60.0,-60.0,-60.0
2017-02-09 14:59:00,6118.0,6190.0,-16.0,400.0,200.0,120.0,280.0,80.0
2017-02-10 09:00:00,6144.0,6218.0,-10.0,-4160.0,-4480.0,120.0,-4280.0,-4600.0
2017-02-10 09:01:00,6140.0,6214.0,-16.0,400.0,400.0,120.0,280.0,280.0
2017-02-10 09:57:00,6160.0,6236.0,-10.0,-3200.0,-3520.0,120.0,-3320.0,-3640.0
2017-02-10 10:06:00,6162.0,6238.0,-3.0,-200.0,-200.0,140.0,-340.0,-340.0
2017-02-10 10:07:00,6164.0,6240.0,3.0,-60.0,-60.0,120.0,-180.0,-180.0
2017-02-10 10:53:00,6186.0,6266.0,10.0,660.0,780.0,140.0,520.0,640.0
2017-02-10 10:54:00,6188.0,6268.0,3.0,200.0,200.0,140.0,60.0,60.0
2017-02-10 11:16:00,6196.0,6278.0,10.0,240.0,300.0,140.0,100.0,160.0
2017-02-10 11:20:00,6192.0,6272.0,16.0,-400.0,-600.0,120.0,-520.0,-720.0
2017-02-10 11:21:00,6190.0,6270.0,10.0,-320.0,-320.0,120.0,-440.0,-440.0
2017-02-10 11:28:00,6190.0,6270.0,16.0,0.0,0.0,120.0,-120.0,-120.0
2017-02-10 14:25:00,6178.0,6264.0,10.0,-1920.0,-960.0,120.0,-2040.0,-1080.0
2017-02-10 14:26:00,6178.0,6264.0,16.0,0.0,0.0,120.0,-120.0,-120.0
2017-02-10 14:27:00,6176.0,6264.0,10.0,-320.0,0.0,120.0,-440.0,-120.0
2017-02-10 14:53:00,6182.0,6272.0,16.0,600.0,800.0,120.0,480.0,680.0
2017-02-10 14:54:00,6184.0,6274.0,10.0,320.0,320.0,120.0,200.0,200.0
2017-02-10 14:59:00,6194.0,6284.0,16.0,1000.0,1000.0,120.0,880.0,880.0
