stockdate,C,CZL,totalposition,profit,profit_ZL,comm,equity,equity_ZL
2017-02-07 14:16:00,22760.0,22765.0,-8.0,,,,,
2017-02-07 14:20:00,22740.0,22745.0,-6.0,800.0,800.0,50.0,750.0,750.0
2017-02-07 14:25:00,22725.0,22730.0,-4.0,450.0,450.0,50.0,400.0,400.0
2017-02-07 14:59:00,22670.0,22675.0,-4.0,1100.0,1100.0,0.0,1100.0,1100.0
2017-02-08 09:10:00,22980.0,22985.0,-2.0,-6200.0,-6200.0,50.0,-6250.0,-6250.0
2017-02-08 09:12:00,22975.0,22980.0,-0.0,50.0,50.0,50.0,0.0,0.0
2017-02-08 09:21:00,22950.0,22955.0,2.0,0.0,0.0,50.0,-50.0,-50.0
2017-02-08 09:24:00,22960.0,22965.0,6.0,100.0,100.0,100.0,0.0,0.0
2017-02-08 09:25:00,22960.0,22965.0,8.0,0.0,0.0,50.0,-50.0,-50.0
2017-02-08 09:26:00,22955.0,22960.0,14.0,-200.0,-200.0,150.0,-350.0,-350.0
2017-02-08 09:28:00,22985.0,22990.0,16.0,2100.0,2100.0,50.0,2050.0,2050.0
2017-02-08 09:32:00,22975.0,22980.0,18.0,-800.0,-800.0,50.0,-850.0,-850.0
2017-02-08 09:45:00,22985.0,22990.0,20.0,900.0,900.0,50.0,850.0,850.0
2017-02-08 09:51:00,23080.0,23080.0,23.0,9500.0,9000.0,75.0,9425.0,8925.0
2017-02-08 10:06:00,23090.0,23095.0,25.0,1150.0,1725.0,50.0,1100.0,1675.0
2017-02-08 10:11:00,23085.0,23090.0,27.0,-625.0,-625.0,50.0,-675.0,-675.0
2017-02-08 14:59:00,22945.0,22945.0,27.0,-18900.0,-19575.0,0.0,-18900.0,-19575.0
2017-02-09 09:25:00,23085.0,23080.0,27.0,18900.0,18225.0,0.0,18900.0,18225.0
2017-02-09 10:14:00,23140.0,23130.0,27.0,7425.0,6750.0,0.0,7425.0,6750.0
2017-02-09 10:30:00,23115.0,23105.0,27.0,-3375.0,-3375.0,0.0,-3375.0,-3375.0
2017-02-09 14:59:00,23000.0,22980.0,27.0,-15525.0,-16875.0,0.0,-15525.0,-16875.0
2017-02-10 14:59:00,23470.0,23415.0,27.0,63450.0,58725.0,0.0,63450.0,58725.0
