stockdate,C,CZL,totalposition,profit,profit_ZL,comm,equity,equity_ZL
2016-12-30 14:59:00,12865.0,,-15.0,,,,,
2017-01-03 14:59:00,12660.0,12590.0,-15.0,15375.0,,0.0,15375.0,
2017-01-03 14:59:00,12660.0,12590.0,-15.0,-0.0,-0.0,0.0,-0.0,-0.0
2017-01-04 14:59:00,12705.0,12680.0,-15.0,-3375.0,-6750.0,0.0,-3375.0,-6750.0
2017-01-04 14:59:00,12705.0,12680.0,-15.0,-0.0,-0.0,0.0,-0.0,-0.0
2017-01-05 14:59:00,12625.0,12595.0,-15.0,6000.0,6375.0,0.0,6000.0,6375.0
2017-01-05 14:59:00,12625.0,12595.0,-15.0,-0.0,-0.0,0.0,-0.0,-0.0
2017-01-06 14:59:00,12550.0,12510.0,-15.0,5625.0,6375.0,0.0,5625.0,6375.0
2017-01-09 09:43:00,12715.0,12695.0,0.0,-12375.0,-13875.0,375.0,-12750.0,-14250.0
2017-01-09 09:51:00,12710.0,12690.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0
2017-01-09 14:08:00,12580.0,12555.0,-1.0,-0.0,-0.0,25.0,-25.0,-25.0
2017-01-09 14:12:00,12575.0,12545.0,-3.0,25.0,50.0,50.0,-25.0,0.0
2017-01-09 14:13:00,12580.0,12555.0,-1.0,-75.0,-150.0,50.0,-125.0,-200.0
2017-01-09 14:25:00,12580.0,12555.0,-3.0,-0.0,-0.0,50.0,-50.0,-50.0
2017-01-09 14:59:00,12605.0,12580.0,-3.0,-375.0,-375.0,0.0,-375.0,-375.0
2017-01-09 14:59:00,12605.0,12580.0,-3.0,-0.0,-0.0,0.0,-0.0,-0.0
2017-01-10 11:25:00,12710.0,12685.0,0.0,-1575.0,-1575.0,75.0,-1650.0,-1650.0
2017-01-10 11:26:00,12700.0,12680.0,-3.0,-0.0,-0.0,75.0,-75.0,-75.0
2017-01-10 13:30:00,12760.0,12740.0,3.0,-900.0,-900.0,150.0,-1050.0,-1050.0
2017-01-10 13:32:00,12790.0,12770.0,6.0,450.0,450.0,75.0,375.0,375.0
2017-01-10 13:33:00,12780.0,12755.0,0.0,-300.0,-450.0,150.0,-450.0,-600.0
2017-01-10 13:34:00,12790.0,12775.0,6.0,0.0,0.0,150.0,-150.0,-150.0
2017-01-10 13:35:00,12815.0,12795.0,7.0,750.0,600.0,25.0,725.0,575.0
2017-01-10 13:36:00,12820.0,12800.0,9.0,175.0,175.0,50.0,125.0,125.0
2017-01-10 13:41:00,12825.0,12800.0,12.0,225.0,0.0,75.0,150.0,-75.0
2017-01-10 13:50:00,12835.0,12810.0,13.0,600.0,600.0,25.0,575.0,575.0
2017-01-10 13:53:00,12800.0,12775.0,18.0,-2275.0,-2275.0,125.0,-2400.0,-2400.0
2017-01-10 13:54:00,12800.0,12780.0,9.0,0.0,450.0,225.0,-225.0,225.0
2017-01-10 13:57:00,12785.0,12760.0,21.0,-675.0,-900.0,300.0,-975.0,-1200.0
2017-01-10 14:59:00,12890.0,12870.0,21.0,11025.0,11550.0,0.0,11025.0,11550.0
2017-01-10 14:59:00,12890.0,12870.0,21.0,0.0,0.0,0.0,0.0,0.0
2017-01-11 14:59:00,13065.0,13040.0,21.0,18375.0,17850.0,0.0,18375.0,17850.0
2017-01-11 14:59:00,13065.0,13040.0,21.0,0.0,0.0,0.0,0.0,0.0
2017-01-12 09:00:00,13045.0,13015.0,18.0,-2100.0,-2625.0,75.0,-2175.0,-2700.0
2017-01-12 14:59:00,13290.0,13280.0,18.0,22050.0,23850.0,0.0,22050.0,23850.0
2017-01-13 13:43:00,13320.0,13295.0,15.0,2700.0,1350.0,75.0,2625.0,1275.0
2017-01-13 13:44:00,13310.0,13290.0,18.0,-750.0,-375.0,75.0,-825.0,-450.0
2017-01-13 13:45:00,13310.0,13285.0,16.0,0.0,-450.0,50.0,-50.0,-500.0
2017-01-13 13:46:00,13320.0,13300.0,18.0,800.0,1200.0,50.0,750.0,1150.0
2017-01-13 13:47:00,13310.0,13290.0,12.0,-900.0,-900.0,150.0,-1050.0,-1050.0
2017-01-13 13:49:00,13300.0,13275.0,10.0,-600.0,-900.0,50.0,-650.0,-950.0
2017-01-13 13:50:00,13290.0,13275.0,12.0,-500.0,0.0,50.0,-550.0,-50.0
2017-01-13 13:51:00,13295.0,13275.0,10.0,300.0,0.0,50.0,250.0,-50.0
2017-01-13 13:53:00,13305.0,13285.0,6.0,500.0,500.0,100.0,400.0,400.0
2017-01-13 13:54:00,13290.0,13270.0,10.0,-450.0,-450.0,100.0,-550.0,-550.0
2017-01-13 13:58:00,13290.0,13270.0,4.0,0.0,0.0,150.0,-150.0,-150.0
2017-01-13 14:00:00,13270.0,13250.0,3.0,-400.0,-400.0,25.0,-425.0,-425.0
2017-01-13 14:01:00,13285.0,13265.0,1.0,225.0,225.0,50.0,175.0,175.0
2017-01-13 14:16:00,13290.0,13270.0,0.0,25.0,25.0,25.0,0.0,0.0
2017-01-13 14:59:00,13405.0,13395.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-13 14:59:00,13405.0,13395.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-16 14:59:00,13410.0,13390.0,0.0,0.0,-0.0,0.0,0.0,-0.0
2017-01-16 14:59:00,13410.0,13390.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-17 14:59:00,13350.0,13320.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0
2017-01-17 14:59:00,13350.0,13320.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-18 10:31:00,13390.0,13365.0,1.0,0.0,0.0,25.0,-25.0,-25.0
2017-01-18 13:49:00,13360.0,13330.0,-1.0,-150.0,-175.0,50.0,-200.0,-225.0
2017-01-18 13:50:00,13375.0,13345.0,1.0,-75.0,-75.0,50.0,-125.0,-125.0
2017-01-18 13:57:00,13390.0,13365.0,3.0,75.0,100.0,50.0,25.0,50.0
2017-01-18 13:58:00,13395.0,13365.0,1.0,75.0,0.0,50.0,25.0,-50.0
2017-01-18 14:13:00,13395.0,13365.0,3.0,0.0,0.0,50.0,-50.0,-50.0
2017-01-18 14:19:00,13400.0,13370.0,4.0,75.0,75.0,25.0,50.0,50.0
2017-01-18 14:24:00,13390.0,13360.0,1.0,-200.0,-200.0,75.0,-275.0,-275.0
2017-01-18 14:57:00,13355.0,13325.0,1.0,-175.0,-175.0,0.0,-175.0,-175.0
2017-01-18 14:59:00,13365.0,13335.0,1.0,50.0,50.0,0.0,50.0,50.0
2017-01-18 14:59:00,13365.0,13335.0,1.0,0.0,0.0,0.0,0.0,0.0
2017-01-19 10:11:00,13355.0,13325.0,3.0,-50.0,-50.0,50.0,-100.0,-100.0
2017-01-19 10:57:00,13370.0,13335.0,0.0,225.0,150.0,75.0,150.0,75.0
2017-01-19 10:58:00,13370.0,13340.0,3.0,0.0,0.0,75.0,-75.0,-75.0
2017-01-19 11:16:00,13390.0,13360.0,4.0,300.0,300.0,25.0,275.0,275.0
2017-01-19 11:21:00,13385.0,13355.0,1.0,-100.0,-100.0,75.0,-175.0,-175.0
2017-01-19 13:31:00,13400.0,13370.0,4.0,75.0,75.0,75.0,0.0,0.0
2017-01-19 13:53:00,13380.0,13345.0,-1.0,-400.0,-500.0,125.0,-525.0,-625.0
2017-01-19 13:54:00,13380.0,13345.0,4.0,-0.0,-0.0,125.0,-125.0,-125.0
2017-01-19 13:58:00,13385.0,13350.0,-1.0,100.0,100.0,125.0,-25.0,-25.0
2017-01-19 14:59:00,13385.0,13355.0,-1.0,-0.0,-25.0,0.0,-0.0,-25.0
2017-01-20 10:41:00,13415.0,13380.0,1.0,-150.0,-125.0,50.0,-200.0,-175.0
2017-01-20 10:49:00,13425.0,13395.0,7.0,50.0,75.0,150.0,-100.0,-75.0
2017-01-20 10:54:00,13430.0,13400.0,9.0,175.0,175.0,50.0,125.0,125.0
