stockdate,C,CZL,totalposition,profit,profit_ZL,comm,equity,equity_ZL
2016-11-28 14:29:00,16155.0,,-0.0,,,,,
2016-11-28 14:59:00,16185.0,,-0.0,-0.0,,0.0,-0.0,
2016-11-28 14:59:00,16185.0,,-0.0,-0.0,,0.0,-0.0,
2016-11-29 09:20:00,16255.0,,1.0,-0.0,,25.0,-25.0,
2016-11-29 09:21:00,16270.0,,2.0,75.0,,25.0,50.0,
2016-11-29 09:24:00,16260.0,,3.0,-100.0,,25.0,-125.0,
2016-11-29 09:25:00,16260.0,,5.0,0.0,,50.0,-50.0,
2016-11-29 10:05:00,16085.0,,6.0,-4375.0,,25.0,-4400.0,
2016-11-29 11:26:00,15925.0,,5.0,-4800.0,,25.0,-4825.0,
2016-11-29 11:29:00,15990.0,,3.0,1625.0,,50.0,1575.0,
2016-11-29 13:32:00,15975.0,,2.0,-225.0,,25.0,-250.0,
2016-11-29 14:59:00,15940.0,,2.0,-350.0,,0.0,-350.0,
2016-11-29 14:59:00,15940.0,,2.0,0.0,,0.0,0.0,
2016-11-30 11:14:00,15850.0,,1.0,-900.0,,25.0,-925.0,
2016-11-30 11:17:00,15760.0,,-0.0,-450.0,,25.0,-475.0,
2016-11-30 11:22:00,15880.0,,-1.0,-0.0,,25.0,-25.0,
2016-11-30 11:24:00,15855.0,,-5.0,125.0,,100.0,25.0,
2016-11-30 11:26:00,15845.0,,-6.0,250.0,,25.0,225.0,
2016-11-30 11:29:00,15740.0,,-10.0,3150.0,,100.0,3050.0,
2016-11-30 13:39:00,15830.0,,-11.0,-4500.0,,25.0,-4525.0,
2016-11-30 13:56:00,15840.0,,-13.0,-550.0,,50.0,-600.0,
2016-11-30 14:59:00,15800.0,,-13.0,2600.0,,0.0,2600.0,
2016-12-01 09:10:00,16110.0,,-11.0,-20150.0,,50.0,-20200.0,
2016-12-01 09:12:00,16095.0,,-10.0,825.0,,25.0,800.0,
2016-12-01 09:20:00,16105.0,,-9.0,-500.0,,25.0,-525.0,
2016-12-01 09:22:00,16075.0,,-8.0,1350.0,,25.0,1325.0,
2016-12-01 09:24:00,16075.0,,-6.0,-0.0,,50.0,-50.0,
2016-12-01 09:26:00,16080.0,,-5.0,-150.0,,25.0,-175.0,
2016-12-01 09:28:00,16075.0,,-1.0,125.0,,100.0,25.0,
2016-12-01 09:32:00,16110.0,,-0.0,-175.0,,25.0,-200.0,
2016-12-01 09:34:00,16100.0,,1.0,0.0,,25.0,-25.0,
2016-12-01 09:54:00,16075.0,,2.0,-125.0,,25.0,-150.0,
2016-12-01 09:57:00,16070.0,,3.0,-50.0,,25.0,-75.0,
2016-12-01 10:02:00,16085.0,,5.0,225.0,,50.0,175.0,
2016-12-01 10:08:00,16085.0,,6.0,0.0,,25.0,-25.0,
2016-12-01 10:09:00,16075.0,,7.0,-300.0,,25.0,-325.0,
2016-12-01 10:14:00,16070.0,,9.0,-175.0,,50.0,-225.0,
2016-12-01 11:04:00,16110.0,,10.0,1800.0,,25.0,1775.0,
2016-12-01 11:11:00,16075.0,,11.0,-1750.0,,25.0,-1775.0,
2016-12-01 11:14:00,16095.0,,13.0,1100.0,,50.0,1050.0,
2016-12-01 14:14:00,15965.0,,10.0,-8450.0,,75.0,-8525.0,
2016-12-01 14:23:00,15950.0,,8.0,-750.0,,50.0,-800.0,
2016-12-01 14:47:00,15855.0,,6.0,-3800.0,,50.0,-3850.0,
2016-12-01 14:49:00,15880.0,,1.0,750.0,,125.0,625.0,
2016-12-01 14:50:00,15880.0,,-1.0,0.0,,50.0,-50.0,
2016-12-01 14:51:00,15885.0,,-2.0,-25.0,,25.0,-50.0,
2016-12-01 14:59:00,15850.0,,-13.0,350.0,,275.0,75.0,
2016-12-02 09:10:00,15845.0,,-14.0,325.0,,25.0,300.0,
2016-12-02 10:05:00,15855.0,,-16.0,-700.0,,50.0,-750.0,
2016-12-02 14:59:00,15655.0,,-16.0,16000.0,,0.0,16000.0,
2016-12-05 10:04:00,15850.0,,-14.0,-15600.0,,50.0,-15650.0,
2016-12-05 10:09:00,15845.0,,-13.0,350.0,,25.0,325.0,
2016-12-05 14:59:00,15720.0,,-13.0,8125.0,,0.0,8125.0,
2016-12-06 09:28:00,15710.0,,-14.0,650.0,,25.0,625.0,
2016-12-06 14:59:00,15775.0,,-14.0,-4550.0,,0.0,-4550.0,
2016-12-06 14:59:00,15775.0,,-14.0,-0.0,,0.0,-0.0,
2016-12-07 09:20:00,15880.0,,-13.0,-7350.0,,25.0,-7375.0,
2016-12-07 09:21:00,15885.0,,-10.0,-325.0,,75.0,-400.0,
2016-12-07 09:22:00,15885.0,,-8.0,-0.0,,50.0,-50.0,
2016-12-07 09:24:00,15880.0,,-6.0,200.0,,50.0,150.0,
2016-12-07 09:25:00,15865.0,,-3.0,450.0,,75.0,375.0,
2016-12-07 09:26:00,15880.0,,2.0,-225.0,,125.0,-350.0,
2016-12-07 09:32:00,15910.0,,5.0,300.0,,75.0,225.0,
2016-12-07 09:41:00,15890.0,,6.0,-500.0,,25.0,-525.0,
2016-12-07 09:43:00,15885.0,,7.0,-150.0,,25.0,-175.0,
2016-12-07 10:02:00,15840.0,,5.0,-1575.0,,50.0,-1625.0,
2016-12-07 10:09:00,15865.0,,6.0,625.0,,25.0,600.0,
2016-12-07 10:14:00,15850.0,,7.0,-450.0,,25.0,-475.0,
2016-12-07 10:39:00,15875.0,,8.0,875.0,,25.0,850.0,
2016-12-07 10:47:00,15925.0,,9.0,2000.0,,25.0,1975.0,
2016-12-07 10:55:00,15915.0,,13.0,-450.0,,100.0,-550.0,
2016-12-07 11:05:00,15890.0,,15.0,-1625.0,,50.0,-1675.0,
2016-12-07 11:14:00,15830.0,,13.0,-4500.0,,50.0,-4550.0,
2016-12-07 11:24:00,15780.0,,10.0,-3250.0,,75.0,-3325.0,
2016-12-07 11:29:00,15765.0,,8.0,-750.0,,50.0,-800.0,
2016-12-07 14:14:00,15820.0,,6.0,2200.0,,50.0,2150.0,
2016-12-07 14:59:00,15855.0,,6.0,1050.0,,0.0,1050.0,
2016-12-07 14:59:00,15855.0,,8.0,0.0,,50.0,-50.0,
2016-12-08 09:20:00,15730.0,,6.0,-5000.0,,50.0,-5050.0,
2016-12-08 09:21:00,15730.0,,3.0,0.0,,75.0,-75.0,
2016-12-08 09:24:00,15710.0,,1.0,-300.0,,50.0,-350.0,
2016-12-08 09:26:00,15725.0,,-1.0,75.0,,50.0,25.0,
2016-12-08 09:28:00,15740.0,,-2.0,-75.0,,25.0,-100.0,
2016-12-08 09:38:00,15735.0,,-5.0,50.0,,75.0,-25.0,
2016-12-08 09:45:00,15750.0,,-7.0,-375.0,,50.0,-425.0,
2016-12-08 09:51:00,15740.0,,-10.0,350.0,,75.0,275.0,
2016-12-08 09:53:00,15740.0,,-15.0,-0.0,,125.0,-125.0,
2016-12-08 09:54:00,15740.0,,-17.0,-0.0,,50.0,-50.0,
2016-12-08 14:59:00,15680.0,,-17.0,5100.0,,0.0,5100.0,
2016-12-09 10:55:00,15730.0,,-13.0,-4250.0,,100.0,-4350.0,
2016-12-09 14:59:00,15680.0,,-13.0,3250.0,,0.0,3250.0,
2016-12-09 14:59:00,15680.0,,-13.0,-0.0,,0.0,-0.0,
2016-12-12 09:28:00,15725.0,,-17.0,-2925.0,,100.0,-3025.0,
2016-12-12 09:57:00,15830.0,,-13.0,-8925.0,,100.0,-9025.0,
2016-12-12 10:05:00,15890.0,,-10.0,-3900.0,,75.0,-3975.0,
2016-12-12 10:08:00,15830.0,,-8.0,3000.0,,50.0,2950.0,
2016-12-12 10:14:00,15835.0,,8.0,-200.0,,400.0,-600.0,
2016-12-12 10:43:00,15885.0,,10.0,2000.0,,50.0,1950.0,
2016-12-12 10:44:00,15885.0,,13.0,0.0,,75.0,-75.0,
2016-12-12 11:04:00,16040.0,,15.0,10075.0,,50.0,10025.0,
2016-12-12 11:19:00,16035.0,,17.0,-375.0,,50.0,-425.0,
2016-12-12 14:56:00,15775.0,,16.0,-22100.0,,25.0,-22125.0,
2016-12-12 14:59:00,15825.0,,16.0,4000.0,,0.0,4000.0,
2016-12-12 14:59:00,15825.0,,16.0,0.0,,0.0,0.0,
2016-12-13 14:59:00,16095.0,,16.0,21600.0,,0.0,21600.0,
2016-12-14 09:54:00,15875.0,,14.0,-17600.0,,50.0,-17650.0,
2016-12-14 10:14:00,15890.0,,13.0,1050.0,,25.0,1025.0,
2016-12-14 10:38:00,15835.0,,11.0,-3575.0,,50.0,-3625.0,
2016-12-14 10:39:00,15810.0,,9.0,-1375.0,,50.0,-1425.0,
2016-12-14 10:43:00,15825.0,,5.0,675.0,,100.0,575.0,
2016-12-14 10:44:00,15815.0,,1.0,-250.0,,100.0,-350.0,
2016-12-14 10:47:00,15845.0,,-6.0,150.0,,175.0,-25.0,
2016-12-14 10:54:00,15805.0,,-8.0,1200.0,,50.0,1150.0,
2016-12-14 10:55:00,15805.0,,-15.0,-0.0,,175.0,-175.0,
2016-12-14 10:56:00,15825.0,,-17.0,-1500.0,,50.0,-1550.0,
2016-12-14 11:04:00,15800.0,,-18.0,2125.0,,25.0,2100.0,
2016-12-14 11:11:00,15795.0,,-19.0,450.0,,25.0,425.0,
2016-12-14 14:59:00,15770.0,,-19.0,2375.0,,0.0,2375.0,
2016-12-15 14:59:00,15790.0,,-19.0,-1900.0,,0.0,-1900.0,
2016-12-16 13:59:00,15875.0,,-17.0,-8075.0,,50.0,-8125.0,
2016-12-16 14:49:00,15740.0,,-19.0,11475.0,,50.0,11425.0,
2016-12-16 14:59:00,15725.0,,-19.0,1425.0,,0.0,1425.0,
2016-12-16 14:59:00,15725.0,,-19.0,-0.0,,0.0,-0.0,
2016-12-19 14:59:00,15425.0,,-19.0,28500.0,,0.0,28500.0,
2016-12-20 14:59:00,14915.0,,-19.0,48450.0,,0.0,48450.0,
2016-12-21 14:49:00,15100.0,,-17.0,-17575.0,,50.0,-17625.0,
2016-12-21 14:56:00,15145.0,,-16.0,-3825.0,,25.0,-3850.0,
2016-12-21 14:59:00,15130.0,,-11.0,1200.0,,125.0,1075.0,
2016-12-22 09:10:00,15250.0,,-9.0,-6600.0,,50.0,-6650.0,
2016-12-22 09:26:00,15215.0,,-6.0,1575.0,,75.0,1500.0,
2016-12-22 09:28:00,15235.0,,-2.0,-600.0,,100.0,-700.0,
2016-12-22 09:32:00,15235.0,,-1.0,-0.0,,25.0,-25.0,
2016-12-22 09:34:00,15245.0,,-0.0,-50.0,,25.0,-75.0,
2016-12-22 14:59:00,15175.0,,-0.0,0.0,,0.0,0.0,
2016-12-23 14:59:00,15170.0,,-0.0,0.0,,0.0,0.0,
2016-12-26 09:20:00,14985.0,,-1.0,0.0,,25.0,-25.0,
2016-12-26 09:22:00,14970.0,,-2.0,75.0,,25.0,50.0,
2016-12-26 09:28:00,14945.0,,-5.0,250.0,,75.0,175.0,
2016-12-26 10:09:00,14735.0,,-6.0,5250.0,,25.0,5225.0,
2016-12-26 14:59:00,14805.0,,-6.0,-2100.0,,0.0,-2100.0,
2016-12-27 09:28:00,14885.0,,-3.0,-2400.0,,75.0,-2475.0,
2016-12-27 11:26:00,14900.0,,-2.0,-225.0,,25.0,-250.0,
2016-12-27 11:29:00,14930.0,,-1.0,-300.0,,25.0,-325.0,
2016-12-27 14:14:00,14940.0,,-0.0,-50.0,,25.0,-75.0,
2016-12-27 14:59:00,14925.0,,-0.0,0.0,,0.0,0.0,
2016-12-28 14:59:00,14860.0,,-0.0,0.0,,0.0,0.0,
2016-12-29 14:50:00,14925.0,,1.0,-0.0,,25.0,-25.0,
2016-12-29 14:59:00,14950.0,,1.0,125.0,,0.0,125.0,
2016-12-30 14:59:00,15045.0,,1.0,475.0,,0.0,475.0,
2016-12-30 14:59:00,15045.0,,1.0,0.0,,0.0,0.0,
2017-01-03 14:59:00,15100.0,15085.0,1.0,275.0,,0.0,275.0,
2017-01-03 14:59:00,15100.0,15085.0,1.0,0.0,0.0,0.0,0.0,0.0
2017-01-04 14:59:00,15100.0,15085.0,1.0,0.0,0.0,0.0,0.0,0.0
2017-01-05 14:59:00,15310.0,15300.0,1.0,1050.0,1075.0,0.0,1050.0,1075.0
2017-01-06 14:59:00,15200.0,15185.0,1.0,-550.0,-575.0,0.0,-550.0,-575.0
2017-01-06 14:59:00,15200.0,15185.0,1.0,0.0,0.0,0.0,0.0,0.0
2017-01-09 09:32:00,15285.0,15275.0,1.0,425.0,450.0,0.0,425.0,450.0
2017-01-09 10:49:00,15305.0,15290.0,2.0,100.0,75.0,25.0,75.0,50.0
2017-01-09 10:50:00,15300.0,15285.0,0.0,-50.0,-50.0,50.0,-100.0,-100.0
2017-01-09 11:06:00,15315.0,15305.0,2.0,0.0,0.0,50.0,-50.0,-50.0
2017-01-09 13:53:00,15370.0,15360.0,3.0,550.0,550.0,25.0,525.0,525.0
2017-01-09 13:54:00,15360.0,15355.0,2.0,-150.0,-75.0,25.0,-175.0,-100.0
2017-01-09 13:58:00,15365.0,15360.0,3.0,50.0,50.0,25.0,25.0,25.0
2017-01-09 14:59:00,15385.0,15370.0,3.0,300.0,150.0,0.0,300.0,150.0
2017-01-10 10:07:00,15245.0,15230.0,1.0,-2100.0,-2100.0,50.0,-2150.0,-2150.0
2017-01-10 10:34:00,15250.0,15240.0,0.0,25.0,50.0,25.0,0.0,25.0
2017-01-10 10:35:00,15250.0,15235.0,2.0,0.0,-0.0,50.0,-50.0,-50.0
2017-01-10 10:41:00,15265.0,15250.0,0.0,150.0,150.0,50.0,100.0,100.0
2017-01-10 10:45:00,15250.0,15235.0,-1.0,-0.0,-0.0,25.0,-25.0,-25.0
2017-01-10 10:46:00,15260.0,15245.0,-1.0,-50.0,-50.0,0.0,-50.0,-50.0
2017-01-10 13:32:00,15340.0,15325.0,1.0,-400.0,-400.0,50.0,-450.0,-450.0
2017-01-10 13:33:00,15335.0,15320.0,-1.0,-25.0,-25.0,50.0,-75.0,-75.0
2017-01-10 13:34:00,15340.0,15325.0,1.0,-25.0,-25.0,50.0,-75.0,-75.0
2017-01-10 13:35:00,15355.0,15345.0,-1.0,75.0,100.0,50.0,25.0,50.0
2017-01-10 13:36:00,15365.0,15355.0,3.0,-50.0,-50.0,100.0,-150.0,-150.0
2017-01-10 13:38:00,15360.0,15345.0,5.0,-75.0,-150.0,50.0,-125.0,-200.0
2017-01-10 13:39:00,15355.0,15340.0,3.0,-125.0,-125.0,50.0,-175.0,-175.0
2017-01-10 13:41:00,15365.0,15350.0,6.0,150.0,150.0,75.0,75.0,75.0
2017-01-10 13:46:00,15400.0,15385.0,7.0,1050.0,1050.0,25.0,1025.0,1025.0
2017-01-10 14:59:00,15455.0,15445.0,7.0,1925.0,2100.0,0.0,1925.0,2100.0
2017-01-10 14:59:00,15455.0,15445.0,7.0,0.0,0.0,0.0,0.0,0.0
2017-01-11 14:59:00,15400.0,15385.0,7.0,-1925.0,-2100.0,0.0,-1925.0,-2100.0
2017-01-11 14:59:00,15400.0,15385.0,7.0,0.0,0.0,0.0,0.0,0.0
2017-01-12 09:49:00,15365.0,15355.0,5.0,-1225.0,-1050.0,50.0,-1275.0,-1100.0
2017-01-12 10:45:00,15335.0,15320.0,3.0,-750.0,-875.0,50.0,-800.0,-925.0
2017-01-12 10:46:00,15330.0,15315.0,5.0,-75.0,-75.0,50.0,-125.0,-125.0
2017-01-12 10:56:00,15340.0,15325.0,3.0,250.0,250.0,50.0,200.0,200.0
2017-01-12 11:10:00,15345.0,15330.0,1.0,75.0,75.0,50.0,25.0,25.0
2017-01-12 11:11:00,15330.0,15315.0,3.0,-75.0,-75.0,50.0,-125.0,-125.0
2017-01-12 11:13:00,15325.0,15310.0,1.0,-75.0,-75.0,50.0,-125.0,-125.0
2017-01-12 11:25:00,15325.0,15310.0,-1.0,0.0,0.0,50.0,-50.0,-50.0
2017-01-12 11:26:00,15330.0,15315.0,1.0,-25.0,-25.0,50.0,-75.0,-75.0
2017-01-12 13:31:00,15335.0,15320.0,-3.0,25.0,25.0,100.0,-75.0,-75.0
2017-01-12 13:53:00,15405.0,15390.0,-1.0,-1050.0,-1050.0,50.0,-1100.0,-1100.0
2017-01-12 13:54:00,15410.0,15395.0,-3.0,-25.0,-25.0,50.0,-75.0,-75.0
2017-01-12 13:57:00,15390.0,15375.0,-2.0,300.0,300.0,25.0,275.0,275.0
2017-01-12 13:58:00,15390.0,15375.0,-3.0,-0.0,-0.0,25.0,-25.0,-25.0
