stockdate,C,CZL,totalposition,profit,profit_ZL,comm,equity,equity_ZL
2016-11-28 10:38:00,9470.0,,-11.0,,,,,
2016-11-28 10:39:00,9495.0,,-9.0,-1375.0,,50.0,-1425.0,
2016-11-28 10:43:00,9515.0,,-7.0,-900.0,,50.0,-950.0,
2016-11-28 10:44:00,9525.0,,-5.0,-350.0,,50.0,-400.0,
2016-11-28 10:55:00,9495.0,,-0.0,750.0,,125.0,625.0,
2016-11-28 11:05:00,9560.0,,2.0,-0.0,,50.0,-50.0,
2016-11-28 11:14:00,9635.0,,4.0,750.0,,50.0,700.0,
2016-11-28 11:17:00,9575.0,,5.0,-1200.0,,25.0,-1225.0,
2016-11-28 11:22:00,9580.0,,7.0,125.0,,50.0,75.0,
2016-11-28 11:29:00,9595.0,,11.0,525.0,,100.0,425.0,
2016-11-28 13:34:00,9645.0,,13.0,2750.0,,50.0,2700.0,
2016-11-28 14:59:00,9605.0,,13.0,-2600.0,,0.0,-2600.0,
2016-11-28 14:59:00,9605.0,,13.0,0.0,,0.0,0.0,
2016-11-29 10:04:00,9505.0,,11.0,-6500.0,,50.0,-6550.0,
2016-11-29 10:05:00,9505.0,,7.0,0.0,,100.0,-100.0,
2016-11-29 11:05:00,9485.0,,5.0,-700.0,,50.0,-750.0,
2016-11-29 11:14:00,9480.0,,4.0,-125.0,,25.0,-150.0,
2016-11-29 11:17:00,9465.0,,2.0,-300.0,,50.0,-350.0,
2016-11-29 11:22:00,9425.0,,-0.0,-400.0,,50.0,-450.0,
2016-11-29 11:24:00,9425.0,,-4.0,-0.0,,100.0,-100.0,
2016-11-29 11:26:00,9425.0,,-5.0,-0.0,,25.0,-25.0,
2016-11-29 11:29:00,9420.0,,-16.0,125.0,,275.0,-150.0,
2016-11-29 13:39:00,9470.0,,-18.0,-4000.0,,50.0,-4050.0,
2016-11-29 14:07:00,9595.0,,-15.0,-11250.0,,75.0,-11325.0,
2016-11-29 14:11:00,9575.0,,-11.0,1500.0,,100.0,1400.0,
2016-11-29 14:14:00,9615.0,,-7.0,-2200.0,,100.0,-2300.0,
2016-11-29 14:18:00,9605.0,,-4.0,350.0,,75.0,275.0,
2016-11-29 14:24:00,9595.0,,4.0,200.0,,200.0,0.0,
2016-11-29 14:59:00,9525.0,,7.0,-1400.0,,75.0,-1475.0,
2016-11-29 14:59:00,9525.0,,4.0,0.0,,75.0,-75.0,
2016-11-30 09:10:00,9440.0,,4.0,-1700.0,,0.0,-1700.0,
2016-11-30 09:12:00,9455.0,,-0.0,300.0,,100.0,200.0,
2016-11-30 09:20:00,9420.0,,-4.0,0.0,,100.0,-100.0,
2016-11-30 09:24:00,9425.0,,-7.0,-100.0,,75.0,-175.0,
2016-11-30 09:26:00,9430.0,,-11.0,-175.0,,100.0,-275.0,
2016-11-30 09:28:00,9430.0,,-15.0,-0.0,,100.0,-100.0,
2016-11-30 09:32:00,9430.0,,-16.0,-0.0,,25.0,-25.0,
2016-11-30 09:38:00,9440.0,,-18.0,-800.0,,50.0,-850.0,
2016-11-30 09:51:00,9445.0,,-20.0,-450.0,,50.0,-500.0,
2016-11-30 10:09:00,9440.0,,-24.0,500.0,,100.0,400.0,
2016-11-30 10:14:00,9420.0,,-27.0,2400.0,,75.0,2325.0,
2016-11-30 14:59:00,9280.0,,-27.0,18900.0,,0.0,18900.0,
2016-11-30 14:59:00,9280.0,,-27.0,-0.0,,0.0,-0.0,
2016-12-01 09:10:00,9420.0,,-24.0,-18900.0,,75.0,-18975.0,
2016-12-01 09:12:00,9400.0,,-18.0,2400.0,,150.0,2250.0,
2016-12-01 09:20:00,9370.0,,-16.0,2700.0,,50.0,2650.0,
2016-12-01 09:22:00,9385.0,,-15.0,-1200.0,,25.0,-1225.0,
2016-12-01 09:24:00,9390.0,,-11.0,-375.0,,100.0,-475.0,
2016-12-01 09:26:00,9390.0,,-5.0,-0.0,,150.0,-150.0,
2016-12-01 09:28:00,9395.0,,-4.0,-125.0,,25.0,-150.0,
2016-12-01 09:32:00,9400.0,,-2.0,-100.0,,50.0,-150.0,
2016-12-01 09:34:00,9400.0,,-0.0,-0.0,,50.0,-50.0,
2016-12-01 13:34:00,9445.0,,2.0,-0.0,,50.0,-50.0,
2016-12-01 14:59:00,9380.0,,2.0,-650.0,,0.0,-650.0,
2016-12-01 14:59:00,9380.0,,2.0,0.0,,0.0,0.0,
2016-12-02 09:20:00,9510.0,,4.0,1300.0,,50.0,1250.0,
2016-12-02 09:24:00,9545.0,,5.0,700.0,,25.0,675.0,
2016-12-02 09:26:00,9550.0,,11.0,125.0,,150.0,-25.0,
2016-12-02 09:28:00,9545.0,,16.0,-275.0,,125.0,-400.0,
2016-12-02 09:38:00,9570.0,,20.0,2000.0,,100.0,1900.0,
2016-12-02 10:05:00,9585.0,,22.0,1500.0,,50.0,1450.0,
2016-12-02 10:38:00,9550.0,,24.0,-3850.0,,50.0,-3900.0,
2016-12-02 10:44:00,9550.0,,25.0,0.0,,25.0,-25.0,
2016-12-02 11:17:00,9550.0,,27.0,0.0,,50.0,-50.0,
2016-12-02 13:45:00,9425.0,,22.0,-16875.0,,125.0,-17000.0,
2016-12-02 14:59:00,9530.0,,22.0,11550.0,,0.0,11550.0,
2016-12-05 14:59:00,9880.0,,22.0,38500.0,,0.0,38500.0,
2016-12-06 14:59:00,9885.0,,22.0,550.0,,0.0,550.0,
2016-12-07 14:59:00,10115.0,,16.0,25300.0,,150.0,25150.0,
2016-12-08 09:20:00,10025.0,,15.0,-7200.0,,25.0,-7225.0,
2016-12-08 09:22:00,10015.0,,13.0,-750.0,,50.0,-800.0,
2016-12-08 09:24:00,10000.0,,9.0,-975.0,,100.0,-1075.0,
2016-12-08 09:28:00,10015.0,,4.0,675.0,,125.0,550.0,
