stockdate,C,CZL,totalposition,profit,profit_ZL,comm,equity,equity_ZL
2016-11-28 11:29:00,591.4,,1.0,,,,,
2016-11-28 14:59:00,589.0,,1.0,-240.0,,0.0,-240.0,
2016-11-28 14:59:00,589.0,,1.0,0.0,,0.0,0.0,
2016-11-29 09:10:00,581.4,,0.0,-760.0,,20.0,-780.0,
2016-11-29 09:12:00,581.4,,-3.0,0.0,,60.0,-60.0,
2016-11-29 09:21:00,580.0,,-4.0,420.0,,20.0,400.0,
2016-11-29 09:22:00,580.4,,-6.0,-160.0,,40.0,-200.0,
2016-11-29 09:25:00,580.4,,-7.0,-0.0,,20.0,-20.0,
2016-11-29 09:26:00,580.2,,-13.0,140.0,,120.0,20.0,
2016-11-29 09:28:00,580.2,,-14.0,-0.0,,20.0,-20.0,
2016-11-29 10:05:00,577.6,,-16.0,3640.0,,40.0,3600.0,
2016-11-29 14:59:00,572.0,,-16.0,8960.0,,0.0,8960.0,
2016-11-29 14:59:00,572.0,,-16.0,-0.0,,0.0,-0.0,
2016-11-30 14:50:00,553.6,,-12.0,29440.0,,80.0,29360.0,
2016-11-30 14:56:00,555.2,,-10.0,-1920.0,,40.0,-1960.0,
2016-11-30 14:59:00,555.4,,-7.0,-200.0,,60.0,-260.0,
2016-12-01 09:22:00,560.4,,-6.0,-3500.0,,20.0,-3520.0,
2016-12-01 09:26:00,560.6,,-3.0,-120.0,,60.0,-180.0,
2016-12-01 09:28:00,561.6,,-1.0,-300.0,,40.0,-340.0,
2016-12-01 09:32:00,562.8,,0.0,-120.0,,20.0,-140.0,
2016-12-01 14:59:00,573.4,,0.0,0.0,,0.0,0.0,
2016-12-01 14:59:00,573.4,,0.0,0.0,,0.0,0.0,
2016-12-02 14:59:00,569.0,,0.0,-0.0,,0.0,-0.0,
2016-12-05 14:59:00,561.0,,0.0,-0.0,,0.0,-0.0,
2016-12-05 14:59:00,561.0,,0.0,0.0,,0.0,0.0,
2016-12-06 14:59:00,550.4,,0.0,-0.0,,0.0,-0.0,
2016-12-06 14:59:00,550.4,,0.0,0.0,,0.0,0.0,
2016-12-07 13:49:00,564.8,,1.0,0.0,,20.0,-20.0,
2016-12-07 14:29:00,564.2,,3.0,-60.0,,40.0,-100.0,
