stockdate,C,CZL,totalposition,profit,profit_ZL,comm,equity,equity_ZL
2016-10-11 11:29:00,2815.0,2855.0,-26.0,,,,,
2016-10-11 13:59:00,2821.0,2860.0,-9.0,-1560.0,-1300.0,170.0,-1730.0,-1470.0
2016-10-11 14:59:00,2814.0,2853.0,-9.0,630.0,630.0,0.0,630.0,630.0
2016-10-12 09:59:00,2803.0,2841.0,-26.0,990.0,1080.0,170.0,820.0,910.0
2016-10-12 10:14:00,2803.0,2841.0,-51.0,-0.0,-0.0,250.0,-250.0,-250.0
2016-10-12 14:59:00,2781.0,2815.0,-51.0,11220.0,13260.0,0.0,11220.0,13260.0
2016-10-13 14:59:00,2741.0,2769.0,-51.0,20400.0,23460.0,0.0,20400.0,23460.0
2016-10-14 09:59:00,2783.0,2814.0,0.0,-21420.0,-22950.0,510.0,-21930.0,-23460.0
2016-10-14 10:14:00,2784.0,2814.0,9.0,0.0,0.0,90.0,-90.0,-90.0
2016-10-14 14:29:00,2781.0,2812.0,17.0,-270.0,-180.0,80.0,-350.0,-260.0
2016-10-14 14:59:00,2780.0,2811.0,17.0,-170.0,-170.0,0.0,-170.0,-170.0
2016-10-14 14:59:00,2780.0,2811.0,17.0,0.0,0.0,0.0,0.0,0.0
2016-10-17 09:29:00,2786.0,2818.0,26.0,1020.0,1190.0,90.0,930.0,1100.0
2016-10-17 13:59:00,2802.0,2834.0,34.0,4160.0,4160.0,80.0,4080.0,4080.0
2016-10-17 14:59:00,2797.0,2827.0,34.0,-1700.0,-2380.0,0.0,-1700.0,-2380.0
2016-10-17 14:59:00,2797.0,2827.0,34.0,0.0,0.0,0.0,0.0,0.0
2016-10-18 14:59:00,2823.0,2856.0,34.0,8840.0,9860.0,0.0,8840.0,9860.0
2016-10-18 14:59:00,2823.0,2856.0,34.0,0.0,0.0,0.0,0.0,0.0
2016-10-19 14:59:00,2794.0,2829.0,34.0,-9860.0,-9180.0,0.0,-9860.0,-9180.0
2016-10-20 14:59:00,2835.0,2874.0,34.0,13940.0,15300.0,0.0,13940.0,15300.0
2016-10-21 14:59:00,2824.0,2870.0,34.0,-3740.0,-1360.0,0.0,-3740.0,-1360.0
2016-10-24 14:59:00,2858.0,2906.0,34.0,11560.0,12240.0,0.0,11560.0,12240.0
2016-10-25 14:59:00,2840.0,2884.0,34.0,-6120.0,-7480.0,0.0,-6120.0,-7480.0
2016-10-26 14:59:00,2887.0,2927.0,34.0,15980.0,14620.0,0.0,15980.0,14620.0
2016-10-26 14:59:00,2887.0,2927.0,34.0,0.0,0.0,0.0,0.0,0.0
2016-10-27 14:59:00,2929.0,2972.0,34.0,14280.0,15300.0,0.0,14280.0,15300.0
2016-10-28 14:59:00,2919.0,2959.0,34.0,-3400.0,-4420.0,0.0,-3400.0,-4420.0
2016-10-28 14:59:00,2919.0,2959.0,34.0,0.0,0.0,0.0,0.0,0.0
2016-10-31 09:29:00,2877.0,2918.0,0.0,-14280.0,-13940.0,340.0,-14620.0,-14280.0
2016-10-31 14:59:00,2868.0,2910.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0
2016-10-31 14:59:00,2868.0,2910.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-11-01 14:59:00,2859.0,2902.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0
