stockdate,C,CZL,totalposition,profit,profit_ZL,comm,equity,equity_ZL
2016-10-11 09:29:00,6643.0,6637.0,11.0,,,,,
2016-10-11 14:59:00,6665.0,6658.0,11.0,2420.0,2310.0,0.0,2420.0,2310.0
2016-10-12 14:59:00,6699.0,6693.0,11.0,3740.0,3850.0,0.0,3740.0,3850.0
2016-10-13 09:59:00,6745.0,6741.0,21.0,5060.0,5280.0,100.0,4960.0,5180.0
2016-10-13 14:59:00,6741.0,6735.0,21.0,-840.0,-1260.0,0.0,-840.0,-1260.0
2016-10-13 14:59:00,6741.0,6735.0,21.0,0.0,0.0,0.0,0.0,0.0
2016-10-14 11:29:00,6731.0,6725.0,14.0,-2100.0,-2100.0,70.0,-2170.0,-2170.0
2016-10-14 14:59:00,6745.0,6740.0,14.0,1960.0,2100.0,0.0,1960.0,2100.0
2016-10-14 14:59:00,6745.0,6740.0,14.0,0.0,0.0,0.0,0.0,0.0
2016-10-17 09:59:00,6791.0,6786.0,21.0,6440.0,6440.0,70.0,6370.0,6370.0
2016-10-17 14:59:00,6793.0,6786.0,21.0,420.0,0.0,0.0,420.0,0.0
2016-10-18 14:59:00,6802.0,6796.0,21.0,1890.0,2100.0,0.0,1890.0,2100.0
2016-10-19 10:59:00,6719.0,6710.0,7.0,-17430.0,-18060.0,140.0,-17570.0,-18200.0
2016-10-19 11:29:00,6720.0,6711.0,-0.0,70.0,70.0,70.0,0.0,0.0
2016-10-19 13:59:00,6737.0,6729.0,-4.0,-0.0,-0.0,40.0,-40.0,-40.0
2016-10-19 14:59:00,6734.0,6725.0,-7.0,120.0,160.0,30.0,90.0,130.0
2016-10-20 14:59:00,6725.0,6715.0,-7.0,630.0,700.0,0.0,630.0,700.0
2016-10-20 14:59:00,6725.0,6715.0,-7.0,-0.0,-0.0,0.0,-0.0,-0.0
2016-10-21 14:59:00,6723.0,6714.0,-7.0,140.0,70.0,0.0,140.0,70.0
2016-10-24 09:29:00,6841.0,6835.0,18.0,-8260.0,-8470.0,250.0,-8510.0,-8720.0
2016-10-24 09:59:00,6857.0,6851.0,21.0,2880.0,2880.0,30.0,2850.0,2850.0
2016-10-24 14:59:00,6884.0,6877.0,21.0,5670.0,5460.0,0.0,5670.0,5460.0
