stockdate,C,CZL,totalposition,profit,profit_ZL,comm,equity,equity_ZL
2016-10-11 14:59:00,3285.0,3322.0,0.0,,,,,
2016-10-12 14:59:00,3340.0,3386.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-12 14:59:00,3340.0,3386.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-13 14:59:00,3360.0,3408.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-13 14:59:00,3360.0,3408.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-14 14:59:00,3374.0,3420.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-17 14:59:00,3384.0,3429.0,14.0,0.0,0.0,140.0,-140.0,-140.0
2016-10-18 09:29:00,3373.0,3416.0,-14.0,-770.0,-910.0,280.0,-1050.0,-1190.0
2016-10-18 11:29:00,3457.0,3508.0,14.0,-5880.0,-6440.0,280.0,-6160.0,-6720.0
2016-10-18 14:59:00,3498.0,3552.0,14.0,2870.0,3080.0,0.0,2870.0,3080.0
2016-10-18 14:59:00,3498.0,3552.0,14.0,0.0,0.0,0.0,0.0,0.0
2016-10-19 14:59:00,3468.0,3520.0,14.0,-2100.0,-2240.0,0.0,-2100.0,-2240.0
2016-10-19 14:59:00,3468.0,3520.0,14.0,0.0,0.0,0.0,0.0,0.0
2016-10-20 14:59:00,3545.0,3594.0,14.0,5390.0,5180.0,0.0,5390.0,5180.0
2016-10-20 14:59:00,3545.0,3594.0,14.0,0.0,0.0,0.0,0.0,0.0
2016-10-21 09:29:00,3511.0,3556.0,0.0,-2380.0,-2660.0,140.0,-2520.0,-2800.0
2016-10-21 14:59:55,3513.0,3559.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-24 09:29:00,3528.0,3578.0,7.0,0.0,0.0,70.0,-70.0,-70.0
2016-10-24 09:59:00,3562.0,3618.0,21.0,1190.0,1400.0,140.0,1050.0,1260.0
2016-10-24 10:59:00,3564.0,3620.0,34.0,210.0,210.0,130.0,80.0,80.0
2016-10-24 14:59:00,3555.0,3608.0,34.0,-1530.0,-2040.0,0.0,-1530.0,-2040.0
2016-10-25 09:59:00,3528.0,3573.0,21.0,-4590.0,-5950.0,130.0,-4720.0,-6080.0
2016-10-25 10:14:00,3520.0,3564.0,7.0,-840.0,-945.0,140.0,-980.0,-1085.0
2016-10-25 10:59:00,3510.0,3554.0,-7.0,-350.0,-350.0,140.0,-490.0,-490.0
2016-10-25 14:59:00,3487.0,3528.0,-7.0,805.0,910.0,0.0,805.0,910.0
2016-10-25 14:59:00,3487.0,3528.0,-7.0,-0.0,-0.0,0.0,-0.0,-0.0
2016-10-26 14:59:00,3534.0,3586.0,-7.0,-1645.0,-2030.0,0.0,-1645.0,-2030.0
2016-10-26 14:59:00,3534.0,3586.0,-7.0,-0.0,-0.0,0.0,-0.0,-0.0
2016-10-27 09:29:00,3528.0,3575.0,7.0,210.0,385.0,140.0,70.0,245.0
2016-10-27 09:59:00,3515.0,3557.0,-14.0,-455.0,-630.0,210.0,-665.0,-840.0
2016-10-27 10:59:00,3513.0,3557.0,-28.0,140.0,-0.0,140.0,0.0,-140.0
2016-10-27 13:59:00,3536.0,3583.0,-14.0,-3220.0,-3640.0,140.0,-3360.0,-3780.0
2016-10-27 14:29:00,3528.0,3573.0,-7.0,560.0,700.0,70.0,490.0,630.0
2016-10-27 14:59:00,3504.0,3545.0,-7.0,840.0,980.0,0.0,840.0,980.0
2016-10-28 09:29:00,3550.0,3599.0,41.0,-1610.0,-1890.0,480.0,-2090.0,-2370.0
2016-10-28 14:59:00,3572.0,3623.0,41.0,4510.0,4920.0,0.0,4510.0,4920.0
2016-10-31 11:29:00,3530.0,3571.0,-28.0,-8610.0,-10660.0,690.0,-9300.0,-11350.0
2016-10-31 13:59:00,3540.0,3583.0,-41.0,-1400.0,-1680.0,130.0,-1530.0,-1810.0
2016-10-31 14:59:00,3542.0,3586.0,-41.0,-410.0,-615.0,0.0,-410.0,-615.0
2016-11-01 09:29:00,3564.0,3611.0,14.0,-4510.0,-5125.0,550.0,-5060.0,-5675.0
2016-11-01 10:14:00,3556.0,3602.0,28.0,-560.0,-630.0,140.0,-700.0,-770.0
2016-11-01 14:59:00,3510.0,3549.0,-28.0,-6440.0,-7420.0,560.0,-7000.0,-7980.0
2016-11-02 09:29:00,3491.0,3529.0,-41.0,2660.0,2800.0,130.0,2530.0,2670.0
2016-11-02 14:59:00,3430.0,3456.0,-41.0,12505.0,14965.0,0.0,12505.0,14965.0
2016-11-02 14:59:00,3430.0,3456.0,-41.0,-0.0,-0.0,0.0,-0.0,-0.0
2016-11-03 14:59:00,3446.0,3477.0,-41.0,-3280.0,-4305.0,0.0,-3280.0,-4305.0
2016-11-03 14:59:00,3446.0,3477.0,-41.0,-0.0,-0.0,0.0,-0.0,-0.0
2016-11-04 14:59:56,3440.0,3476.0,-41.0,1230.0,205.0,0.0,1230.0,205.0
2016-11-07 09:29:00,3542.0,3594.0,34.0,-20910.0,-24190.0,750.0,-21660.0,-24940.0
2016-11-07 09:59:00,3577.0,3630.0,41.0,5950.0,6120.0,70.0,5880.0,6050.0
2016-11-07 14:59:00,3582.0,3640.0,41.0,1025.0,2050.0,0.0,1025.0,2050.0
2016-11-07 14:59:00,3582.0,3640.0,41.0,0.0,0.0,0.0,0.0,0.0
2016-11-08 14:59:00,3622.0,3697.0,41.0,8200.0,11685.0,0.0,8200.0,11685.0
2016-11-08 14:59:00,3622.0,3697.0,41.0,0.0,0.0,0.0,0.0,0.0
2016-11-09 14:59:00,3623.0,3698.0,41.0,205.0,205.0,0.0,205.0,205.0
2016-11-10 14:59:00,3776.0,3846.0,41.0,31365.0,30340.0,0.0,31365.0,30340.0
2016-11-10 14:59:00,3776.0,3846.0,41.0,0.0,0.0,0.0,0.0,0.0
2016-11-11 14:59:00,3750.0,3819.0,41.0,-5330.0,-5535.0,0.0,-5330.0,-5535.0
2016-11-14 09:29:00,3660.0,3719.0,-0.0,-18450.0,-20500.0,410.0,-18860.0,-20910.0
