stockdate,C,CZL,totalposition,profit,profit_ZL,comm,equity,equity_ZL
2017-02-10 14:59:00,2818.0,2808.0,71.0,,,,,
2017-02-13 14:59:00,2946.0,2938.0,71.0,90880.0,92300.0,0.0,90880.0,92300.0
2017-02-14 09:51:00,2916.0,2908.0,61.0,-21300.0,-21300.0,200.0,-21500.0,-21500.0
2017-02-14 14:59:00,2944.0,2936.0,61.0,17080.0,17080.0,0.0,17080.0,17080.0
2017-02-15 09:10:00,2884.0,2876.0,51.0,-36600.0,-36600.0,200.0,-36800.0,-36800.0
2017-02-15 09:22:00,2882.0,2872.0,40.0,-1020.0,-2040.0,220.0,-1240.0,-2260.0
2017-02-15 09:26:00,2884.0,2876.0,10.0,800.0,1600.0,600.0,200.0,1000.0
2017-02-15 09:28:00,2882.0,2874.0,0.0,-200.0,-200.0,200.0,-400.0,-400.0
2017-02-15 14:59:00,2836.0,2826.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0
2017-02-16 14:59:00,2816.0,2806.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0
