stockdate,C,CZL,totalposition,profit,profit_ZL,comm,equity,equity_ZL
2017-02-10 14:32:00,3664.0,3668.0,7.0,,,,,
2017-02-10 14:33:00,3657.0,3662.0,0.0,-490.0,-420.0,70.0,-560.0,-490.0
2017-02-10 14:59:00,3615.0,3620.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0
2017-02-13 14:59:00,3725.0,3730.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-14 14:59:00,3723.0,3728.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0
2017-02-15 14:59:00,3671.0,3677.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0
2017-02-16 13:31:00,3755.0,3762.0,20.0,0.0,0.0,200.0,-200.0,-200.0
2017-02-16 13:34:00,3766.0,3772.0,27.0,2200.0,2000.0,70.0,2130.0,1930.0
2017-02-16 13:36:00,3765.0,3772.0,34.0,-270.0,0.0,70.0,-340.0,-70.0
2017-02-16 13:38:00,3780.0,3785.0,47.0,5100.0,4420.0,130.0,4970.0,4290.0
2017-02-16 13:39:00,3776.0,3783.0,34.0,-1880.0,-940.0,130.0,-2010.0,-1070.0
2017-02-16 13:47:00,3769.0,3775.0,47.0,-2380.0,-2720.0,130.0,-2510.0,-2850.0
2017-02-16 14:16:00,3714.0,3720.0,54.0,-25850.0,-25850.0,70.0,-25920.0,-25920.0
2017-02-16 14:21:00,3701.0,3707.0,47.0,-7020.0,-7020.0,70.0,-7090.0,-7090.0
2017-02-16 14:22:00,3694.0,3700.0,54.0,-3290.0,-3290.0,70.0,-3360.0,-3360.0
2017-02-16 14:24:00,3702.0,3708.0,47.0,4320.0,4320.0,70.0,4250.0,4250.0
2017-02-16 14:25:00,3695.0,3701.0,14.0,-3290.0,-3290.0,330.0,-3620.0,-3620.0
2017-02-16 14:31:00,3689.0,3694.0,7.0,-840.0,-980.0,70.0,-910.0,-1050.0
2017-02-16 14:59:00,3647.0,3653.0,7.0,-2940.0,-2870.0,0.0,-2940.0,-2870.0
