stockdate,C,CZL,totalposition,profit,profit_ZL,comm,equity,equity_ZL
2017-02-13 14:59:00,3426.0,3437.0,8.0,,,,,
2017-02-14 14:59:00,3429.0,3442.0,8.0,240.0,400.0,0.0,240.0,400.0
2017-02-14 14:59:00,3429.0,3442.0,8.0,0.0,0.0,0.0,0.0,0.0
2017-02-15 14:59:00,3379.0,3391.0,8.0,-4000.0,-4080.0,0.0,-4000.0,-4080.0
2017-02-16 10:32:00,3419.0,3435.0,15.0,3200.0,3520.0,140.0,3060.0,3380.0
2017-02-16 10:33:00,3417.0,3433.0,8.0,-300.0,-300.0,140.0,-440.0,-440.0
2017-02-16 10:38:00,3418.0,3434.0,15.0,80.0,80.0,140.0,-60.0,-60.0
2017-02-16 10:39:00,3418.0,3434.0,8.0,0.0,0.0,140.0,-140.0,-140.0
2017-02-16 10:40:00,3414.0,3430.0,15.0,-320.0,-320.0,140.0,-460.0,-460.0
2017-02-16 10:45:00,3418.0,3434.0,23.0,600.0,600.0,160.0,440.0,440.0
2017-02-16 10:57:00,3411.0,3426.0,31.0,-1610.0,-1840.0,160.0,-1770.0,-2000.0
2017-02-16 11:21:00,3419.0,3434.0,38.0,2480.0,2480.0,140.0,2340.0,2340.0
2017-02-16 13:34:00,3477.0,3493.0,46.0,22040.0,22420.0,160.0,21880.0,22260.0
2017-02-16 14:21:00,3415.0,3430.0,38.0,-28520.0,-28980.0,160.0,-28680.0,-29140.0
2017-02-16 14:22:00,3411.0,3425.0,46.0,-1520.0,-1900.0,160.0,-1680.0,-2060.0
2017-02-16 14:25:00,3411.0,3425.0,23.0,0.0,0.0,460.0,-460.0,-460.0
2017-02-16 14:28:00,3402.0,3417.0,15.0,-2070.0,-1840.0,160.0,-2230.0,-2000.0
2017-02-16 14:29:00,3402.0,3416.0,23.0,0.0,-150.0,160.0,-160.0,-310.0
2017-02-16 14:31:00,3404.0,3419.0,15.0,460.0,690.0,160.0,300.0,530.0
2017-02-16 14:34:00,3405.0,3419.0,8.0,150.0,0.0,140.0,10.0,-140.0
2017-02-16 14:35:00,3404.0,3418.0,15.0,-80.0,-80.0,140.0,-220.0,-220.0
2017-02-16 14:49:00,3372.0,3384.0,8.0,-4800.0,-5100.0,140.0,-4940.0,-5240.0
2017-02-16 14:51:00,3381.0,3394.0,0.0,720.0,800.0,160.0,560.0,640.0
2017-02-16 14:59:00,3369.0,3381.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0
2017-02-16 14:59:00,3369.0,3381.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-17 09:43:00,3435.0,3381.0,8.0,0.0,0.0,160.0,-160.0,-160.0
2017-02-17 09:45:00,3440.0,3381.0,15.0,400.0,0.0,140.0,260.0,-140.0
2017-02-17 09:51:00,3448.0,3381.0,23.0,1200.0,0.0,160.0,1040.0,-160.0
2017-02-17 09:53:00,3446.0,3381.0,38.0,-460.0,0.0,300.0,-760.0,-300.0
2017-02-17 09:57:00,3453.0,3381.0,46.0,2660.0,0.0,160.0,2500.0,-160.0
2017-02-17 14:59:00,3453.0,3473.0,54.0,0.0,42320.0,160.0,-160.0,42160.0
2017-02-20 09:00:00,3481.0,3507.0,46.0,15120.0,18360.0,160.0,14960.0,18200.0
2017-02-20 09:01:00,3472.0,3495.0,54.0,-4140.0,-5520.0,160.0,-4300.0,-5680.0
2017-02-20 10:32:00,3511.0,3535.0,61.0,21060.0,21600.0,140.0,20920.0,21460.0
2017-02-20 10:33:00,3508.0,3532.0,54.0,-1830.0,-1830.0,140.0,-1970.0,-1970.0
2017-02-20 10:40:00,3512.0,3537.0,61.0,2160.0,2700.0,140.0,2020.0,2560.0
2017-02-20 14:59:00,3522.0,3546.0,61.0,6100.0,5490.0,0.0,6100.0,5490.0
