stockdate,C,CZL,totalposition,profit,profit_ZL,comm,equity,equity_ZL
2017-02-17 10:12:00,4228.0,,40.0,,,,,
2017-02-17 10:13:00,4227.0,,44.0,-600.0,,80.0,-680.0,
2017-02-17 10:33:00,4228.0,,40.0,660.0,,80.0,580.0,
2017-02-17 14:59:00,4229.0,,40.0,600.0,,0.0,600.0,
2017-02-17 14:59:00,4229.0,,40.0,0.0,,0.0,0.0,
2017-02-20 09:32:00,4204.0,,37.0,-15000.0,,60.0,-15060.0,
2017-02-20 10:06:00,4206.0,4204.0,34.0,1110.0,,60.0,1050.0,
2017-02-20 10:53:00,4206.0,4204.0,31.0,0.0,0.0,60.0,-60.0,-60.0
2017-02-20 10:54:00,4206.0,4204.0,34.0,0.0,0.0,60.0,-60.0,-60.0
2017-02-20 10:57:00,4206.0,4204.0,31.0,0.0,0.0,60.0,-60.0,-60.0
2017-02-20 10:58:00,4207.0,4205.0,34.0,465.0,465.0,60.0,405.0,405.0
2017-02-20 11:26:00,4208.0,4206.0,31.0,510.0,510.0,60.0,450.0,450.0
2017-02-20 13:31:00,4208.0,4206.0,28.0,0.0,0.0,60.0,-60.0,-60.0
2017-02-20 13:34:00,4208.0,4206.0,25.0,0.0,0.0,60.0,-60.0,-60.0
2017-02-20 13:35:00,4208.0,4206.0,28.0,0.0,0.0,60.0,-60.0,-60.0
2017-02-20 13:36:00,4207.0,4205.0,25.0,-420.0,-420.0,60.0,-480.0,-480.0
2017-02-20 13:41:00,4211.0,4209.0,22.0,1500.0,1500.0,60.0,1440.0,1440.0
2017-02-20 14:22:00,4208.0,4206.0,19.0,-990.0,-990.0,60.0,-1050.0,-1050.0
2017-02-20 14:23:00,4209.0,4207.0,22.0,285.0,285.0,60.0,225.0,225.0
2017-02-20 14:25:00,4208.0,4206.0,19.0,-330.0,-330.0,60.0,-390.0,-390.0
2017-02-20 14:26:00,4207.0,4205.0,19.0,-285.0,-285.0,0.0,-285.0,-285.0
2017-02-20 14:27:00,4206.0,4204.0,22.0,-285.0,-285.0,60.0,-345.0,-345.0
2017-02-20 14:38:00,4208.0,4206.0,19.0,660.0,660.0,60.0,600.0,600.0
2017-02-20 14:45:00,4209.0,4207.0,16.0,285.0,285.0,60.0,225.0,225.0
2017-02-20 14:59:00,4211.0,4209.0,16.0,480.0,480.0,0.0,480.0,480.0
2017-02-20 14:59:00,4211.0,4209.0,16.0,0.0,0.0,0.0,0.0,0.0
2017-02-21 10:06:00,4244.0,4242.0,19.0,7920.0,7920.0,60.0,7860.0,7860.0
2017-02-21 10:10:00,4240.0,4238.0,25.0,-1140.0,-1140.0,120.0,-1260.0,-1260.0
2017-02-21 10:11:00,4238.0,4236.0,22.0,-750.0,-750.0,60.0,-810.0,-810.0
2017-02-21 10:31:00,4237.0,4235.0,28.0,-330.0,-330.0,120.0,-450.0,-450.0
2017-02-21 10:32:00,4237.0,4235.0,31.0,0.0,0.0,60.0,-60.0,-60.0
2017-02-21 10:41:00,4236.0,4236.0,34.0,-465.0,465.0,60.0,-525.0,405.0
2017-02-21 10:51:00,4235.0,4236.0,37.0,-510.0,0.0,60.0,-570.0,-60.0
2017-02-21 10:52:00,4236.0,4236.0,34.0,555.0,0.0,60.0,495.0,-60.0
2017-02-21 10:54:00,4236.0,4236.0,37.0,0.0,0.0,60.0,-60.0,-60.0
2017-02-21 10:55:00,4235.0,4236.0,34.0,-555.0,0.0,60.0,-615.0,-60.0
2017-02-21 10:58:00,4236.0,4236.0,37.0,510.0,0.0,60.0,450.0,-60.0
2017-02-21 11:02:00,4235.0,4236.0,40.0,-555.0,0.0,60.0,-615.0,-60.0
2017-02-21 11:13:00,4226.0,4236.0,44.0,-5400.0,0.0,80.0,-5480.0,-80.0
2017-02-21 11:21:00,4220.0,4236.0,47.0,-3960.0,0.0,60.0,-4020.0,-60.0
2017-02-21 14:59:00,4230.0,4228.0,47.0,7050.0,-5640.0,0.0,7050.0,-5640.0
2017-02-22 13:32:00,4225.0,4223.0,40.0,-3525.0,-3525.0,140.0,-3665.0,-3665.0
2017-02-22 13:33:00,4220.0,4218.0,47.0,-3000.0,-3000.0,140.0,-3140.0,-3140.0
2017-02-22 13:41:00,4223.0,4221.0,44.0,2115.0,2115.0,60.0,2055.0,2055.0
2017-02-22 13:42:00,4220.0,4218.0,47.0,-1980.0,-1980.0,60.0,-2040.0,-2040.0
2017-02-22 13:55:00,4222.0,4220.0,44.0,1410.0,1410.0,60.0,1350.0,1350.0
2017-02-22 13:58:00,4221.0,4219.0,37.0,-660.0,-660.0,140.0,-800.0,-800.0
2017-02-22 14:16:00,4220.0,4218.0,31.0,-555.0,-555.0,120.0,-675.0,-675.0
2017-02-22 14:24:00,4221.0,4219.0,25.0,465.0,465.0,120.0,345.0,345.0
2017-02-22 14:26:00,4221.0,4219.0,22.0,0.0,0.0,60.0,-60.0,-60.0
2017-02-22 14:27:00,4221.0,4219.0,25.0,0.0,0.0,60.0,-60.0,-60.0
2017-02-22 14:38:00,4220.0,4218.0,19.0,-375.0,-375.0,120.0,-495.0,-495.0
2017-02-22 14:39:00,4221.0,4219.0,25.0,285.0,285.0,120.0,165.0,165.0
2017-02-22 14:51:00,4222.0,4220.0,19.0,375.0,375.0,120.0,255.0,255.0
2017-02-22 14:52:00,4222.0,4220.0,16.0,0.0,0.0,60.0,-60.0,-60.0
2017-02-22 14:59:00,4226.0,4224.0,16.0,960.0,960.0,0.0,960.0,960.0
