stockdate,C,CZL,totalposition,profit,profit_ZL,comm,equity,equity_ZL
2017-01-05 09:26:00,45890.0,45850.0,3.0,,,,,
2017-01-05 09:52:00,45850.0,45800.0,4.0,-600.0,-750.0,50.0,-650.0,-800.0
2017-01-05 09:59:00,45820.0,45780.0,5.0,-600.0,-400.0,50.0,-650.0,-450.0
2017-01-05 10:13:00,45830.0,45790.0,6.0,250.0,250.0,50.0,200.0,200.0
2017-01-05 10:32:00,45850.0,45810.0,8.0,600.0,600.0,100.0,500.0,500.0
2017-01-05 14:59:00,45810.0,45760.0,8.0,-1600.0,-2000.0,0.0,-1600.0,-2000.0
2017-01-05 14:59:00,45810.0,45760.0,8.0,0.0,0.0,0.0,0.0,0.0
2017-01-06 09:41:00,45510.0,45460.0,3.0,-12000.0,-12000.0,250.0,-12250.0,-12250.0
2017-01-06 10:14:00,45590.0,45550.0,0.0,1200.0,1350.0,150.0,1050.0,1200.0
2017-01-06 10:32:00,45560.0,45510.0,-3.0,-0.0,-0.0,150.0,-150.0,-150.0
2017-01-06 10:46:00,45560.0,45510.0,-5.0,-0.0,-0.0,100.0,-100.0,-100.0
2017-01-06 10:54:00,45560.0,45510.0,-3.0,-0.0,-0.0,100.0,-100.0,-100.0
2017-01-06 11:13:00,45490.0,45430.0,-5.0,1050.0,1200.0,100.0,950.0,1100.0
2017-01-06 11:24:00,45470.0,45410.0,-8.0,500.0,500.0,150.0,350.0,350.0
2017-01-06 14:59:00,45380.0,45350.0,-8.0,3600.0,2400.0,0.0,3600.0,2400.0
2017-01-09 10:04:00,45640.0,45600.0,0.0,-10400.0,-10000.0,400.0,-10800.0,-10400.0
2017-01-09 10:32:00,45650.0,45610.0,3.0,0.0,0.0,150.0,-150.0,-150.0
2017-01-09 10:34:00,45640.0,45590.0,0.0,-150.0,-300.0,150.0,-300.0,-450.0
2017-01-09 11:00:00,45720.0,45690.0,3.0,0.0,0.0,150.0,-150.0,-150.0
2017-01-09 11:10:00,45700.0,45660.0,5.0,-300.0,-450.0,100.0,-400.0,-550.0
2017-01-09 13:33:00,45700.0,45660.0,8.0,0.0,0.0,150.0,-150.0,-150.0
2017-01-09 14:59:00,45770.0,45730.0,8.0,2800.0,2800.0,0.0,2800.0,2800.0
2017-01-10 14:59:00,46160.0,46110.0,8.0,15600.0,15200.0,0.0,15600.0,15200.0
2017-01-10 14:59:00,46160.0,46110.0,8.0,0.0,0.0,0.0,0.0,0.0
2017-01-11 14:59:00,47210.0,47160.0,8.0,42000.0,42000.0,0.0,42000.0,42000.0
2017-01-11 14:59:00,47210.0,47160.0,8.0,0.0,0.0,0.0,0.0,0.0
2017-01-12 14:59:00,47040.0,46980.0,8.0,-6800.0,-7200.0,0.0,-6800.0,-7200.0
2017-01-12 14:59:00,47040.0,46980.0,8.0,0.0,0.0,0.0,0.0,0.0
2017-01-13 14:59:00,47460.0,47400.0,8.0,16800.0,16800.0,0.0,16800.0,16800.0
2017-01-13 14:59:00,47460.0,47400.0,8.0,0.0,0.0,0.0,0.0,0.0
2017-01-16 14:59:00,48020.0,47950.0,8.0,22400.0,22000.0,0.0,22400.0,22000.0
2017-01-16 14:59:00,48020.0,47950.0,8.0,0.0,0.0,0.0,0.0,0.0
2017-01-17 09:59:00,47420.0,47330.0,6.0,-24000.0,-24800.0,100.0,-24100.0,-24900.0
2017-01-17 10:04:00,47380.0,47290.0,4.0,-1200.0,-1200.0,100.0,-1300.0,-1300.0
2017-01-17 10:07:00,47390.0,47300.0,3.0,200.0,200.0,50.0,150.0,150.0
2017-01-17 10:32:00,47390.0,47300.0,1.0,0.0,0.0,100.0,-100.0,-100.0
2017-01-17 10:36:00,47400.0,47320.0,0.0,50.0,100.0,50.0,0.0,50.0
2017-01-17 14:59:00,46860.0,46780.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0
2017-01-17 14:59:00,46860.0,46780.0,0.0,0.0,0.0,0.0,0.0,0.0
