profit,comm,equity,profit_ZL,equity_ZL,day
,,,,,20161205
0.0,0.0,0.0,,,20161206
0.0,0.0,0.0,,,20161207
0.0,0.0,0.0,,,20161208
0.0,0.0,0.0,,,20161209
-13000.0,300.0,-13300.0,,,20161212
-3350.0,250.0,-3600.0,,,20161213
10250.0,0.0,10250.0,,,20161214
-7500.0,0.0,-7500.0,,,20161215
8500.0,0.0,8500.0,,,20161216
21000.0,0.0,21000.0,,,20161219
17750.0,0.0,17750.0,,,20161220
-11050.0,50.0,-11100.0,,,20161221
17600.0,0.0,17600.0,,,20161222
-13450.0,100.0,-13550.0,,,20161223
10550.0,150.0,10400.0,,,20161226
-4450.0,150.0,-4600.0,,,20161227
0.0,0.0,0.0,,,20161228
950.0,50.0,900.0,,,20161229
-1550.0,0.0,-1550.0,,,20161230
1300.0,0.0,1300.0,,,20170103
-1100.0,0.0,-1100.0,-1200.0,-1200.0,20170104
1250.0,0.0,1250.0,1200.0,1200.0,20170105
-2150.0,0.0,-2150.0,-2050.0,-2050.0,20170106
4350.0,1600.0,2750.0,4400.0,2800.0,20170109
24500.0,1300.0,23200.0,23550.0,22250.0,20170110
78750.0,0.0,78750.0,78750.0,78750.0,20170111
-12750.0,0.0,-12750.0,-13500.0,-13500.0,20170112
31500.0,0.0,31500.0,31500.0,31500.0,20170113
42000.0,0.0,42000.0,41250.0,41250.0,20170116
-47400.0,750.0,-48150.0,-48550.0,-49300.0,20170117
-1850.0,50.0,-1900.0,-1700.0,-1750.0,20170118
-700.0,0.0,-700.0,-650.0,-650.0,20170119
3300.0,0.0,3300.0,3250.0,3250.0,20170120
-4700.0,100.0,-4800.0,-4800.0,-4900.0,20170123
