profit,comm,equity,profit_ZL,equity_ZL,day
0.0,0.0,0.0,,,20161205
0.0,0.0,0.0,,,20161206
0.0,0.0,0.0,,,20161207
470.0,250.0,220.0,,,20161208
9000.0,0.0,9000.0,,,20161209
-12090.0,330.0,-12420.0,,,20161212
2070.0,170.0,1900.0,,,20161213
-10670.0,250.0,-10920.0,,,20161214
0.0,0.0,0.0,,,20161215
-5700.0,490.0,-6190.0,,,20161216
-6630.0,570.0,-7200.0,,,20161219
38480.0,1590.0,36890.0,,,20161220
19890.0,0.0,19890.0,,,20161221
25740.0,0.0,25740.0,,,20161222
-12870.0,90.0,-12960.0,,,20161223
41760.0,90.0,41670.0,,,20161226
-34230.0,1250.0,-35480.0,,,20161227
1680.0,0.0,1680.0,,,20161228
-560.0,0.0,-560.0,,,20161229
-2080.0,0.0,-2080.0,,,20161230
-2560.0,0.0,-2560.0,,,20170103
2400.0,0.0,2400.0,2560.0,2560.0,20170104
-560.0,0.0,-560.0,-720.0,-720.0,20170105
-400.0,0.0,-400.0,-400.0,-400.0,20170106
-3810.0,250.0,-4060.0,-3980.0,-4230.0,20170109
-2750.0,1430.0,-4180.0,-3250.0,-4680.0,20170110
6890.0,1000.0,5890.0,8050.0,7050.0,20170111
-4060.0,0.0,-4060.0,-4060.0,-4060.0,20170112
34800.0,0.0,34800.0,35960.0,35960.0,20170113
19780.0,80.0,19700.0,21440.0,21360.0,20170116
3500.0,0.0,3500.0,4500.0,4500.0,20170117
5160.0,80.0,5080.0,5660.0,5580.0,20170118
9080.0,80.0,9000.0,9000.0,8920.0,20170119
-17660.0,500.0,-18160.0,-17660.0,-18160.0,20170120
0.0,0.0,0.0,0.0,0.0,20170123
