profit,comm,equity,profit_ZL,equity_ZL,day
1330.0,0.0,1330.0,,,20161205
3920.0,0.0,3920.0,,,20161206
7700.0,0.0,7700.0,,,20161207
-5110.0,70.0,-5180.0,,,20161208
0.0,0.0,0.0,,,20161209
-13850.0,400.0,-14250.0,,,20161212
0.0,0.0,0.0,,,20161213
0.0,0.0,0.0,,,20161214
0.0,0.0,0.0,,,20161215
0.0,0.0,0.0,,,20161216
0.0,0.0,0.0,,,20161219
0.0,0.0,0.0,,,20161220
-2520.0,140.0,-2660.0,,,20161221
9170.0,70.0,9100.0,,,20161222
2380.0,0.0,2380.0,,,20161223
6090.0,70.0,6020.0,,,20161226
0.0,0.0,0.0,,,20161227
0.0,0.0,0.0,,,20161228
0.0,0.0,0.0,,,20161229
0.0,0.0,0.0,,,20161230
0.0,0.0,0.0,,,20170103
0.0,0.0,0.0,0.0,0.0,20170104
0.0,0.0,0.0,0.0,0.0,20170105
0.0,0.0,0.0,0.0,0.0,20170106
36600.0,1170.0,35430.0,37340.0,36170.0,20170109
83160.0,560.0,82600.0,83910.0,83350.0,20170110
4500.0,0.0,4500.0,5250.0,5250.0,20170111
16780.0,820.0,15960.0,17460.0,16640.0,20170112
-10900.0,470.0,-11370.0,-10900.0,-11370.0,20170113
0.0,0.0,0.0,0.0,0.0,20170116
0.0,0.0,0.0,0.0,0.0,20170117
0.0,0.0,0.0,0.0,0.0,20170118
0.0,0.0,0.0,0.0,0.0,20170119
0.0,0.0,0.0,0.0,0.0,20170120
0.0,0.0,0.0,0.0,0.0,20170123
