profit,comm,equity,profit_ZL,equity_ZL,day
-5160.0,330.0,-5490.0,,,20161219
12720.0,0.0,12720.0,,,20161220
-3690.0,300.0,-3990.0,,,20161221
5130.0,480.0,4650.0,,,20161222
4800.0,0.0,4800.0,,,20161223
34260.0,90.0,34170.0,,,20161226
-450.0,150.0,-600.0,,,20161227
0.0,0.0,0.0,,,20161228
-1980.0,180.0,-2160.0,,,20161229
0.0,0.0,0.0,,,20161230
0.0,0.0,0.0,0.0,0.0,20170103
0.0,0.0,0.0,0.0,0.0,20170104
0.0,0.0,0.0,0.0,0.0,20170105
0.0,0.0,0.0,0.0,0.0,20170106
0.0,0.0,0.0,0.0,0.0,20170109
11070.0,90.0,10980.0,11790.0,11700.0,20170110
-4950.0,90.0,-5040.0,-5400.0,-5490.0,20170111
0.0,0.0,0.0,0.0,0.0,20170112
0.0,0.0,0.0,0.0,0.0,20170113
0.0,0.0,0.0,0.0,0.0,20170116
0.0,0.0,0.0,0.0,0.0,20170117
0.0,0.0,0.0,0.0,0.0,20170118
0.0,0.0,0.0,0.0,0.0,20170119
1350.0,450.0,900.0,1260.0,810.0,20170120
-2340.0,90.0,-2430.0,-2250.0,-2340.0,20170123
-1620.0,180.0,-1800.0,-1800.0,-1980.0,20170124
0.0,0.0,0.0,0.0,0.0,20170125
17850.0,240.0,17610.0,18090.0,17850.0,20170126
-19860.0,1530.0,-21390.0,-19620.0,-21150.0,20170203
-12330.0,390.0,-12720.0,-12810.0,-13200.0,20170206
810.0,90.0,720.0,810.0,720.0,20170207
-3780.0,570.0,-4350.0,-3900.0,-4470.0,20170208
18870.0,390.0,18480.0,19590.0,19200.0,20170209
-35400.0,1560.0,-36960.0,-35730.0,-37290.0,20170210
