profit,comm,equity,profit_ZL,equity_ZL,day
,,,,,20161219
0.0,0.0,0.0,,,20161220
0.0,0.0,0.0,,,20161221
0.0,50.0,-50.0,,,20161222
2850.0,0.0,2850.0,,,20161223
-1600.0,50.0,-1650.0,,,20161226
0.0,0.0,0.0,,,20161227
0.0,0.0,0.0,,,20161228
0.0,0.0,0.0,,,20161229
0.0,0.0,0.0,,,20161230
0.0,0.0,0.0,,,20170103
0.0,0.0,0.0,0.0,0.0,20170104
0.0,0.0,0.0,0.0,0.0,20170105
0.0,0.0,0.0,0.0,0.0,20170106
0.0,0.0,0.0,0.0,0.0,20170109
-39040.0,2610.0,-41650.0,-40530.0,-43140.0,20170110
-3560.0,150.0,-3710.0,-3975.0,-4125.0,20170111
21395.0,890.0,20505.0,21285.0,20395.0,20170112
13015.0,0.0,13015.0,13205.0,13205.0,20170113
30115.0,0.0,30115.0,30210.0,30210.0,20170116
-13980.0,190.0,-14170.0,-14265.0,-14455.0,20170117
0.0,0.0,0.0,0.0,0.0,20170118
0.0,0.0,0.0,0.0,0.0,20170119
-6270.0,470.0,-6740.0,-6480.0,-6950.0,20170120
15200.0,0.0,15200.0,15390.0,15390.0,20170123
-9235.0,290.0,-9525.0,-9405.0,-9695.0,20170124
3350.0,50.0,3300.0,3375.0,3325.0,20170125
-3425.0,150.0,-3575.0,-3400.0,-3550.0,20170126
-5675.0,150.0,-5825.0,-5725.0,-5875.0,20170203
800.0,1140.0,-340.0,1000.0,-140.0,20170206
-10370.0,860.0,-11230.0,-11775.0,-12635.0,20170207
3585.0,1290.0,2295.0,4150.0,2860.0,20170208
-67925.0,2700.0,-70625.0,-70165.0,-72865.0,20170209
-19300.0,650.0,-19950.0,-19645.0,-20295.0,20170210
