profit,comm,equity,profit_ZL,equity_ZL,day
,,,,,20161230
0.0,0.0,0.0,0.0,0.0,20170103
0.0,0.0,0.0,0.0,0.0,20170104
0.0,0.0,0.0,0.0,0.0,20170105
0.0,0.0,0.0,0.0,0.0,20170106
-120.0,360.0,-480.0,-120.0,-480.0,20170109
90.0,560.0,-470.0,345.0,-215.0,20170110
10800.0,0.0,10800.0,10500.0,10500.0,20170111
-3300.0,0.0,-3300.0,-3300.0,-3300.0,20170112
-8520.0,1600.0,-10120.0,-8520.0,-10120.0,20170113
-9405.0,1640.0,-11045.0,-9405.0,-11045.0,20170116
-4320.0,1220.0,-5540.0,-5040.0,-6260.0,20170117
1725.0,40.0,1685.0,1725.0,1685.0,20170118
-8895.0,1280.0,-10175.0,-8940.0,-10220.0,20170119
345.0,0.0,345.0,345.0,345.0,20170120
-9330.0,540.0,-9870.0,-9330.0,-9870.0,20170123
-2235.0,1060.0,-3295.0,-2235.0,-3295.0,20170124
9135.0,640.0,8495.0,9135.0,8495.0,20170125
17250.0,0.0,17250.0,17250.0,17250.0,20170126
-33510.0,920.0,-34430.0,-33510.0,-34430.0,20170203
18975.0,0.0,18975.0,18975.0,18975.0,20170206
4140.0,0.0,4140.0,4140.0,4140.0,20170207
345.0,0.0,345.0,345.0,345.0,20170208
2415.0,0.0,2415.0,2415.0,2415.0,20170209
-6900.0,20.0,-6920.0,-6900.0,-6920.0,20170210
26160.0,20.0,26140.0,26160.0,26140.0,20170213
