profit,comm,equity,profit_ZL,equity_ZL,day
,,,,,20161230
-4800.0,0.0,-4800.0,0.0,0.0,20170103
1950.0,0.0,1950.0,1950.0,1950.0,20170104
-2700.0,0.0,-2700.0,-2700.0,-2700.0,20170105
-1950.0,0.0,-1950.0,-1950.0,-1950.0,20170106
2900.0,200.0,2700.0,2900.0,2700.0,20170109
2150.0,50.0,2100.0,2150.0,2100.0,20170110
700.0,0.0,700.0,700.0,700.0,20170111
800.0,0.0,800.0,800.0,800.0,20170112
-3800.0,400.0,-4200.0,-3800.0,-4200.0,20170113
3050.0,350.0,2700.0,3050.0,2700.0,20170116
4950.0,0.0,4950.0,4950.0,4950.0,20170117
-3550.0,50.0,-3600.0,-3550.0,-3600.0,20170118
-4800.0,250.0,-5050.0,-4900.0,-5150.0,20170119
-2250.0,0.0,-2250.0,-2100.0,-2100.0,20170120
-8550.0,550.0,-9100.0,-8700.0,-9250.0,20170123
-1500.0,250.0,-1750.0,-1500.0,-1750.0,20170124
3300.0,400.0,2900.0,3200.0,2800.0,20170125
10000.0,0.0,10000.0,10000.0,10000.0,20170126
-21250.0,900.0,-22150.0,-21250.0,-22150.0,20170203
13500.0,0.0,13500.0,13500.0,13500.0,20170206
11000.0,0.0,11000.0,11000.0,11000.0,20170207
1250.0,0.0,1250.0,1250.0,1250.0,20170208
7250.0,0.0,7250.0,7250.0,7250.0,20170209
-14500.0,0.0,-14500.0,-14750.0,-14750.0,20170210
5650.0,50.0,5600.0,5650.0,5600.0,20170213
