profit,comm,equity,profit_ZL,equity_ZL,day
,,,,,20161230
275.0,0.0,275.0,0.0,0.0,20170103
0.0,0.0,0.0,0.0,0.0,20170104
1050.0,0.0,1050.0,1075.0,1075.0,20170105
-550.0,0.0,-550.0,-575.0,-575.0,20170106
1550.0,275.0,1275.0,1450.0,1175.0,20170109
200.0,750.0,-550.0,350.0,-400.0,20170110
-2200.0,0.0,-2200.0,-2400.0,-2400.0,20170111
-6250.0,1775.0,-8025.0,-6325.0,-8100.0,20170112
11675.0,825.0,10850.0,11500.0,10675.0,20170113
-3950.0,75.0,-4025.0,-3600.0,-3675.0,20170116
-5400.0,1350.0,-6750.0,-4750.0,-6100.0,20170117
-5525.0,725.0,-6250.0,-5775.0,-6500.0,20170118
2375.0,1025.0,1350.0,2375.0,1350.0,20170119
-9375.0,0.0,-9375.0,-9375.0,-9375.0,20170120
27750.0,0.0,27750.0,28125.0,28125.0,20170123
10875.0,0.0,10875.0,10500.0,10500.0,20170124
-4500.0,0.0,-4500.0,-4875.0,-4875.0,20170125
3750.0,0.0,3750.0,3375.0,3375.0,20170126
21675.0,25.0,21650.0,22450.0,22425.0,20170203
8600.0,25.0,8575.0,8600.0,8575.0,20170206
-13300.0,525.0,-13825.0,-13300.0,-13825.0,20170207
0.0,0.0,0.0,0.0,0.0,20170208
0.0,50.0,-50.0,0.0,-50.0,20170209
-8600.0,1275.0,-9875.0,-8750.0,-10025.0,20170210
-23175.0,1100.0,-24275.0,-24050.0,-25150.0,20170213
