profit,comm,equity,profit_ZL,equity_ZL,day
,,,,,20161230
0.0,0.0,0.0,,,20170103
0.0,0.0,0.0,0.0,0.0,20170104
0.0,0.0,0.0,0.0,0.0,20170105
0.0,0.0,0.0,0.0,0.0,20170106
0.0,3320.0,-3320.0,0.0,-3320.0,20170109
49800.0,16600.0,33200.0,39840.0,23240.0,20170110
388600.0,23250.0,365350.0,411850.0,388600.0,20170111
-325500.0,0.0,-325500.0,-372000.0,-372000.0,20170112
1488000.0,0.0,1488000.0,1464750.0,1464750.0,20170113
860250.0,0.0,860250.0,883500.0,883500.0,20170116
279000.0,0.0,279000.0,302250.0,302250.0,20170117
325500.0,0.0,325500.0,325500.0,325500.0,20170118
627750.0,0.0,627750.0,720750.0,720750.0,20170119
-837000.0,0.0,-837000.0,-883500.0,-883500.0,20170120
-109620.0,26570.0,-136190.0,-132870.0,-159440.0,20170123
33200.0,6640.0,26560.0,29880.0,23240.0,20170124
-205840.0,16600.0,-222440.0,-212480.0,-229080.0,20170125
-205840.0,0.0,-205840.0,-205840.0,-205840.0,20170126
139440.0,3320.0,136120.0,149400.0,146080.0,20170203
-275610.0,69740.0,-345350.0,-302180.0,-371920.0,20170206
-119580.0,0.0,-119580.0,-199300.0,-199300.0,20170207
1993000.0,0.0,1993000.0,1953140.0,1953140.0,20170208
-159440.0,0.0,-159440.0,-39860.0,-39860.0,20170209
1315380.0,0.0,1315380.0,1315380.0,1315380.0,20170210
-521500.0,9960.0,-531460.0,-481640.0,-491600.0,20170213
