profit,comm,equity,profit_ZL,equity_ZL,day
,,,,,20161230
0.0,0.0,0.0,0.0,0.0,20170103
0.0,0.0,0.0,0.0,0.0,20170104
0.0,0.0,0.0,0.0,0.0,20170105
0.0,0.0,0.0,0.0,0.0,20170106
0.0,0.0,0.0,0.0,0.0,20170109
0.0,0.0,0.0,0.0,0.0,20170110
-98140.0,36040.0,-134180.0,-58860.0,-94900.0,20170111
147240.0,0.0,147240.0,130880.0,130880.0,20170112
-49080.0,0.0,-49080.0,-16360.0,-16360.0,20170113
409000.0,0.0,409000.0,425360.0,425360.0,20170116
-49080.0,0.0,-49080.0,-16360.0,-16360.0,20170117
-81780.0,13060.0,-94840.0,-65420.0,-78480.0,20170118
-114420.0,3260.0,-117680.0,-88260.0,-91520.0,20170119
-484000.0,35980.0,-519980.0,-510180.0,-546160.0,20170120
117840.0,0.0,117840.0,127660.0,127660.0,20170123
856740.0,98120.0,758620.0,922160.0,824040.0,20170124
-1851100.0,98100.0,-1949200.0,-1883820.0,-1981920.0,20170125
2165160.0,32700.0,2132460.0,2204400.0,2171700.0,20170126
2060520.0,0.0,2060520.0,2109580.0,2109580.0,20170203
-294360.0,0.0,-294360.0,-441540.0,-441540.0,20170206
441540.0,0.0,441540.0,392480.0,392480.0,20170207
-2358080.0,114420.0,-2472500.0,-2623000.0,-2737420.0,20170208
49040.0,29440.0,19600.0,45760.0,16320.0,20170209
-366320.0,111200.0,-477520.0,-323760.0,-434960.0,20170210
513280.0,137320.0,375960.0,578740.0,441420.0,20170213
