profit,comm,equity,profit_ZL,equity_ZL,day
,,,,,20161230
0.0,0.0,0.0,0.0,0.0,20170103
0.0,0.0,0.0,0.0,0.0,20170104
0.0,0.0,0.0,0.0,0.0,20170105
0.0,0.0,0.0,0.0,0.0,20170106
-259830.0,73620.0,-333450.0,-332060.0,-405680.0,20170109
-1011470.0,58360.0,-1069830.0,-1237930.0,-1296290.0,20170110
-1758790.0,52800.0,-1811590.0,-1721290.0,-1774090.0,20170111
-277880.0,8340.0,-286220.0,-266740.0,-275080.0,20170112
-782210.0,88920.0,-871130.0,-928080.0,-1017000.0,20170113
-1337870.0,66690.0,-1404560.0,-1696320.0,-1763010.0,20170116
155620.0,38910.0,116710.0,197310.0,158400.0,20170117
-526570.0,72260.0,-598830.0,-527950.0,-600210.0,20170118
2200620.0,2780.0,2197840.0,2342320.0,2339540.0,20170119
-2996730.0,50020.0,-3046750.0,-3192620.0,-3242640.0,20170120
-409780.0,41680.0,-451460.0,-407010.0,-448690.0,20170123
381870.0,8340.0,373530.0,366590.0,358250.0,20170124
62520.0,0.0,62520.0,41680.0,41680.0,20170125
-422360.0,63930.0,-486290.0,-448750.0,-512680.0,20170126
-1018450.0,52810.0,-1071260.0,-1064300.0,-1117110.0,20170203
-1762960.0,38900.0,-1801860.0,-1814360.0,-1853260.0,20170206
187560.0,0.0,187560.0,187560.0,187560.0,20170207
-1526960.0,55580.0,-1582540.0,-1710350.0,-1765930.0,20170208
590300.0,22220.0,568080.0,648640.0,626420.0,20170209
-288960.0,0.0,-288960.0,-234780.0,-234780.0,20170210
-1111360.0,55560.0,-1166920.0,-1207210.0,-1262770.0,20170213
