profit,comm,equity,profit_ZL,equity_ZL,day
3240.0,140.0,3100.0,,,20161128
1200.0,0.0,1200.0,,,20161129
-1100.0,410.0,-1510.0,,,20161130
-11110.0,590.0,-11700.0,,,20161201
10080.0,0.0,10080.0,,,20161202
8250.0,30.0,8220.0,,,20161205
-8080.0,100.0,-8180.0,,,20161206
1790.0,40.0,1750.0,,,20161207
740.0,180.0,560.0,,,20161208
32490.0,1350.0,31140.0,,,20161209
44720.0,520.0,44200.0,,,20161212
0.0,0.0,0.0,,,20161213
0.0,0.0,0.0,,,20161214
-240.0,30.0,-270.0,,,20161215
-1130.0,110.0,-1240.0,,,20161216
-3050.0,170.0,-3220.0,,,20161219
8910.0,200.0,8710.0,,,20161220
-3910.0,0.0,-3910.0,,,20161221
5270.0,0.0,5270.0,,,20161222
680.0,0.0,680.0,,,20161223
4590.0,0.0,4590.0,,,20161226
-7860.0,170.0,-8030.0,,,20161227
-6590.0,240.0,-6830.0,,,20161228
1200.0,0.0,1200.0,,,20161229
-960.0,0.0,-960.0,,,20161230
-960.0,0.0,-960.0,,,20170103
-6960.0,0.0,-6960.0,-7200.0,-7200.0,20170104
-5280.0,0.0,-5280.0,-5280.0,-5280.0,20170105
1200.0,0.0,1200.0,1200.0,1200.0,20170106
3120.0,0.0,3120.0,2880.0,2880.0,20170109
-5630.0,480.0,-6110.0,-5350.0,-5830.0,20170110
-3250.0,490.0,-3740.0,-3800.0,-4290.0,20170111
2380.0,0.0,2380.0,2550.0,2550.0,20170112
850.0,0.0,850.0,680.0,680.0,20170113
0.0,0.0,0.0,0.0,0.0,20170116
-1230.0,90.0,-1320.0,-1880.0,-1970.0,20170117
-1400.0,70.0,-1470.0,-1400.0,-1470.0,20170118
1050.0,300.0,750.0,1080.0,780.0,20170119
-4260.0,900.0,-5160.0,-4190.0,-5090.0,20170120
22170.0,1160.0,21010.0,22180.0,21020.0,20170123
-980.0,0.0,-980.0,-980.0,-980.0,20170124
22540.0,0.0,22540.0,23030.0,23030.0,20170125
-980.0,0.0,-980.0,-1470.0,-1470.0,20170126
-1810.0,70.0,-1880.0,-1740.0,-1810.0,20170203
26860.0,150.0,26710.0,27280.0,27130.0,20170206
-8820.0,0.0,-8820.0,-9310.0,-9310.0,20170207
5390.0,60.0,5330.0,5390.0,5330.0,20170208
-14530.0,710.0,-15240.0,-14560.0,-15270.0,20170209
-2970.0,620.0,-3590.0,-2970.0,-3590.0,20170210
4840.0,590.0,4250.0,4800.0,4210.0,20170213
2450.0,0.0,2450.0,2450.0,2450.0,20170214
