profit,comm,equity,profit_ZL,equity_ZL,day
100.0,0.0,100.0,,,20161128
-1600.0,100.0,-1700.0,,,20161129
0.0,0.0,0.0,,,20161130
2980.0,560.0,2420.0,,,20161201
-3980.0,560.0,-4540.0,,,20161202
0.0,0.0,0.0,,,20161205
0.0,0.0,0.0,,,20161206
0.0,0.0,0.0,,,20161207
0.0,0.0,0.0,,,20161208
1800.0,280.0,1520.0,,,20161209
11200.0,0.0,11200.0,,,20161212
-2940.0,280.0,-3220.0,,,20161213
0.0,0.0,0.0,,,20161214
0.0,0.0,0.0,,,20161215
-5600.0,820.0,-6420.0,,,20161216
-540.0,460.0,-1000.0,,,20161219
-4880.0,900.0,-5780.0,,,20161220
-540.0,360.0,-900.0,,,20161221
-360.0,720.0,-1080.0,,,20161222
200.0,100.0,100.0,,,20161223
4480.0,100.0,4380.0,,,20161226
7580.0,640.0,6940.0,,,20161227
13800.0,0.0,13800.0,,,20161228
12020.0,100.0,11920.0,,,20161229
-3920.0,0.0,-3920.0,,,20161230
-24640.0,0.0,-24640.0,,,20170103
1680.0,0.0,1680.0,1680.0,1680.0,20170104
-2240.0,0.0,-2240.0,-2240.0,-2240.0,20170105
8400.0,0.0,8400.0,8960.0,8960.0,20170106
-440.0,2300.0,-2740.0,-900.0,-3200.0,20170109
-10240.0,1120.0,-11360.0,-10340.0,-11460.0,20170110
-12300.0,1440.0,-13740.0,-12200.0,-13640.0,20170111
-5460.0,1560.0,-7020.0,-5820.0,-7380.0,20170112
5120.0,180.0,4940.0,5120.0,4940.0,20170113
-200.0,80.0,-280.0,-280.0,-360.0,20170116
-1480.0,1360.0,-2840.0,-1380.0,-2740.0,20170117
-1600.0,160.0,-1760.0,-880.0,-1040.0,20170118
5040.0,0.0,5040.0,5040.0,5040.0,20170119
14040.0,0.0,14040.0,14040.0,14040.0,20170120
-8320.0,360.0,-8680.0,-7960.0,-8320.0,20170123
0.0,0.0,0.0,0.0,0.0,20170124
0.0,0.0,0.0,0.0,0.0,20170125
0.0,0.0,0.0,0.0,0.0,20170126
0.0,0.0,0.0,0.0,0.0,20170203
1600.0,100.0,1500.0,1600.0,1500.0,20170206
-1200.0,0.0,-1200.0,-1300.0,-1300.0,20170207
3540.0,1620.0,1920.0,3540.0,1920.0,20170208
-7680.0,0.0,-7680.0,-7680.0,-7680.0,20170209
23680.0,0.0,23680.0,23680.0,23680.0,20170210
40960.0,0.0,40960.0,41600.0,41600.0,20170213
-1760.0,80.0,-1840.0,-1760.0,-1840.0,20170214
