profit,comm,equity,profit_ZL,equity_ZL,day
,,,,,20161129
0.0,0.0,0.0,0.0,0.0,20161130
0.0,0.0,0.0,0.0,0.0,20161201
3300.0,110.0,3190.0,2420.0,2310.0,20161202
-4620.0,110.0,-4730.0,-6820.0,-6930.0,20161205
0.0,0.0,0.0,0.0,0.0,20161206
0.0,0.0,0.0,0.0,0.0,20161207
0.0,0.0,0.0,0.0,0.0,20161208
0.0,0.0,0.0,0.0,0.0,20161209
0.0,0.0,0.0,0.0,0.0,20161212
0.0,0.0,0.0,0.0,0.0,20161213
0.0,0.0,0.0,0.0,0.0,20161214
0.0,0.0,0.0,0.0,0.0,20161215
0.0,0.0,0.0,0.0,0.0,20161216
0.0,0.0,0.0,0.0,0.0,20161219
0.0,0.0,0.0,0.0,0.0,20161220
0.0,0.0,0.0,0.0,0.0,20161221
0.0,0.0,0.0,0.0,0.0,20161222
0.0,0.0,0.0,0.0,0.0,20161223
0.0,0.0,0.0,0.0,0.0,20161226
0.0,0.0,0.0,0.0,0.0,20161227
0.0,0.0,0.0,0.0,0.0,20161228
0.0,0.0,0.0,0.0,0.0,20161229
0.0,0.0,0.0,0.0,0.0,20161230
0.0,0.0,0.0,0.0,0.0,20170103
0.0,0.0,0.0,0.0,0.0,20170104
0.0,0.0,0.0,0.0,0.0,20170105
0.0,0.0,0.0,0.0,0.0,20170106
0.0,0.0,0.0,0.0,0.0,20170109
0.0,0.0,0.0,0.0,0.0,20170110
0.0,0.0,0.0,0.0,0.0,20170111
0.0,0.0,0.0,0.0,0.0,20170112
0.0,0.0,0.0,0.0,0.0,20170113
-660.0,110.0,-770.0,-880.0,-990.0,20170116
-5280.0,110.0,-5390.0,-5060.0,-5170.0,20170117
0.0,0.0,0.0,0.0,0.0,20170118
-880.0,440.0,-1320.0,-880.0,-1320.0,20170119
0.0,330.0,-330.0,0.0,-330.0,20170120
13780.0,430.0,13350.0,13780.0,13350.0,20170123
-25580.0,1190.0,-26770.0,-25580.0,-26770.0,20170124
14300.0,0.0,14300.0,14300.0,14300.0,20170125
5200.0,0.0,5200.0,5200.0,5200.0,20170126
-28440.0,980.0,-29420.0,-28660.0,-29640.0,20170203
0.0,0.0,0.0,0.0,0.0,20170206
-3520.0,110.0,-3630.0,-3520.0,-3630.0,20170207
-4180.0,660.0,-4840.0,-3960.0,-4620.0,20170208
-10560.0,0.0,-10560.0,-10560.0,-10560.0,20170209
63360.0,0.0,63360.0,63360.0,63360.0,20170210
10560.0,0.0,10560.0,7920.0,7920.0,20170213
-2420.0,110.0,-2530.0,-2420.0,-2530.0,20170214
-13860.0,220.0,-14080.0,-14520.0,-14740.0,20170215
