profit,comm,equity,profit_ZL,equity_ZL,day
-5625.0,250.0,-5875.0,-6375.0,-6625.0,20161129
7125.0,500.0,6625.0,8375.0,7875.0,20161130
-11125.0,500.0,-11625.0,-11750.0,-12250.0,20161201
-1850.0,550.0,-2400.0,-1650.0,-2200.0,20161202
26250.0,0.0,26250.0,28875.0,28875.0,20161205
375.0,0.0,375.0,-750.0,-750.0,20161206
17250.0,0.0,17250.0,17625.0,17625.0,20161207
-6875.0,375.0,-7250.0,-7000.0,-7375.0,20161208
0.0,0.0,0.0,0.0,0.0,20161209
0.0,0.0,0.0,0.0,0.0,20161212
0.0,0.0,0.0,0.0,0.0,20161213
0.0,0.0,0.0,0.0,0.0,20161214
0.0,0.0,0.0,0.0,0.0,20161215
-7500.0,250.0,-7750.0,0.0,-250.0,20161216
2375.0,125.0,2250.0,2375.0,2250.0,20161219
4500.0,0.0,4500.0,4500.0,4500.0,20161220
-375.0,0.0,-375.0,-500.0,-500.0,20161221
-2250.0,125.0,-2375.0,-2250.0,-2375.0,20161222
0.0,0.0,0.0,0.0,0.0,20161223
0.0,0.0,0.0,0.0,0.0,20161226
0.0,0.0,0.0,0.0,0.0,20161227
0.0,0.0,0.0,0.0,0.0,20161228
0.0,0.0,0.0,0.0,0.0,20161229
0.0,0.0,0.0,0.0,0.0,20161230
0.0,0.0,0.0,0.0,0.0,20170103
0.0,0.0,0.0,0.0,0.0,20170104
0.0,0.0,0.0,0.0,0.0,20170105
13800.0,525.0,13275.0,13800.0,13275.0,20170106
-21900.0,525.0,-22425.0,-22825.0,-23350.0,20170109
0.0,0.0,0.0,0.0,0.0,20170110
0.0,0.0,0.0,0.0,0.0,20170111
0.0,0.0,0.0,0.0,0.0,20170112
4375.0,125.0,4250.0,4375.0,4250.0,20170113
4125.0,0.0,4125.0,4125.0,4125.0,20170116
-3375.0,125.0,-3500.0,-3500.0,-3625.0,20170117
0.0,0.0,0.0,0.0,0.0,20170118
0.0,0.0,0.0,0.0,0.0,20170119
10250.0,525.0,9725.0,9725.0,9200.0,20170120
6300.0,0.0,6300.0,6300.0,6300.0,20170123
-12275.0,525.0,-12800.0,-12400.0,-12925.0,20170124
0.0,0.0,0.0,0.0,0.0,20170125
0.0,0.0,0.0,0.0,0.0,20170126
-18725.0,1575.0,-20300.0,-18725.0,-20300.0,20170203
-11850.0,1175.0,-13025.0,-11325.0,-12500.0,20170206
-9750.0,650.0,-10400.0,-10400.0,-11050.0,20170207
7375.0,375.0,7000.0,7500.0,7125.0,20170208
-4000.0,775.0,-4775.0,-2975.0,-3750.0,20170209
-4250.0,525.0,-4775.0,-4900.0,-5425.0,20170210
4500.0,500.0,4000.0,4000.0,3500.0,20170213
-1500.0,0.0,-1500.0,-1125.0,-1125.0,20170214
-2125.0,625.0,-2750.0,-1625.0,-2250.0,20170215
