profit,comm,equity,profit_ZL,equity_ZL,day
3520.0,0.0,3520.0,3200.0,3200.0,20161011
0.0,0.0,0.0,960.0,960.0,20161012
20800.0,0.0,20800.0,22400.0,22400.0,20161013
10880.0,0.0,10880.0,11200.0,11200.0,20161014
34880.0,0.0,34880.0,35520.0,35520.0,20161017
-15040.0,320.0,-15360.0,-15040.0,-15360.0,20161018
0.0,0.0,0.0,0.0,0.0,20161019
0.0,0.0,0.0,0.0,0.0,20161020
3840.0,240.0,3600.0,4080.0,3840.0,20161021
27120.0,0.0,27120.0,30000.0,30000.0,20161024
19680.0,0.0,19680.0,21360.0,21360.0,20161025
-11280.0,240.0,-11520.0,-12240.0,-12480.0,20161026
0.0,0.0,0.0,0.0,0.0,20161027
0.0,0.0,0.0,0.0,0.0,20161028
0.0,0.0,0.0,0.0,0.0,20161031
0.0,0.0,0.0,0.0,0.0,20161101
0.0,0.0,0.0,0.0,0.0,20161102
0.0,0.0,0.0,0.0,0.0,20161103
10800.0,160.0,10640.0,12320.0,12160.0,20161104
9120.0,0.0,9120.0,10400.0,10400.0,20161107
-7600.0,240.0,-7840.0,-7040.0,-7280.0,20161108
-5200.0,80.0,-5280.0,-5520.0,-5600.0,20161109
0.0,0.0,0.0,0.0,0.0,20161110
0.0,0.0,0.0,0.0,0.0,20161111
0.0,0.0,0.0,0.0,0.0,20161114
-240.0,160.0,-400.0,-160.0,-320.0,20161115
-3840.0,80.0,-3920.0,-3680.0,-3760.0,20161116
8800.0,0.0,8800.0,9360.0,9360.0,20161117
7600.0,0.0,7600.0,5200.0,5200.0,20161118
-4080.0,80.0,-4160.0,-4720.0,-4800.0,20161121
0.0,0.0,0.0,0.0,0.0,20161122
0.0,0.0,0.0,0.0,0.0,20161123
0.0,0.0,0.0,0.0,0.0,20161124
-3600.0,400.0,-4000.0,-2800.0,-3200.0,20161125
-8000.0,480.0,-8480.0,-8080.0,-8560.0,20161128
16240.0,560.0,15680.0,20080.0,19520.0,20161129
39840.0,0.0,39840.0,36960.0,36960.0,20161130
-16320.0,480.0,-16800.0,-17760.0,-18240.0,20161201
0.0,0.0,0.0,0.0,0.0,20161202
-720.0,720.0,-1440.0,-5280.0,-6000.0,20161205
15680.0,80.0,15600.0,95040.0,94960.0,20161206
-21360.0,800.0,-22160.0,-27200.0,-28000.0,20161207
-8160.0,0.0,-8160.0,-1920.0,-1920.0,20161208
-25920.0,960.0,-26880.0,-37440.0,-38400.0,20161209
-30400.0,1760.0,-32160.0,-31600.0,-33360.0,20161212
4000.0,160.0,3840.0,-480.0,-640.0,20161213
15360.0,0.0,15360.0,12000.0,12000.0,20161214
0.0,0.0,0.0,-1920.0,-1920.0,20161215
0.0,0.0,0.0,0.0,0.0,20161216
4320.0,480.0,3840.0,480.0,-1.63709046319e-10,20161219
0.0,0.0,0.0,0.0,0.0,20161220
0.0,0.0,0.0,0.0,0.0,20161221
0.0,0.0,0.0,0.0,0.0,20161222
0.0,0.0,0.0,0.0,0.0,20161223
0.0,0.0,0.0,0.0,0.0,20161226
0.0,0.0,0.0,0.0,0.0,20161227
0.0,0.0,0.0,0.0,0.0,20161228
0.0,0.0,0.0,0.0,0.0,20161229
0.0,0.0,0.0,0.0,0.0,20161230
0.0,0.0,0.0,0.0,0.0,20170103
0.0,0.0,0.0,0.0,0.0,20170104
0.0,0.0,0.0,0.0,0.0,20170105
0.0,0.0,0.0,0.0,0.0,20170106
0.0,0.0,0.0,0.0,0.0,20170109
0.0,0.0,0.0,0.0,0.0,20170110
0.0,0.0,0.0,0.0,0.0,20170111
0.0,0.0,0.0,0.0,0.0,20170112
0.0,0.0,0.0,0.0,0.0,20170113
0.0,0.0,0.0,0.0,0.0,20170116
0.0,0.0,0.0,0.0,0.0,20170117
0.0,0.0,0.0,0.0,0.0,20170118
0.0,0.0,0.0,0.0,0.0,20170119
0.0,0.0,0.0,0.0,0.0,20170120
0.0,0.0,0.0,0.0,0.0,20170123
0.0,0.0,0.0,0.0,0.0,20170124
0.0,0.0,0.0,0.0,0.0,20170125
0.0,0.0,0.0,0.0,0.0,20170126
0.0,0.0,0.0,0.0,0.0,20170203
-5040.0,240.0,-5280.0,-5760.0,-6000.0,20170206
2880.0,0.0,2880.0,3120.0,3120.0,20170207
-720.0,0.0,-720.0,-720.0,-720.0,20170208
-8400.0,240.0,-8640.0,-9120.0,-9360.0,20170209
-1120.0,240.0,-1360.0,-1600.0,-1840.0,20170210
-2880.0,240.0,-3120.0,-3360.0,-3600.0,20170213
-1600.0,960.0,-2560.0,-1600.0,-2560.0,20170214
-16800.0,960.0,-17760.0,-17440.0,-18400.0,20170215
