profit,comm,equity,profit_ZL,equity_ZL,day
12640.0,670.0,11970.0,12490.0,11820.0,20161129
-14880.0,800.0,-15680.0,-14750.0,-15550.0,20161130
-910.0,130.0,-1040.0,-1170.0,-1300.0,20161201
-2470.0,260.0,-2730.0,-2600.0,-2860.0,20161202
-16090.0,930.0,-17020.0,-16750.0,-17680.0,20161205
-1860.0,1600.0,-3460.0,-1860.0,-3460.0,20161206
0.0,0.0,0.0,800.0,800.0,20161207
22400.0,0.0,22400.0,23200.0,23200.0,20161208
-7200.0,0.0,-7200.0,-5600.0,-5600.0,20161209
5600.0,0.0,5600.0,3200.0,3200.0,20161212
-1060.0,130.0,-1190.0,-1060.0,-1190.0,20161213
12150.0,130.0,12020.0,12280.0,12150.0,20161214
-6160.0,540.0,-6700.0,-6960.0,-7500.0,20161215
-13330.0,930.0,-14260.0,0.0,-930.0,20161216
5980.0,800.0,5180.0,7930.0,7130.0,20161219
26800.0,0.0,26800.0,26800.0,26800.0,20161220
9380.0,0.0,9380.0,8710.0,8710.0,20161221
16080.0,0.0,16080.0,16750.0,16750.0,20161222
-26520.0,670.0,-27190.0,-26390.0,-27060.0,20161223
0.0,0.0,0.0,0.0,0.0,20161226
0.0,0.0,0.0,0.0,0.0,20161227
0.0,0.0,0.0,0.0,0.0,20161228
-1750.0,1060.0,-2810.0,-1210.0,-2270.0,20161229
4000.0,0.0,4000.0,1600.0,1600.0,20161230
-1600.0,0.0,-1600.0,1600.0,1600.0,20170103
-21090.0,1600.0,-22690.0,-21090.0,-22690.0,20170104
-8810.0,1070.0,-9880.0,-8810.0,-9880.0,20170105
16170.0,530.0,15640.0,16970.0,16440.0,20170106
0.0,0.0,0.0,0.0,0.0,20170109
6400.0,0.0,6400.0,6400.0,6400.0,20170110
-2400.0,0.0,-2400.0,-2400.0,-2400.0,20170111
-1600.0,0.0,-1600.0,-1600.0,-1600.0,20170112
-20210.0,1330.0,-21540.0,-20470.0,-21800.0,20170113
16960.0,0.0,16960.0,16430.0,16430.0,20170116
-2120.0,0.0,-2120.0,-2650.0,-2650.0,20170117
13780.0,0.0,13780.0,13250.0,13250.0,20170118
-1590.0,0.0,-1590.0,-4240.0,-4240.0,20170119
-5830.0,0.0,-5830.0,-6360.0,-6360.0,20170120
11130.0,0.0,11130.0,11130.0,11130.0,20170123
-8480.0,130.0,-8610.0,-9540.0,-9670.0,20170124
-6670.0,400.0,-7070.0,-6270.0,-6670.0,20170125
0.0,0.0,0.0,0.0,0.0,20170126
1990.0,800.0,1190.0,1060.0,260.0,20170203
29600.0,0.0,29600.0,27200.0,27200.0,20170206
-10400.0,0.0,-10400.0,-10400.0,-10400.0,20170207
8000.0,0.0,8000.0,7200.0,7200.0,20170208
-15200.0,800.0,-16000.0,-16000.0,-16800.0,20170209
0.0,130.0,-130.0,-130.0,-260.0,20170210
130.0,260.0,-130.0,260.0,0.0,20170213
3770.0,0.0,3770.0,3770.0,3770.0,20170214
1690.0,0.0,1690.0,1690.0,1690.0,20170215
